Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
10:42:59:049,0.000,0.002,0.001,-0.015,-3.153,-19.449,0.537
10:42:59:049,0.000,-0.007,-0.001,-0.010,-3.155,-19.454,0.542
10:42:59:1,0.051,-0.002,-0.004,-0.017,-3.159,-19.465,0.541
10:42:59:101,0.052,-0.003,-0.001,-0.016,-3.159,-19.465,0.541
10:42:59:123,0.074,-0.002,0.001,-0.020,-3.159,-19.465,0.541
10:42:59:178,0.129,-0.010,-0.004,-0.008,-3.159,-19.465,0.541
10:42:59:179,0.130,-0.001,0.001,-0.016,-3.159,-19.465,0.541
10:42:59:202,0.153,-0.009,-0.002,-0.012,-3.159,-19.465,0.541
10:42:59:228,0.179,-0.002,0.000,-0.020,-3.159,-19.465,0.541
10:42:59:255,0.206,-0.006,-0.002,-0.009,-3.159,-19.465,0.541
10:42:59:308,0.259,-0.005,0.002,-0.009,-3.159,-19.465,0.541
10:42:59:337,0.288,-0.017,-0.004,-0.011,-3.159,-19.465,0.541
10:42:59:36,0.311,-0.007,-0.004,-0.009,-3.157,-19.466,0.521
10:42:59:385,0.336,-0.004,0.000,-0.011,-3.157,-19.466,0.521
10:42:59:412,0.363,-0.007,-0.001,-0.009,-3.157,-19.466,0.521
10:42:59:438,0.389,-0.005,0.000,-0.009,-3.157,-19.466,0.521
10:42:59:466,0.417,-0.006,0.000,-0.008,-3.157,-19.466,0.521
10:42:59:518,0.469,-0.010,0.000,-0.010,-3.157,-19.466,0.521
10:42:59:546,0.497,-0.009,-0.003,-0.007,-3.157,-19.466,0.521
10:42:59:547,0.498,-0.005,-0.002,-0.013,-3.157,-19.466,0.521
10:42:59:57,0.521,-0.007,-0.001,-0.012,-3.157,-19.466,0.521
10:42:59:596,0.546,-0.006,-0.002,-0.007,-3.157,-19.466,0.521
10:42:59:622,0.573,-0.010,-0.001,-0.009,-3.151,-19.469,0.518
10:42:59:648,0.599,-0.008,-0.002,-0.009,-3.151,-19.469,0.518
10:42:59:703,0.654,-0.002,0.002,-0.012,-3.151,-19.469,0.518
10:42:59:704,0.655,-0.007,-0.001,-0.013,-3.135,-19.468,0.502
10:42:59:728,0.679,0.000,-0.003,-0.014,-3.137,-19.449,0.480
10:42:59:754,0.705,-0.012,-0.001,-0.008,-3.123,-19.393,0.452
10:42:59:781,0.732,-0.018,0.001,-0.020,-3.131,-19.304,0.442
10:42:59:806,0.757,-0.027,0.002,-0.005,-3.134,-19.273,0.450
