click,0,0,181.0,63.0,1436667,181.0,63.0,1436785,1521772475010,1521772473901
click,270.0,285.5,284.0,296.0,1437574,284.0,296.0,1437682,1521772475907,1521772474768
click,225.0,155.5,225.0,155.0,1438259,225.0,155.0,1438343,1521772476568,1521772475439
click,90.0,77.5,103.0,65.0,1438931,103.0,65.0,1439020,1521772477245,1521772476096
click,270.0,129.5,269.0,133.0,1439637,293.0,128.0,1439724,1521772477959,1521772476844
click,180.0,129.5,236.0,115.0,1440865,220.5,115.0,1440953,1521772479179,1521772478066
click,135.0,259.5,125.0,251.0,1441581,125.0,251.0,1441666,1521772479891,1521772478756
click,45.0,103.5,86.0,90.0,1442243,86.0,90.0,1442351,1521772480577,1521772479434
click,225.0,51.5,221.0,48.0,1442895,221.0,48.0,1442958,1521772481184,1521772480034
click,225.0,207.5,221.0,188.0,1443504,221.0,188.0,1443567,1521772481793,1521772480654
click,45.0,155.5,59.0,166.0,1444893,59.0,166.0,1444967,1521772483192,1521772482033
click,90.0,129.5,114.0,96.0,1445470,114.0,96.0,1445558,1521772483784,1521772482655
click,270.0,181.5,274.0,181.0,1447264,274.0,181.0,1447339,1521772485564,1521772484429
click,270.0,129.5,297.0,121.0,1447949,297.0,121.0,1448022,1521772486248,1521772485138
click,45.0,207.5,52.0,237.0,1448600,79.0,237.0,1448738,1521772486964,1521772485836
click,225.0,311.5,248.0,305.0,1453291,248.0,305.0,1453379,1521772491604,1521772490456
click,315.0,103.5,302.0,99.0,1453963,302.0,99.0,1454048,1521772492274,1521772491123
click,90.0,129.5,66.0,125.0,1454562,66.0,125.0,1454647,1521772492872,1521772491734
click,225.0,155.5,215.0,163.0,1455171,215.0,163.0,1455256,1521772493481,1521772492332
click,270.0,233.5,270.0,228.0,1455801,270.0,228.0,1455875,1521772494101,1521772492965
click,180.0,181.5,167.0,150.0,1456410,167.0,150.0,1456474,1521772494699,1521772493586
click,270.0,77.5,271.0,62.0,1456976,271.0,62.0,1457050,1521772495275,1521772494134
click,315.0,207.5,300.0,219.0,1458195,300.0,219.0,1458269,1521772496494,1521772495375
click,225.0,207.5,242.0,220.0,1458847,256.0,224.0,1458931,1521772497156,1521772496013
click,270.0,181.5,267.0,181.0,1460321,267.0,181.0,1460405,1521772498631,1521772497500
click,225.0,207.5,221.0,212.0,1460929,242.0,217.0,1461017,1521772499243,1521772498106
click,180.0,285.5,168.0,274.0,1463249,182.0,274.0,1463322,1521772501548,1521772500420
click,270.0,233.5,292.0,234.0,1463836,292.0,234.0,1463920,1521772502146,1521772501016
click,135.0,155.5,97.0,137.0,1464509,97.0,137.0,1464572,1521772502797,1521772501682
click,315.0,103.5,297.0,93.0,1465919,297.0,93.0,1465993,1521772504218,1521772503081
click,225.0,155.5,231.0,165.0,1466518,231.0,165.0,1466602,1521772504828,1521772503706
click,135.0,311.5,137.0,304.0,1467244,137.0,304.0,1467307,1521772505533,1521772504387
click,225.0,311.5,219.0,302.0,1467948,219.0,302.0,1468012,1521772506237,1521772505108
click,225.0,259.5,228.0,227.0,1468569,244.0,233.0,1468653,1521772506879,1521772505764
click,90.0,77.5,103.0,70.0,1470930,103.0,70.0,1471004,1521772509229,1521772508117
click,315.0,155.5,295.0,150.0,1471635,295.0,150.0,1471709,1521772509935,1521772508820
click,90.0,285.5,79.0,263.0,1474445,79.0,263.0,1474530,1521772512757,1521772511680
click,225.0,259.5,208.0,259.0,1475065,208.0,259.0,1475128,1521772513353,1521772512213
click,135.0,207.5,122.0,208.0,1475631,122.0,208.0,1475705,1521772513930,1521772512832
click,315.0,207.5,320.0,202.0,1477490,320.0,202.0,1477564,1521772515789,1521772514730
click,315.0,103.5,310.0,127.0,1478110,310.0,127.0,1478194,1521772516420,1521772515343
click,180.0,77.5,167.0,51.0,1478740,167.0,51.0,1478814,1521772517039,1521772515896
click,135.0,311.5,76.0,272.0,1479445,76.0,272.0,1479519,1521772517745,1521772516697
click,180.0,233.5,177.0,226.0,1480065,177.0,226.0,1480154,1521772518379,1521772517235
click,135.0,155.5,130.0,176.0,1480685,130.0,176.0,1480769,1521772518995,1521772517929
click,225.0,103.5,233.0,112.0,1481315,233.0,112.0,1481400,1521772519625,1521772518486
click,180.0,285.5,169.0,281.0,1481989,169.0,281.0,1482096,1521772520322,1521772519261
click,180.0,181.5,214.0,160.0,1482651,214.0,160.0,1482735,1521772520961,1521772519844
click,315.0,259.5,302.0,256.0,1484820,302.0,256.0,1484908,1521772523133,1521772522011
click,135.0,311.5,145.0,308.0,1485535,145.0,308.0,1485643,1521772523868,1521772522772
click,135.0,207.5,108.0,156.0,1486176,129.0,160.0,1486260,1521772524486,1521772523431
click,135.0,103.5,144.0,98.0,1487662,144.0,98.0,1487735,1521772525961,1521772524894
click,135.0,155.5,114.0,157.0,1488270,114.0,157.0,1488355,1521772526580,1521772525505
click,225.0,103.5,241.0,100.0,1488878,241.0,100.0,1488943,1521772527168,1521772526034
click,180.0,285.5,126.0,267.0,1489659,126.0,267.0,1489733,1521772527959,1521772526886
click,45.0,103.5,66.0,92.0,1490386,66.0,92.0,1490493,1521772528719,1521772527574
click,270.0,285.5,264.0,262.0,1491145,264.0,262.0,1491218,1521772529444,1521772528355
click,315.0,155.5,323.0,160.0,1491775,323.0,160.0,1491860,1521772530085,1521772528995
click,180.0,77.5,153.0,68.0,1492481,176.0,84.0,1492565,1521772530790,1521772529653
click,225.0,51.5,223.0,56.0,1493955,237.0,61.0,1494062,1521772532288,1521772531152
click,90.0,233.5,94.0,210.0,1495503,108.0,210.0,1495592,1521772533819,1521772532670
click,90.0,285.5,81.0,282.0,1496177,81.0,282.0,1496261,1521772534487,1521772533353
click,135.0,207.5,120.0,214.0,1496797,120.0,214.0,1496870,1521772535096,1521772533964
click,315.0,259.5,303.0,234.0,1497470,303.0,234.0,1497558,1521772535783,1521772534645
click,225.0,103.5,239.0,116.0,1498036,239.0,116.0,1498121,1521772536346,1521772535211
click,270.0,129.5,293.0,130.0,1498623,293.0,130.0,1498698,1521772536923,1521772535773
click,180.0,181.5,225.0,137.0,1499211,225.0,137.0,1499296,1521772537521,1521772536458
click,90.0,129.5,77.0,125.0,1499863,77.0,125.0,1499971,1521772538196,1521772537081
click,315.0,207.5,287.0,218.0,1500515,287.0,218.0,1500578,1521772538803,1521772537665
click,180.0,25.5,175.0,29.0,1501188,175.0,29.0,1501272,1521772539498,1521772538361
click,180.0,233.5,175.0,231.0,1501797,175.0,231.0,1501860,1521772540085,1521772538933
click,270.0,285.5,240.0,269.0,1502417,240.0,269.0,1502480,1521772540705,1521772539641
click,315.0,259.5,312.0,231.0,1504895,312.0,231.0,1504980,1521772543205,1521772542043
click,180.0,25.5,165.0,33.0,1505579,165.0,33.0,1505653,1521772543878,1521772542801
click,270.0,181.5,259.0,162.0,1506156,275.0,176.0,1506241,1521772544466,1521772543353
click,45.0,207.5,88.0,208.0,1506819,88.0,208.0,1506903,1521772545129,1521772543988
click,315.0,155.5,314.0,140.0,1507428,314.0,140.0,1507502,1521772545727,1521772544604
click,135.0,103.5,119.0,84.0,1508154,119.0,84.0,1508207,1521772546432,1521772545301
click,90.0,233.5,61.0,224.0,1508816,61.0,224.0,1508880,1521772547105,1521772546034
click,90.0,181.5,66.0,160.0,1509445,66.0,160.0,1509521,1521772547746,1521772546601
click,45.0,259.5,64.0,225.0,1510398,64.0,225.0,1510483,1521772548708,1521772547576
click,270.0,77.5,266.0,58.0,1511028,266.0,58.0,1511102,1521772549328,1521772548182
click,270.0,233.5,273.0,224.0,1511723,273.0,224.0,1511786,1521772550011,1521772548874
click,225.0,311.5,236.0,304.0,1512407,236.0,304.0,1512491,1521772550718,1521772549644
click,225.0,259.5,228.0,253.0,1514170,228.0,253.0,1514244,1521772552469,1521772551335
click,180.0,129.5,176.0,146.0,1514747,176.0,146.0,1514799,1521772553025,1521772551906
click,180.0,233.5,190.0,240.0,1515334,205.0,245.0,1515452,1521772553678,1521772552538
click,135.0,259.5,155.0,250.0,1516732,155.0,250.0,1516822,1521772555048,1521772553893
click,135.0,51.5,139.0,57.0,1517493,139.0,57.0,1517577,1521772555803,1521772554674
click,90.0,285.5,63.0,276.0,1518272,85.0,286.0,1518361,1521772556587,1521772555458
click,45.0,155.5,58.0,152.0,1519790,58.0,152.0,1519863,1521772558090,1521772556945
click,90.0,77.5,88.0,88.0,1520399,88.0,88.0,1520484,1521772558709,1521772557630
click,90.0,233.5,99.0,219.0,1521083,99.0,219.0,1521167,1521772559393,1521772558278
click,90.0,181.5,70.0,176.0,1521735,70.0,176.0,1521822,1521772560048,1521772558921
click,180.0,25.5,212.0,45.0,1522376,212.0,45.0,1522450,1521772560675,1521772559550
click,45.0,259.5,58.0,239.0,1523145,58.0,239.0,1523229,1521772561454,1521772560382
click,180.0,129.5,166.0,111.0,1524544,166.0,111.0,1524630,1521772562856,1521772561718
click,45.0,259.5,69.0,216.0,1525197,69.0,216.0,1525281,1521772563506,1521772562364
click,135.0,103.5,120.0,101.0,1525826,120.0,101.0,1525901,1521772564126,1521772563077
click,135.0,51.5,140.0,59.0,1526520,140.0,59.0,1526629,1521772564855,1521772563743
click,135.0,259.5,138.0,278.0,1527247,160.0,284.0,1527337,1521772565562,1521772564475
click,90.0,181.5,99.0,156.0,1529471,99.0,156.0,1529555,1521772567780,1521772566656
click,45.0,207.5,50.0,224.0,1530101,50.0,224.0,1530185,1521772568411,1521772567277
click,225.0,51.5,244.0,66.0,1530720,244.0,66.0,1530805,1521772569030,1521772567929
click,45.0,103.5,84.0,114.0,1531362,84.0,114.0,1531470,1521772569695,1521772568562
click,270.0,77.5,291.0,82.0,1532013,291.0,82.0,1532098,1521772570323,1521772569198
click,45.0,155.5,40.0,160.0,1532815,40.0,160.0,1532889,1521772571114,1521772569988
click,180.0,77.5,184.0,92.0,1533413,184.0,92.0,1533487,1521772571712,1521772570561
