click,0,0,190.0,73.0,3708954,190.0,73.0,3709021,1537077393775,1537077393010
click,90.0,233.5,107.0,217.0,3710196,107.0,217.0,3710281,1537077395035,1537077394267
click,270.0,77.5,283.0,86.0,3710955,283.0,86.0,3711040,1537077395794,1537077395040
click,315.0,155.5,320.0,167.0,3711649,320.0,167.0,3711734,1537077396488,1537077395695
click,315.0,103.5,309.0,114.0,3712323,309.0,114.0,3712407,1537077397161,1537077396366
click,135.0,259.5,135.0,244.0,3713242,135.0,244.0,3713380,1537077398136,1537077397353
click,225.0,103.5,246.0,96.0,3713936,246.0,96.0,3714020,1537077398774,1537077398012
click,180.0,285.5,191.0,296.0,3714695,191.0,296.0,3714783,1537077399537,1537077398747
click,180.0,25.5,222.0,49.0,3715549,222.0,49.0,3715658,1537077400412,1537077399649
click,45.0,259.5,59.0,251.0,3716447,45.0,251.0,3716535,1537077401289,1537077400488
click,90.0,181.5,118.0,152.0,3717099,118.0,152.0,3717183,1537077401937,1537077401149
click,135.0,155.5,176.0,175.0,3717718,176.0,175.0,3717792,1537077402546,1537077401772
click,270.0,233.5,267.0,266.0,3719619,267.0,266.0,3719705,1537077404461,1537077403680
click,315.0,207.5,312.0,208.0,3720400,312.0,208.0,3720474,1537077405228,1537077404448
click,90.0,77.5,111.0,84.0,3721095,111.0,84.0,3721179,1537077405934,1537077405160
click,225.0,155.5,226.0,153.0,3721725,226.0,153.0,3721810,1537077406564,1537077405779
click,225.0,51.5,207.0,60.0,3722815,232.0,60.0,3722899,1537077407654,1537077406884
click,135.0,51.5,137.0,81.0,3725583,150.0,67.0,3725667,1537077410421,1537077409632
click,90.0,181.5,101.0,179.0,3726245,101.0,179.0,3726330,1537077411084,1537077410298
click,90.0,285.5,88.0,260.0,3726897,88.0,260.0,3726985,1537077411739,1537077410956
click,180.0,285.5,166.0,279.0,3727656,166.0,279.0,3727718,1537077412472,1537077411703
click,90.0,129.5,127.0,133.0,3728286,111.0,133.0,3728370,1537077413133,1537077412336
click,180.0,181.5,181.0,172.0,3730904,181.0,172.0,3730992,1537077415746,1537077414948
click,315.0,103.5,299.0,104.0,3731983,299.0,104.0,3732071,1537077416825,1537077416013
