Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:42:00:311,0.000,0.075,-0.009,0.035,-1.965,0.639,11.322
15:42:00:312,0.001,-0.015,0.022,0.019,-2.099,0.545,11.050
15:42:00:334,0.023,0.044,0.002,0.022,-2.316,0.448,10.652
15:42:00:36,0.049,-0.004,0.009,0.031,-2.450,0.410,10.345
15:42:00:386,0.075,0.028,-0.011,0.025,-2.478,0.341,10.156
15:42:00:413,0.103,0.015,0.003,0.009,-2.562,0.222,9.945
15:42:00:44,0.129,0.011,-0.015,-0.010,-2.603,0.067,9.837
15:42:00:465,0.155,0.002,-0.014,-0.006,-2.676,-0.012,9.685
15:42:00:491,0.180,0.033,-0.010,0.006,-2.706,-0.086,9.594
15:42:00:518,0.207,0.009,0.004,0.009,-2.757,-0.109,9.450
15:42:00:574,0.263,0.001,-0.049,0.002,-2.844,-0.147,9.312
15:42:00:574,0.263,-0.013,0.001,0.005,-2.878,-0.135,9.262
15:42:00:599,0.288,0.002,-0.027,-0.003,-2.963,-0.156,9.117
15:42:00:652,0.341,0.024,-0.033,0.006,-2.988,-0.174,9.009
15:42:00:652,0.342,0.044,-0.019,0.008,-2.987,-0.291,8.870
15:42:00:675,0.364,-0.005,-0.001,0.023,-2.992,-0.296,8.796
15:42:00:701,0.391,0.000,-0.005,-0.007,-2.991,-0.299,8.726
15:42:00:728,0.417,0.034,-0.008,0.000,-2.990,-0.302,8.677
15:42:00:783,0.473,0.005,-0.001,0.006,-2.958,-0.297,8.640
15:42:00:784,0.473,0.012,-0.003,0.014,-2.939,-0.295,8.632
15:42:00:837,0.526,0.005,-0.012,0.005,-2.927,-0.283,8.626
15:42:00:837,0.526,0.010,-0.009,0.018,-2.870,-0.228,8.624
15:42:00:859,0.548,0.009,-0.003,0.004,-2.821,-0.159,8.609
15:42:00:887,0.577,0.000,-0.007,0.009,-2.786,-0.105,8.585
15:42:00:94,0.630,0.014,-0.008,0.012,-2.707,-0.052,8.558
15:42:00:941,0.631,0.010,-0.006,0.007,-2.652,-0.006,8.553
15:42:00:964,0.653,0.012,-0.008,0.011,-2.567,0.085,8.558
15:42:00:99,0.679,0.019,0.005,0.015,-2.503,0.164,8.591
15:42:01:016,0.705,0.005,0.005,0.014,-2.440,0.209,8.566
15:42:01:043,0.732,0.024,-0.046,0.013,-2.331,0.304,8.567
15:42:01:069,0.759,0.003,0.003,0.010,-2.234,0.442,8.571
15:42:01:097,0.786,-0.037,-0.019,-0.006,-2.179,0.588,8.593
15:42:01:123,0.812,0.000,-0.005,0.008,-2.141,0.606,8.570
15:42:01:148,0.837,0.016,0.004,0.026,-2.093,0.615,8.505
15:42:01:174,0.863,0.006,-0.015,0.017,-2.030,0.612,8.424
15:42:01:2,0.890,-0.032,0.005,-0.005,-2.003,0.612,8.374
15:42:01:227,0.916,0.000,-0.010,0.009,-2.018,0.557,8.270
15:42:01:252,0.942,0.027,-0.007,0.006,-2.003,0.452,8.101
15:42:01:279,0.968,0.029,-0.011,0.017,-1.994,0.398,8.029
15:42:01:305,0.994,0.016,0.005,0.008,-1.983,0.369,7.950
15:42:01:331,1.021,-0.044,-0.001,-0.022,-1.956,0.378,7.900
15:42:01:358,1.047,0.009,-0.019,0.012,-1.889,0.335,7.774
15:42:01:413,1.102,-0.022,0.132,-0.027,-1.840,0.283,7.766
15:42:01:414,1.103,0.043,-0.020,0.005,-1.668,0.272,7.967
15:42:01:436,1.126,0.000,-0.011,0.007,-1.667,0.236,8.012
15:42:01:463,1.153,0.021,-0.015,0.006,-1.643,0.237,7.931
15:42:01:489,1.178,0.028,-0.016,0.024,-1.625,0.276,7.731
15:42:01:547,1.237,-0.104,0.000,-0.002,-1.608,0.312,7.565
15:42:01:548,1.237,0.014,-0.021,0.033,-1.713,0.302,7.216
