0,1,9.8935,9.0158,0.1689,0.70889,75.398,-123.11,-205.87,0.44559,0.22095,1
0,2,8.758,7.4641,0.63867,0.65525,-74.843,13.873,212.42,0.15878,0.3786,1
0,3,9.6708,8.6386,0.48,0.55225,89.095,-194.95,-197.38,0.16793,0.56562,1
0,4,7.1386,6.036,0.50346,0.59906,-90.248,-30.967,218.65,0.13328,0.25295,1
0,5,9.2985,8.7285,0.23732,0.33274,-68.788,100.84,87.671,0.26672,1.1131,1
1,1,14.403,14.043,0.061399,0.29823,-20.802,-214.57,205.26,0.30661,0.47286,1
1,2,17.058,15.917,0.44678,0.69428,-41.501,125.45,204.54,0.12356,0.3318,1
1,3,15.533,14.945,0.26942,0.3188,-77.375,78.757,144.71,0.15871,0.38083,1
1,4,15.801,14.733,0.37431,0.6941,-69.073,39.921,225.01,0.21687,0.71896,1
1,5,15.566,14.873,0.27885,0.4142,-59.482,-33.666,171.11,0.37408,1.2832,1
3,1,13.408,12.376,0.42546,0.60584,62.991,-98.5,-190.72,0.45137,0.40145,1
3,2,16.288,7.2345,0.48363,8.5697,74.138,-1.1041,-139.72,0.2043,0.21598,1
3,3,1.4401,1.0768,0.24663,0.11671,2.8273,-19.699,-50.445,0.22931,0.45556,5
3,4,2.8511,2.1995,0.4415,0.21004,14.481,-4.307,-223.05,0.18251,0.29341,3
3,5,2.3447,0.96823,0.41352,0.8538,-13.938,55.383,-106.62,0.55526,0.64981,3
4,1,16.433,16.309,0.057048,0.066832,-26.187,-268.92,225.58,0.24975,0.55183,1
4,2,12.92,11.624,0.60306,0.69245,-40.139,-110.17,222.58,0.11035,0.38816,1
4,3,14.513,13.131,0.51247,0.8704,-68.612,76.567,190.45,0.13268,0.73569,1
4,4,10.304,9.4108,0.43104,0.46168,-61.464,-69.725,209.88,0.11704,0.28662,1
4,5,13.383,12.414,0.51787,0.45113,-61.85,42.715,149.66,0.17604,0.83874,1
5,1,13.85,13.4,0.28163,0.16843,93.539,14.454,-121.49,0.38115,0.83696,1
5,2,15.308,14.009,0.78464,0.51486,96.511,155.37,-122.33,0.17469,0.63781,1
5,3,18.74,17.578,0.65305,0.50842,105.33,173.34,-135.8,0.12186,0.26167,1
5,4,14.453,12.713,0.35709,1.3831,89.652,-150.92,-150.83,0.27219,0.50998,1
5,5,13.32,12.769,0.30075,0.24995,58.177,-97.719,-56.768,0.41424,1.8968,1
6,1,9.0421,8.3322,0.27791,0.4319,102.62,-37.797,-181.56,0.31736,1.0697,1
6,2,12.15,8.455,0.59293,3.1017,90.229,-159.46,-178.1,0.26146,0.23794,1
6,3,10.882,9.918,0.4585,0.50535,75.072,113.48,-185.04,0.15429,0.61412,1
6,4,6.2519,5.0821,0.52699,0.64282,88.284,102.61,-157.1,0.26998,0.47517,2
6,5,10.771,8.9644,0.43122,1.3758,90.712,121.02,-129.8,0.37161,1.0012,1
7,1,8.3747,7.4274,0.58612,0.36115,56.271,-135.7,-219.49,0.22471,0.73852,2
7,2,11.741,10.452,0.63083,0.65861,59.197,-5.5984,-226.39,0.071824,0.42798,1
7,3,11.402,7.0707,3.9355,0.39574,87.768,114.66,-145.29,0.18704,0.4864,1
7,4,14.125,12.469,1.1372,0.51851,81.572,-137.46,-167.9,0.63189,0.95339,1
7,5,16.577,16.017,0.42903,0.13053,18.813,-112.71,-104.7,0.42208,1.6997,1
8,1,13.634,11.623,1.6973,0.3137,59.181,-113.21,-213.11,0.23436,0.32328,1
8,2,14.001,11.127,1.4676,1.4068,52.824,45.477,-232.42,0.20239,0.27944,1
8,3,12.616,10.919,0.69544,1.0013,42.391,-14.78,-254.17,0.23249,0.60089,1
