0,1,4.5044,0.074959,0.14258,106.03,-90.501,99.759,0.48789,0.24461,3
0,2,2.7149,0.62994,0.66878,-77.382,-40.646,222.94,0.15371,0.40362,3
0,3,2.9079,0.56101,0.73411,96.073,5.9263,-213.37,0.18789,0.60891,3
0,4,2.7178,0.4914,0.59453,-93.217,-62.914,214.08,0.17932,0.56328,3
0,5,-25.675,0.53972,1.1758,19.298,-129.66,-18.015,0.32819,0.81367,2
1,1,2.4986,0.08517,0.27969,-14.697,-191.7,220.31,0.42423,0.86419,3
1,2,3.1156,0.48655,0.5895,-65.167,47.737,214.46,0.13899,0.49664,3
1,3,3.0413,0.35873,0.48186,-58.193,56.161,216.18,0.15327,0.79132,3
1,4,3.2889,0.35936,0.43995,-53.347,92.79,208.6,0.15283,1.0176,3
1,5,4.8505,0.40405,0.9353,-55.855,-40.051,191.2,0.40123,1.5285,3
3,1,3.234,0.31146,1.0264,66.651,-99.294,-192.34,0.42648,0.44658,3
3,2,3.7794,0.63077,1.0074,63.647,31.269,-193.83,0.14352,0.41603,3
3,3,3.2846,0.95496,0.54601,84.537,-46.032,-233.01,0.3491,0.89097,2
3,4,2.6691,0.33689,0.49869,52.456,25.95,-205.6,0.19012,1.1183,3
3,5,2.2495,0.55965,0.27173,8.5539,-76.021,-144.74,0.38636,1.6157,2
4,1,4.3613,0.17685,0.12512,-46.886,-228.04,-96.102,0.23772,1.1379,2
4,2,4.3308,0.52341,0.50389,-50.665,81.479,-105.14,0.14375,0.44571,3
4,3,5.4192,0.63663,0.69123,-77.603,-40.983,-101.26,0.16233,0.52816,3
4,4,3.9465,0.60669,0.52699,-61.336,-15.784,-94.055,0.14063,0.57818,3
4,5,-3.2083,0.44078,0.70109,1.4953,-72.21,-8.221,1.2118,0.26848,3
5,1,4.9563,0.36128,0.35508,88.262,-81.905,-178.49,0.21836,0.46415,2
5,2,4.8228,0.62908,0.79069,85.125,11.097,-170.09,0.18932,0.60911,2
5,3,4.3392,0.56059,0.54759,88.756,2.0422,-147.75,0.15842,0.59779,3
5,4,3.9999,0.91632,1.3339,57.14,4.8158,-205.58,0.45603,0.57523,3
5,5,3.6855,0.52398,0.6297,37,-22.602,-101.57,0.3757,0.78652,3
6,1,1.8682,0.36251,0.4684,105.33,-84.349,-235.39,0.28142,0.6984,1
6,2,3.7415,0.54231,0.64554,96.822,-21.785,-147.62,0.16153,0.42088,3
6,3,3.9378,0.70897,0.55491,71.943,-36.426,-174.48,0.18877,0.51497,3
6,4,3.4498,0.52569,0.61011,60.772,-15.086,-196.49,0.26349,0.81606,3
6,5,3.7437,0.68955,0.92917,44.641,-50.165,-168.19,0.4699,1.1498,2
7,1,4.261,0.82646,0.12564,41.028,-148.56,-213.29,0.12732,0.3034,3
