Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:32:33:331,0.000,-0.009,-0.002,0.000,-9.314,-64.162,0.319
15:32:33:331,0.000,-0.015,-0.001,-0.007,-9.319,-64.189,0.271
15:32:33:332,0.001,-0.016,-0.004,-0.016,-9.312,-64.135,0.254
15:32:33:333,0.002,-0.017,0.001,-0.015,-9.307,-64.114,0.251
15:32:33:35,0.019,-0.009,-0.002,-0.017,-9.304,-64.088,0.243
15:32:33:409,0.078,-0.006,-0.004,-0.015,-9.290,-64.091,0.234
15:32:33:41,0.079,-0.016,-0.005,-0.003,-9.247,-64.091,0.243
15:32:33:411,0.080,-0.005,0.002,-0.017,-9.235,-64.092,0.249
15:32:33:462,0.131,-0.005,-0.003,-0.010,-9.219,-64.117,0.252
15:32:33:463,0.132,-0.018,-0.001,-0.002,-9.212,-64.141,0.226
15:32:33:463,0.132,-0.005,-0.005,-0.021,-9.226,-64.144,0.194
15:32:33:464,0.133,-0.006,-0.002,-0.015,-9.252,-64.147,0.176
15:32:33:54,0.209,-0.004,0.000,-0.013,-9.274,-64.161,0.137
15:32:33:541,0.210,-0.014,-0.002,-0.006,-9.288,-64.184,0.107
15:32:33:542,0.211,-0.005,-0.003,-0.015,-9.305,-64.197,0.067
15:32:33:692,0.361,-0.012,-0.005,-0.013,-9.303,-64.207,0.056
15:32:33:693,0.362,-0.014,0.000,-0.008,-9.295,-64.211,0.049
15:32:33:743,0.413,-0.011,-0.001,-0.012,-9.287,-64.215,0.042
15:32:33:797,0.467,-0.009,0.001,-0.012,-9.285,-64.225,0.032
15:32:33:798,0.468,-0.008,-0.002,-0.014,-9.259,-64.251,0.052
15:32:33:829,0.499,-0.015,-0.003,-0.008,-9.228,-64.268,0.071
15:32:33:83,0.500,-0.006,0.000,-0.016,-9.186,-64.290,0.112
15:32:33:831,0.500,-0.008,0.000,-0.013,-9.153,-64.293,0.154
15:32:33:832,0.501,-0.014,-0.002,-0.013,-9.096,-64.293,0.225
15:32:33:873,0.543,-0.017,-0.004,-0.013,-9.063,-64.306,0.269
15:32:33:96,0.629,-0.010,0.000,-0.016,-9.042,-64.311,0.289
15:32:33:961,0.630,-0.011,0.000,-0.010,-9.032,-64.313,0.306
15:32:33:962,0.631,-0.011,0.000,-0.011,-9.027,-64.312,0.305
15:32:33:963,0.632,-0.016,-0.003,-0.015,-9.021,-64.313,0.324
15:32:34:012,0.682,-0.010,-0.001,-0.009,-9.007,-64.337,0.342
15:32:34:013,0.682,-0.016,-0.002,-0.007,-8.989,-64.336,0.348
15:32:34:014,0.683,-0.012,-0.003,-0.017,-8.968,-64.353,0.369
15:32:34:015,0.684,-0.007,0.003,-0.016,-8.948,-64.375,0.385
15:32:34:088,0.757,-0.013,-0.006,-0.010,-8.916,-64.406,0.409
15:32:34:089,0.758,-0.005,0.000,-0.011,-8.900,-64.413,0.431
15:32:34:09,0.759,-0.015,-0.005,-0.010,-8.871,-64.419,0.459
15:32:34:189,0.858,-0.008,-0.001,-0.008,-8.862,-64.431,0.489
15:32:34:222,0.891,-0.010,0.000,-0.014,-8.856,-64.428,0.512
15:32:34:223,0.892,-0.005,-0.002,-0.015,-8.834,-64.433,0.532
15:32:34:224,0.893,-0.017,-0.003,-0.011,-8.825,-64.450,0.546
15:32:34:225,0.894,-0.009,0.000,-0.014,-8.821,-64.456,0.561
15:32:34:24,0.909,-0.012,0.000,-0.010,-8.815,-64.457,0.580
15:32:34:38,1.050,-0.008,-0.001,-0.011,-8.808,-64.459,0.588
15:32:34:381,1.051,-0.014,0.000,-0.009,-8.805,-64.460,0.598
15:32:34:382,1.051,-0.011,-0.001,-0.012,-8.799,-64.464,0.602
15:32:34:43,1.099,-0.010,-0.004,-0.012,-8.811,-64.468,0.580
15:32:34:43,1.100,-0.013,-0.003,-0.010,-8.823,-64.468,0.573
15:32:34:431,1.101,-0.009,0.000,-0.014,-8.843,-64.468,0.558
15:32:34:479,1.149,-0.010,-0.003,-0.012,-8.856,-64.472,0.547
15:32:34:48,1.149,-0.004,-0.005,-0.012,-8.887,-64.477,0.530
15:32:34:502,1.172,-0.016,-0.005,-0.015,-8.899,-64.476,0.524
15:32:34:612,1.282,-0.010,-0.002,-0.014,-8.932,-64.476,0.502
15:32:34:612,1.282,-0.014,-0.002,-0.010,-8.959,-64.484,0.480
15:32:34:639,1.308,-0.008,0.005,-0.014,-8.979,-64.484,0.465
15:32:34:64,1.309,-0.013,-0.001,-0.014,-8.994,-64.483,0.448
15:32:34:641,1.310,-0.013,-0.006,-0.014,-9.012,-64.489,0.439
15:32:34:801,1.470,-0.010,-0.001,-0.009,-9.046,-64.493,0.413
15:32:34:802,1.471,-0.015,0.001,-0.012,-9.067,-64.466,0.391
15:32:34:802,1.472,-0.018,-0.003,-0.007,-9.088,-64.449,0.370
15:32:34:803,1.473,-0.017,-0.001,-0.012,-9.144,-64.412,0.337
15:32:34:852,1.521,-0.009,-0.002,-0.013,-9.188,-64.348,0.303
15:32:34:853,1.522,-0.008,0.002,-0.016,-9.277,-64.220,0.236
15:32:34:854,1.523,0.007,-0.002,0.007,-9.360,-64.130,0.175
15:32:34:854,1.524,-0.051,-0.009,-0.022,-9.522,-63.945,0.010
15:32:34:928,1.597,-0.014,-0.016,-0.034,-9.789,-63.772,-0.325
15:32:34:929,1.598,-0.007,-0.009,-0.025,-9.994,-63.755,-0.589
15:32:34:93,1.599,0.012,-0.004,-0.011,-10.219,-63.801,-0.934
15:32:34:978,1.647,0.004,0.001,-0.010,-10.325,-63.872,-1.094
15:32:34:979,1.648,0.010,-0.003,-0.008,-10.424,-64.078,-1.234
15:32:35:057,1.727,-0.007,0.021,-0.003,-10.471,-64.314,-1.272
15:32:35:058,1.728,-0.014,0.000,-0.012,-10.477,-64.417,-1.282
15:32:35:083,1.753,-0.021,-0.012,-0.007,-10.529,-64.549,-1.317
15:32:35:084,1.753,-0.005,-0.004,0.002,-10.559,-64.614,-1.339
15:32:35:135,1.804,-0.004,0.006,-0.003,-10.611,-64.632,-1.374
15:32:35:162,1.831,-0.002,0.002,-0.015,-10.664,-64.626,-1.395
15:32:35:163,1.832,-0.008,-0.002,-0.010,-10.702,-64.641,-1.398
15:32:35:214,1.883,-0.001,0.000,-0.006,-10.751,-64.659,-1.387
15:32:35:215,1.884,-0.015,-0.003,-0.018,-10.762,-64.681,-1.371
15:32:35:266,1.936,-0.005,0.000,-0.010,-10.761,-64.762,-1.339
15:32:35:267,1.937,-0.010,-0.003,-0.003,-10.759,-64.805,-1.325
15:32:35:349,2.018,-0.008,-0.002,-0.008,-10.742,-64.825,-1.282
15:32:35:35,2.019,-0.013,-0.002,-0.008,-10.730,-64.824,-1.228
15:32:35:351,2.020,0.000,0.007,-0.008,-10.713,-64.812,-1.188
15:32:35:398,2.067,-0.011,-0.004,-0.016,-10.675,-64.786,-1.118
15:32:35:399,2.068,-0.007,-0.003,-0.008,-10.672,-64.785,-1.072
15:32:35:477,2.146,-0.017,-0.005,-0.016,-10.654,-64.737,-1.020
15:32:35:478,2.147,-0.011,0.000,-0.013,-10.652,-64.695,-0.967
15:32:35:584,2.253,-0.018,-0.001,-0.012,-10.633,-64.671,-0.939
15:32:35:584,2.253,-0.007,-0.003,-0.013,-10.630,-64.656,-0.879
15:32:35:608,2.277,-0.007,-0.002,-0.016,-10.620,-64.655,-0.845
15:32:35:609,2.278,-0.016,0.000,-0.014,-10.584,-64.647,-0.794
15:32:35:641,2.310,-0.002,0.000,-0.011,-10.587,-64.645,-0.768
15:32:35:642,2.311,-0.010,-0.002,-0.013,-10.559,-64.643,-0.730
15:32:35:643,2.312,-0.010,-0.001,-0.010,-10.515,-64.620,-0.688
15:32:35:643,2.312,-0.015,-0.001,-0.009,-10.510,-64.576,-0.657
15:32:35:772,2.441,0.000,0.001,-0.020,-10.495,-64.517,-0.615
15:32:35:772,2.441,-0.007,0.000,-0.019,-10.463,-64.504,-0.578
15:32:35:773,2.442,-0.003,0.002,-0.004,-10.397,-64.504,-0.510
15:32:35:774,2.443,-0.015,-0.004,-0.010,-10.336,-64.507,-0.445
15:32:35:821,2.490,-0.010,-0.006,-0.021,-10.303,-64.511,-0.402
15:32:35:821,2.491,-0.017,-0.002,-0.015,-10.272,-64.515,-0.349
15:32:35:822,2.492,-0.013,-0.007,-0.008,-10.249,-64.520,-0.340
15:32:35:901,2.570,-0.020,-0.003,-0.003,-10.225,-64.512,-0.327
15:32:35:901,2.570,-0.011,-0.004,-0.020,-10.215,-64.485,-0.316
15:32:35:901,2.570,-0.012,-0.002,-0.013,-10.209,-64.487,-0.297
15:32:35:949,2.619,-0.008,-0.005,-0.012,-10.193,-64.494,-0.275
15:32:35:95,2.619,-0.015,-0.005,-0.008,-10.169,-64.495,-0.262
15:32:36:031,2.700,-0.009,-0.002,-0.011,-10.139,-64.525,-0.211
15:32:36:031,2.700,-0.016,-0.002,-0.018,-10.130,-64.537,-0.181
15:32:36:032,2.701,-0.010,-0.001,-0.014,-10.128,-64.587,-0.152
15:32:36:168,2.837,-0.018,-0.001,-0.001,-10.114,-64.620,-0.132
15:32:36:168,2.838,-0.016,-0.006,-0.015,-10.115,-64.619,-0.122
15:32:36:168,2.838,-0.014,-0.001,-0.014,-10.148,-64.645,-0.125
15:32:36:169,2.839,-0.014,-0.002,-0.016,-10.185,-64.666,-0.143
15:32:36:186,2.855,-0.023,-0.004,-0.012,-10.240,-64.696,-0.187
15:32:36:187,2.856,-0.016,-0.006,-0.006,-10.319,-64.727,-0.259
15:32:36:324,2.993,-0.013,0.005,-0.009,-10.380,-64.728,-0.308
15:32:36:325,2.994,-0.014,-0.005,-0.013,-10.456,-64.723,-0.390
15:32:36:326,2.995,-0.002,-0.005,-0.007,-10.511,-64.724,-0.452
15:32:36:326,2.996,-0.005,-0.002,-0.005,-10.596,-64.729,-0.530
15:32:36:372,3.041,-0.005,0.000,-0.017,-10.625,-64.721,-0.558
15:32:36:373,3.042,-0.004,0.001,-0.007,-10.657,-64.720,-0.580
15:32:36:374,3.043,-0.009,-0.004,-0.002,-10.670,-64.696,-0.573
15:32:36:451,3.120,-0.013,-0.006,-0.004,-10.691,-64.640,-0.577
15:32:36:451,3.121,-0.017,-0.014,0.001,-10.722,-64.508,-0.596
15:32:36:452,3.121,-0.010,-0.002,0.005,-10.753,-64.352,-0.612
15:32:36:556,3.226,-0.007,0.002,-0.040,-10.777,-64.010,-0.626
15:32:36:557,3.227,-0.015,-0.008,-0.016,-10.802,-63.864,-0.710
15:32:36:558,3.228,-0.005,-0.004,-0.013,-10.828,-63.858,-0.765
15:32:36:579,3.248,-0.008,-0.001,-0.012,-10.851,-63.790,-0.837
15:32:36:58,3.249,-0.004,0.001,-0.028,-10.850,-63.741,-0.857
15:32:36:717,3.386,-0.014,0.001,-0.029,-10.831,-63.800,-0.853
15:32:36:718,3.387,-0.005,0.010,-0.020,-10.817,-63.990,-0.854
15:32:36:719,3.388,-0.015,-0.009,-0.021,-10.794,-64.170,-0.860
15:32:36:72,3.389,-0.008,-0.005,0.018,-10.783,-64.493,-0.890
15:32:36:737,3.407,-0.010,-0.003,0.010,-10.764,-64.631,-0.898
15:32:36:737,3.407,0.000,0.000,-0.017,-10.734,-64.736,-0.887
15:32:36:789,3.458,-0.008,0.000,-0.012,-10.687,-64.826,-0.857
15:32:36:79,3.459,-0.016,0.003,-0.014,-10.616,-64.958,-0.798
15:32:36:84,3.509,-0.019,-0.008,-0.004,-10.554,-65.081,-0.748
15:32:36:926,3.595,-0.016,-0.010,-0.002,-10.521,-65.146,-0.732
15:32:36:927,3.596,-0.012,-0.003,-0.010,-10.469,-65.165,-0.714
15:32:36:927,3.597,-0.010,-0.001,-0.017,-10.443,-65.172,-0.696
15:32:36:928,3.598,-0.014,-0.003,-0.011,-10.401,-65.194,-0.675
15:32:36:974,3.643,-0.010,-0.002,-0.005,-10.361,-65.240,-0.657
15:32:36:974,3.643,-0.006,0.000,-0.002,-10.322,-65.248,-0.632
15:32:36:997,3.666,-0.010,0.002,-0.011,-10.239,-65.242,-0.563
15:32:37:139,3.809,-0.008,-0.001,-0.010,-10.178,-65.245,-0.498
15:32:37:139,3.809,-0.014,-0.005,-0.009,-10.095,-65.252,-0.409
15:32:37:139,3.809,-0.005,0.001,-0.005,-10.011,-65.232,-0.306
15:32:37:14,3.809,-0.011,0.003,-0.010,-9.954,-65.191,-0.239
15:32:37:156,3.825,-0.004,0.001,-0.019,-9.879,-65.147,-0.130
15:32:37:295,3.964,-0.015,-0.004,-0.012,-9.838,-65.126,-0.066
15:32:37:296,3.965,-0.006,-0.002,-0.015,-9.767,-65.095,0.029
15:32:37:297,3.966,-0.013,-0.004,-0.011,-9.702,-65.085,0.107
15:32:37:297,3.966,0.037,0.007,0.026,-9.568,-65.084,0.264
15:32:37:346,4.016,-0.030,0.001,-0.019,-9.362,-65.001,0.532
15:32:37:347,4.016,-0.012,-0.006,-0.029,-9.255,-64.950,0.682
15:32:37:348,4.017,-0.021,-0.003,0.004,-9.135,-65.017,0.864
15:32:37:349,4.018,-0.007,-0.005,-0.005,-9.057,-65.029,0.971
15:32:37:393,4.063,0.000,0.012,-0.016,-8.952,-64.959,1.115
15:32:37:394,4.064,-0.005,0.009,-0.025,-8.913,-64.913,1.193
15:32:37:416,4.085,-0.036,-0.026,-0.009,-8.914,-64.886,1.186
15:32:37:559,4.228,-0.015,-0.005,-0.002,-8.952,-64.899,1.131
15:32:37:559,4.228,-0.015,-0.010,-0.006,-8.970,-64.875,1.083
15:32:37:559,4.229,-0.011,0.000,-0.015,-9.031,-64.834,0.999
15:32:37:56,4.229,-0.018,-0.002,-0.008,-9.083,-64.824,0.926
15:32:37:681,4.350,-0.022,-0.001,-0.009,-9.194,-64.832,0.778
15:32:37:768,4.437,-0.008,-0.004,-0.009,-9.338,-64.833,0.568
15:32:37:768,4.438,-0.007,0.004,-0.007,-9.453,-64.833,0.405
15:32:37:769,4.438,-0.018,-0.005,-0.009,-9.641,-64.811,0.133
15:32:37:769,4.439,0.000,-0.005,0.014,-9.777,-64.808,-0.065
15:32:37:811,4.481,-0.009,0.031,-0.031,-9.940,-64.748,-0.322
15:32:37:846,4.515,-0.004,-0.014,-0.001,-10.021,-64.789,-0.538
15:32:37:846,4.515,-0.003,-0.019,0.005,-10.046,-64.873,-0.648
15:32:37:847,4.516,-0.037,-0.049,-0.024,-10.051,-64.927,-0.782
15:32:37:848,4.517,-0.019,-0.090,-0.003,-10.051,-64.955,-0.899
15:32:37:977,4.646,-0.036,-0.090,-0.010,-10.019,-64.930,-1.055
15:32:37:978,4.647,0.018,0.103,0.031,-9.911,-64.625,-1.092
15:32:37:979,4.648,-0.053,0.106,-0.046,-9.851,-64.265,-1.124
15:32:37:979,4.648,0.010,0.013,-0.048,-10.021,-63.958,-1.406
15:32:38:005,4.675,0.005,-0.011,-0.006,-10.072,-63.869,-1.627
15:32:38:006,4.675,-0.003,-0.011,-0.003,-10.071,-63.809,-1.860
15:32:38:006,4.675,0.016,0.005,0.014,-10.050,-63.830,-1.911
15:32:38:007,4.676,0.001,0.010,-0.033,-9.971,-63.765,-1.861
15:32:38:134,4.804,-0.040,-0.013,-0.039,-9.880,-63.703,-1.861
15:32:38:135,4.804,-0.033,-0.013,-0.009,-9.902,-63.791,-1.920
15:32:38:136,4.805,-0.002,0.005,0.017,-10.043,-63.877,-2.074
15:32:38:136,4.806,-0.011,-0.003,-0.032,-10.096,-63.747,-2.220
15:32:38:183,4.852,-0.006,0.002,-0.017,-10.140,-63.585,-2.428
15:32:38:184,4.853,-0.005,-0.003,-0.015,-10.175,-63.591,-2.547
15:32:38:267,4.936,-0.001,-0.002,-0.005,-10.205,-63.624,-2.593
15:32:38:267,4.936,-0.006,0.006,-0.001,-10.181,-63.643,-2.665
15:32:38:268,4.937,-0.022,-0.024,-0.005,-10.110,-63.535,-2.793
15:32:38:268,4.938,0.007,0.032,0.014,-9.970,-63.264,-3.014
15:32:38:283,4.952,-0.029,-0.026,-0.030,-9.845,-62.857,-3.330
15:32:38:312,4.982,-0.018,-0.003,-0.019,-9.827,-62.654,-3.500
15:32:38:312,4.982,-0.009,-0.010,-0.005,-9.824,-62.476,-3.670
15:32:38:364,5.033,0.000,-0.008,-0.012,-9.853,-62.362,-3.738
15:32:38:391,5.060,-0.008,-0.002,-0.017,-9.917,-62.180,-3.818
15:32:38:392,5.061,-0.028,-0.001,-0.026,-9.956,-62.086,-3.846
15:32:38:528,5.198,0.002,0.002,-0.007,-10.013,-62.044,-3.854
15:32:38:529,5.199,0.012,-0.002,0.003,-10.054,-62.004,-3.826
15:32:38:53,5.199,-0.012,-0.006,-0.011,-10.046,-61.960,-3.774
15:32:38:531,5.200,-0.019,0.008,-0.021,-10.041,-61.886,-3.678
15:32:38:549,5.218,0.008,0.001,-0.008,-10.028,-61.879,-3.595
15:32:38:549,5.218,0.002,0.001,-0.008,-9.940,-61.857,-3.398
15:32:38:659,5.328,-0.005,0.002,-0.011,-9.815,-61.823,-3.140
15:32:38:66,5.329,0.048,-0.013,0.007,-9.746,-61.781,-2.940
15:32:38:661,5.330,-0.031,-0.009,-0.055,-9.593,-61.719,-2.563
15:32:38:662,5.331,-0.053,0.000,-0.030,-9.492,-61.732,-2.326
15:32:38:678,5.347,-0.023,0.002,0.001,-9.403,-61.740,-2.092
15:32:38:732,5.401,-0.025,-0.013,-0.001,-9.395,-61.685,-2.016
15:32:38:732,5.401,-0.022,-0.004,-0.033,-9.438,-61.438,-2.003
15:32:38:869,5.538,-0.017,-0.007,-0.019,-9.527,-61.275,-1.992
15:32:38:87,5.539,-0.015,0.005,-0.014,-9.590,-61.204,-2.048
15:32:38:871,5.540,-0.017,-0.002,-0.015,-9.702,-61.093,-2.172
15:32:38:871,5.541,-0.012,-0.006,-0.019,-9.806,-61.040,-2.247
