"","x","y","no","mark"
"1",250,240,10001,"left"
"2",230,236,10001,"left"
"3",201.46034,237.28218,10001,"left"
"4",171.36082,242.72783,10001,"left"
"5",142.55002,252.24736,10001,"left"
"6",121.16261,264.07834,10001,"left"
"7",277,217,10002,"left"
"8",233.02606,217,10002,"left"
"9",208.80565,215.27779,10002,"left"
"10",189.01361,212.09338,10002,"left"
"11",172.7067,208.19273,10002,"left"
"12",172,208,10002,"left"
"13",298,173,10003,"error"
"14",317,167,10003,"error"
"15",329,165.5,10003,"error"
"16",238,290,10004,"left"
"17",215.47786,282.4949,10004,"left"
"18",193.00395,277.80078,10004,"left"
"19",169.44939,271.7528,10004,"left"
"20",143.28557,267.7983,10004,"left"
"21",237,222,10005,"left"
"22",218,222,10005,"left"
"23",194.37138,226.08794,10005,"left"
"24",173.07411,227.34859,10005,"left"
"25",147.89606,230.64449,10005,"left"
"26",123.5,237,10005,"left"
"27",106.60728,244.66876,10005,"left"
"28",106,245,10005,"left"
"29",181,211,10006,"right"
"30",199,202,10006,"right"
"31",238.0642,201.91493,10006,"right"
"32",274.75064,207.68767,10006,"right"
"33",301.50024,214.1177,10006,"right"
"34",324.39984,218.38747,10006,"right"
"35",245,194,10007,"left"
"36",227,190,10007,"left"
"37",201.46124,192.50775,10007,"left"
"38",178.71593,196.10895,10007,"left"
"39",156.3064,198.8995,10007,"left"
"40",132.5,200.5,10007,"left"
"41",122,200,10007,"left"
"42",303,185,10008,"left"
"43",276.86603,196.189,10008,"left"
"44",257.76324,196.44081,10008,"left"
"45",233.36449,191.74876,10008,"left"
"46",199.70511,188.12686,10008,"left"
"47",180.96945,184.61069,10008,"left"
"48",164.54814,177.77406,10008,"left"
"49",159.5,171.5,10008,"left"
"50",188,157,10009,"right"
"51",242.47685,162.75926,10009,"right"
"52",276.6118,164.95914,10009,"right"
"53",306.9497,167,10009,"right"
"54",329.8545,169.11394,10009,"right"
"55",314,201,10010,"left"
"56",274.96933,193.98978,10010,"left"
"57",244.3217,184.10724,10010,"left"
"58",208.27711,172.09238,10010,"left"
"59",167.20337,162.32819,10010,"left"
"60",153.3331,162,10010,"left"
"61",145.81395,162.8372,10010,"left"
"62",145,163,10010,"left"
"63",292,185,10011,"left"
"64",268,200,10011,"left"
"65",248.08571,209.14285,10011,"left"
"66",225.0114,216.93394,10011,"left"
"67",192.78224,225.91313,10011,"left"
"68",151.12378,233.35797,10011,"left"
"69",134.15251,234,10011,"left"
"70",118.58087,231.58087,10011,"left"
"71",114,227,10011,"left"
"72",241,280,10012,"left"
"73",227,280,10012,"left"
"74",209.11655,280,10012,"left"
"75",189.58748,277.2125,10012,"left"
"76",165.03198,272.50534,10012,"left"
"77",136.5,267.5,10012,"left"
"78",117.11209,265.15088,10012,"left"
"79",94,265,10012,"left"
"80",84.5,263.5,10012,"left"
"81",308,205,10013,"left"
"82",278.5128,216.44617,10013,"left"
"83",259.17923,218.40297,10013,"left"
"84",235.16103,224.29039,10013,"left"
"85",203.51471,227.09706,10013,"left"
"86",176.13324,230.73335,10013,"left"
"87",156.13976,233.64337,10013,"left"
"88",140.74097,231.05354,10013,"left"
"89",127,224.5,10013,"left"
"90",263,147,10014,"left"
"91",245,147,10014,"left"
"92",222.44708,149.31058,10014,"left"
"93",195.6388,152.73206,10014,"left"
"94",171.9519,155.878,10014,"left"
"95",149.66357,160.3578,10014,"left"
"96",139,162,10014,"left"
"97",196,186,10015,"right"
"98",218,190,10015,"right"
"99",236.90698,188.72757,10015,"right"
"100",261.41986,186.78625,10015,"right"
"101",292.50436,182.71683,10015,"right"
"102",321.84637,176.9797,10015,"right"
"103",285,161,10016,"left"
"104",263,172,10016,"left"
"105",239.48318,182.83894,10016,"left"
"106",216.57397,186.59013,10016,"left"
"107",194.74554,188,10016,"left"
"108",161.03035,188.57288,10016,"left"
"109",135.47185,186.40845,10016,"left"
"110",132,186,10016,"left"
"111",274,179,10017,"left"
"112",260,184,10017,"left"
"113",243.37704,184,10017,"left"
"114",225.00716,184,10017,"left"
"115",204.23975,175.44276,10017,"left"
"116",182,166,10017,"left"
"117",165.49736,159.24867,10017,"left"
"118",144,154.5,10017,"left"
"119",170,192,10018,"right"
"120",195.97939,188.89806,10018,"right"
"121",213.32477,188,10018,"right"
"122",229.94092,191.08485,10018,"right"
"123",243.49533,196.27103,10018,"right"
"124",257.24298,202.56741,10018,"right"
"125",258,203,10018,"right"
"126",304,193,10019,"left"
"127",271.7328,198,10019,"left"
"128",245.9354,198,10019,"left"
"129",218.14227,193.96628,10019,"left"
"130",186.178,187.19633,10019,"left"
"131",163.26678,184.28336,10019,"left"
"132",146.7417,182,10019,"left"
"133",136,177.5,10019,"left"
"134",139,170,10019,"left"
"135",284,159,10020,"left"
"136",256.60593,167.71216,10020,"left"
"137",232.79874,174.38701,10020,"left"
"138",217.1627,175,10020,"left"
"139",199.46806,170.23404,10020,"left"
"140",184.47516,166.24586,10020,"left"
"141",169.5,161.5,10020,"left"
"142",166.5,158.5,10020,"left"
"143",299,184,10021,"left"
"144",276,191,10021,"left"
"145",257.25974,195.34465,10021,"left"
"146",239.2475,199.75069,10021,"left"
"147",220.33762,202.79422,10021,"left"
"148",199.28209,206.67398,10021,"left"
"149",180.50978,210.37256,10021,"left"
"150",162.17644,212.4385,10021,"left"
"151",153.04727,210.23273,10021,"left"
"152",152,210,10021,"left"
"153",305,165,10022,"left"
"154",268.11642,172.04066,10022,"left"
"155",237.4296,176.83556,10022,"left"
"156",209.7765,177,10022,"left"
"157",188.13556,177,10022,"left"
"158",176.18439,174.39479,10022,"left"
"159",175,174,10022,"left"
"160",170,202,10023,"right"
"161",189.88464,202,10023,"right"
"162",197.22145,202,10023,"right"
"163",204.19211,207.19211,10023,"right"
"164",218.22536,212.49014,10023,"right"
"165",233.08734,217.02382,10023,"right"
"166",252.41608,221,10023,"right"
"167",276.46518,218.80464,10023,"right"
"168",294.5,211.5,10023,"right"
"169",182,176,10024,"right"
"170",197,176,10024,"right"
"171",208.59007,176,10024,"right"
"172",223.73479,181.2744,10024,"right"
"173",239.82153,185.20538,10024,"right"
"174",255.8805,188.06918,10024,"right"
"175",270.0713,192.02376,10024,"right"
"176",285.48367,195.58943,10024,"right"
"177",300.00693,193.77623,10024,"right"
"178",305,186.5,10024,"right"
"179",148,181,10025,"right"
"180",180.63535,173.44705,10025,"right"
"181",199.07152,173,10025,"right"
"182",215.78769,173,10025,"right"
"183",236.12096,173,10025,"right"
"184",259.24692,173.35957,10025,"right"
"185",286.30463,173,10025,"right"
"186",311.34665,165.41335,10025,"right"
"187",317,164,10025,"right"
"188",158,173,10026,"error"
"189",172.13077,150.29231,10026,"error"
"190",191.40657,145.0989,10026,"error"
"191",192,145,10026,"error"
"192",212,210,10027,"left"
"193",186,210,10027,"left"
"194",159.67477,214,10027,"left"
"195",129.94681,214,10027,"left"
"196",109.41393,207.60349,10027,"left"
"197",87.51749,200.50583,10027,"left"
"198",282,157,10028,"left"
"199",252.2224,182.02208,10028,"left"
"200",234.5,192,10028,"left"
"201",204.40628,193.03299,10028,"left"
"202",166.567,190.81285,10028,"left"
"203",125.78742,186.87456,10028,"left"
"204",103.03865,182.55035,10028,"left"
"205",85.55656,176.47511,10028,"left"
"206",76.5,169.5,10028,"left"
"207",295,184,10029,"left"
"208",267.04553,184,10029,"left"
"209",240.88342,188.7333,10029,"left"
"210",217.68163,189,10029,"left"
"211",194.45285,189,10029,"left"
"212",179.80983,186.76196,10029,"left"
"213",165.42532,183.65007,10029,"left"
"214",171,187,10030,"right"
"215",195.45576,180,10030,"right"
"216",207.38446,182.82039,10030,"right"
"217",217.5043,186.07204,10030,"right"
"218",234.97481,186,10030,"right"
"219",263.10764,176.38799,10030,"right"
"220",264,176,10030,"right"
"221",326,186,10031,"left"
"222",310.472,186.352,10031,"left"
"223",301.35733,190.60712,10031,"left"
"224",291.1057,191,10031,"left"
