"","x","y","no","mark"
"1",287,205,10001,"left"
"2",254.27858,205,10001,"left"
"3",222.29422,208.69038,10001,"left"
"4",193.06018,212.2042,10001,"left"
"5",168.97583,213.69417,10001,"left"
"6",147.26903,215.18207,10001,"left"
"7",139.5,215,10001,"left"
"8",270,216,10002,"left"
"9",246.6753,216,10002,"left"
"10",227.35056,221.58908,10002,"left"
"11",200.79861,226.22685,10002,"left"
"12",176.9144,230.61713,10002,"left"
"13",158.01082,229.27371,10002,"left"
"14",155,229,10002,"left"
"15",188,147,10003,"right"
"16",230.33487,156.57799,10003,"right"
"17",257.4545,159.91414,10003,"right"
"18",287.79227,163.02783,10003,"right"
"19",313.24417,165.79343,10003,"right"
"20",333,170.5,10003,"right"
"21",198,173,10004,"right"
"22",237.73999,157.94714,10004,"right"
"23",266.00986,158,10004,"right"
"24",303.2168,160.22977,10004,"right"
"25",300,176,10005,"left"
"26",258.24094,176,10005,"left"
"27",219.90994,178.62231,10005,"left"
"28",186.75987,182.72383,10005,"left"
"29",158.83363,189.03564,10005,"left"
"30",146.74612,194.44617,10005,"left"
"31",263,227,10006,"error"
"32",230.1736,231.98071,10006,"error"
"33",220.51505,233,10006,"error"
"34",209.92726,233,10006,"error"
"35",205.7369,233.63155,10006,"error"
"36",201.61703,236.25531,10006,"error"
"37",201.38649,238.61351,10006,"error"
"38",197.70279,240.09908,10006,"error"
"39",197.33075,241,10006,"error"
"40",196.5,241,10006,"error"
"41",197,232,10006,"error"
"42",207.52322,228.31784,10006,"error"
"43",208,226.235,10006,"error"
"44",208,224,10006,"error"
"45",273,167,10007,"left"
"46",232.02415,165.94402,10007,"left"
"47",210.64874,163.97298,10007,"left"
"48",189.18733,162.37053,10007,"left"
"49",171.59193,159.51839,10007,"left"
"50",160.5,155.5,10007,"left"
"51",288,176,10008,"left"
"52",261.925,180.25961,10008,"left"
"53",239,184,10008,"left"
"54",219.85501,185.01036,10008,"left"
"55",207.09438,183.88411,10008,"left"
"56",200.5,182,10008,"left"
"57",295,219,10009,"left"
"58",270.48526,215.90373,10009,"left"
"59",250.5435,212.31439,10009,"left"
"60",229.81421,210.1296,10009,"left"
"61",205.1713,210.52191,10009,"left"
"62",185.45699,211.96484,10009,"left"
"63",170.48427,212.49857,10009,"left"
"64",159.5,211.5,10009,"left"
"65",197,175,10010,"right"
"66",228.0523,167.86317,10010,"right"
"67",263.08044,164.32999,10010,"right"
"68",302.07007,161.61,10010,"right"
"69",168,178,10011,"right"
"70",216.49287,166.95071,10011,"right"
"71",248.784,165.00938,10011,"right"
"72",276.75385,162.48506,10011,"right"
"73",306.14227,163.05711,10011,"right"
"74",327.5,164.5,10011,"right"
"75",204,180,10012,"error"
"76",226.72217,170.0926,10012,"error"
"77",238.22026,164.3027,10012,"error"
"78",164,253,10013,"error"
"79",151,267,10013,"error"
"80",148,276.91312,10013,"error"
"81",148,289.13983,10013,"error"
"82",235,196,10014,"error"
"83",214.56978,196,10014,"error"
"84",208.94653,196,10014,"error"
"85",200,190,10014,"error"
"86",258,175,10015,"left"
"87",228.66342,183.22276,10015,"left"
"88",203.94366,190.68169,10015,"left"
"89",179.48746,199.80502,10015,"left"
"90",161.61655,201.85304,10015,"left"
"91",155.1904,200.07616,10015,"left"
"92",155,200,10015,"left"
"93",291,212,10016,"left"
"94",269.04813,212,10016,"left"
"95",247.30011,207.09378,10016,"left"
"96",220.69962,203.44368,10016,"left"
"97",195.14743,198.84955,10016,"left"
"98",175.68768,197.36877,10016,"left"
"99",167.53632,197,10016,"left"
"100",173,158,10017,"right"
"101",209.33003,158,10017,"right"
"102",243.18967,162.3128,10017,"right"
"103",284.83926,165.87843,10017,"right"
"104",324,167.5,10017,"right"
"105",239,197,10018,"left"
"106",220.85863,197,10018,"left"
"107",196.09369,198.65625,10018,"left"
"108",168.6853,199,10018,"left"
"109",146.49734,197,10018,"left"
"110",135.021,197,10018,"left"
"111",246,208,10019,"left"
"112",214.66881,214.61874,10019,"left"
"113",186.09946,216.313,10019,"left"
"114",150.837,212.37004,10019,"left"
"115",107.442566,204.2038,10019,"left"
"116",70.934685,196.2077,10019,"left"
"117",58.132362,190.06618,10019,"left"
"118",177,221,10020,"right"
"119",311,217,10020,"right"
"120",201,160,10021,"right"
"121",303,173,10021,"right"
"122",179,207,10022,"right"
"123",317,178,10022,"right"
"124",153,201,10023,"right"
"125",333,178,10023,"right"
"126",244,176,10024,"left"
"127",132,196,10024,"left"
"128",208,190,10025,"right"
"129",329,180,10025,"right"
"130",288,194,10026,"left"
"131",119,211,10026,"left"
"132",273,180,10027,"left"
"133",145,223,10027,"left"
"134",281,199,10028,"left"
"135",118,209,10028,"left"
"136",269,183,10029,"left"
"137",107,193,10029,"left"
"138",151,185,10030,"right"
"139",317,169,10030,"right"
"140",296,215,10031,"left"
"141",263.35358,215,10031,"left"
"142",243.75392,211.58464,10031,"left"
"143",216.47426,206.38603,10031,"left"
"144",189.86604,201.67436,10031,"left"
"145",169.5925,198.32193,10031,"left"
"146",152.03343,190.92429,10031,"left"
"147",144.32819,177.23843,10031,"left"
"148",199,178,10032,"right"
"149",213,178,10032,"right"
"150",246.44995,175.22144,10032,"right"
"151",281,173.5,10032,"right"
"152",313.5,171,10032,"right"
"153",257,149,10033,"left"
"154",227.55995,153.58546,10033,"left"
"155",213.05664,156.20964,10033,"left"
"156",201.83397,157.59515,10033,"left"
"157",187.14876,161.95041,10033,"left"
"158",179.68257,163.32697,10033,"left"
"159",168.78145,164,10033,"left"
"160",162.66907,164,10033,"left"
"161",292,180,10034,"left"
"162",274,180,10034,"left"
"163",255.23413,180,10034,"left"
"164",233.34131,183.93173,10034,"left"
"165",202.89749,186.72404,10034,"left"
"166",175.19539,189.75607,10034,"left"
"167",144.61539,192.82051,10034,"left"
"168",122.78411,191.55602,10034,"left"
"169",105.20282,187.07605,10034,"left"
"170",105,187,10034,"left"
"171",266,158,10035,"left"
"172",228.09106,162.50905,10035,"left"
"173",204.6885,164.43254,10035,"left"
"174",178.75304,167.6173,10035,"left"
"175",158.38544,170.63301,10035,"left"
"176",145.6385,171,10035,"left"
"177",313,186,10036,"left"
"178",296,186,10036,"left"
"179",271.82312,193.72563,10036,"left"
"180",244.88469,201.42091,10036,"left"
"181",212.64706,206.2255,10036,"left"
"182",178,211.5,10036,"left"
"183",162.67393,211,10036,"left"
"184",161,211,10036,"left"
"185",299,147,10037,"left"
"186",273.2928,141.97237,10037,"left"
"187",250.9,139.98666,10037,"left"
"188",227.6805,138,10037,"left"
"189",207.35843,136.87372,10037,"left"
"190",191.06352,138.6596,10037,"left"
"191",179.3872,139,10037,"left"
"192",183,208,10038,"right"
"193",197,208,10038,"right"
"194",220.4761,206.81549,10038,"right"
"195",247.34872,201.47806,10038,"right"
"196",277.70438,187.26956,10038,"right"
"197",283,185,10038,"right"
"198",170,157,10039,"right"
"199",193.88107,157,10039,"right"
"200",220.98671,157,10039,"right"
"201",255.21364,159.10114,10039,"right"
"202",288.5,160.5,10039,"right"
"203",316,163,10039,"right"
"204",196,164,10040,"error"
"205",190.52232,140.21652,10040,"error"
"206",201.21654,128.78346,10040,"error"
"207",203,127,10040,"error"
"208",273,233,10041,"left"
"209",249.7507,225.68767,10041,"left"
"210",225.68341,219.31558,10041,"left"
"211",207.05249,213.32384,10041,"left"
"212",188.83377,210.97229,10041,"left"
"213",173.0804,210,10041,"left"
"214",173,210,10041,"left"
"215",224,200,10042,"left"
"216",182.9889,207.5902,10042,"left"
"217",153.72522,212.19122,10042,"left"
"218",122.85016,215,10042,"left"
"219",93.10391,215,10042,"left"
"220",75.5,209,10042,"left"
"221",204,137,10043,"right"
"222",233.90414,142,10043,"right"
"223",262.1217,142,10043,"right"
"224",281.6334,142,10043,"right"
"225",294.51535,142.81442,10043,"right"
"226",308.29382,143,10043,"right"
"227",319.8925,138,10043,"right"
"228",330,138,10043,"right"
"229",170,190,10044,"right"
"230",211,179.5,10044,"right"
"231",233.94127,175.4751,10044,"right"
"232",247.83241,175,10044,"right"
"233",252.98181,175,10044,"right"
"234",257.5,175,10044,"right"
"235",257.344,175,10044,"right"
"236",262.4569,175,10044,"right"
"237",270.01138,183.41367,10044,"right"
"238",280.62234,181,10044,"right"
"239",288.38098,175.09521,10044,"right"
"240",288.93216,177,10044,"right"
"241",290.5,177,10044,"right"
"242",285,161,10045,"left"
"243",270.5096,161,10045,"left"
"244",247.35172,174.63733,10045,"left"
"245",221.3494,187.8253,10045,"left"
"246",198.80368,192.35515,10045,"left"
"247",174.82503,193,10045,"left"
"248",156.19331,187.85155,10045,"left"
"249",138.14807,180.24913,10045,"left"
"250",126.79828,167.59848,10045,"left"
"251",125,166,10045,"left"
"252",202,173,10046,"left"
"253",182.63583,176.06523,10046,"left"
"254",168.76567,178.76988,10046,"left"
"255",148.10275,182.13803,10046,"left"
"256",126.7253,182,10046,"left"
"257",107.03246,186.82793,10046,"left"
"258",74.64915,192.18011,10046,"left"
"259",53.848022,193,10046,"left"
"260",50,193,10046,"left"
"261",122,310,10047,"error"
"262",146.46866,304.02505,10047,"error"
"263",154.5,304.5,10047,"error"
"264",315,168,20001,"left"
"265",289.679,168,20001,"left"
"266",254.98389,165,20001,"left"
"267",207.58525,165,20001,"left"
"268",144.51869,165,20001,"left"
"269",107,166.5,20001,"left"
"270",88.5,167.5,20001,"left"
"271",290,146,20002,"left"
"272",266,140,20002,"left"
"273",226.01572,135.60188,20002,"left"
"274",180.64244,135,20002,"left"
"275",97.48384,143.82092,20002,"left"
"276",61.168636,149.80522,20002,"left"
"277",63,150,20002,"left"
"278",297,174,20003,"left"
"279",255.19113,174,20003,"left"
"280",205.92503,168.8394,20003,"left"
"281",119.59937,158.76175,20003,"left"
"282",97.5,153.5,20003,"left"
"283",243,104,20004,"left"
"284",191.02258,97.521805,20004,"left"
"285",131.61395,98.628586,20004,"left"
"286",88.58014,104.44921,20004,"left"
"287",72.534035,108.80824,20004,"left"
"288",67,109.5,20004,"left"
"289",269,145,20005,"left"
"290",236.43988,140.90523,20005,"left"
"291",198.04242,140.40584,20005,"left"
"292",156.8287,144.72908,20005,"left"
"293",118.58288,153.74011,20005,"left"
"294",112,157,20005,"left"
"295",300,122,20006,"left"
"296",254.9499,126.35654,20006,"left"
"297",207.1087,132.69565,20006,"left"
"298",121.91285,146.72664,20006,"left"
"299",111.27373,144,20006,"left"
"300",98.85529,141.9737,20006,"left"
"301",156,198,20007,"right"
