"","x","y","no","mark"
"1",183,283,10001,"left"
"2",151.45735,285.804,10001,"left"
"3",127.5223,294.1493,10001,"left"
"4",106.725,301.47812,10001,"left"
"5",92,307,10001,"left"
"6",266,201,10002,"left"
"7",247,201,10002,"left"
"8",224.25189,198.48254,10002,"left"
"9",201.40823,198,10002,"left"
"10",158.85121,207.22975,10002,"left"
"11",92.17796,236.06659,10002,"left"
"12",76,246,10002,"left"
"13",228,242,10003,"right"
"14",249,242,10003,"right"
"15",276.7527,248.2509,10003,"right"
"16",300.21634,254.65768,10003,"right"
"17",211,195,10004,"left"
"18",194,195,10004,"left"
"19",165.17747,193.157,10004,"left"
"20",139.28827,193,10004,"left"
"21",116.49837,199.50055,10004,"left"
"22",97,207.5,10004,"left"
"23",297,217,10005,"left"
"24",251.94815,219.5162,10005,"left"
"25",221.578,224.03836,10005,"left"
"26",185.22412,235.70142,10005,"left"
"27",178,238,10005,"left"
"28",196,201,10006,"right"
"29",222,201,10006,"right"
"30",253.92928,207.74117,10006,"right"
"31",294.06982,212.92215,10006,"right"
"32",170,156,10007,"right"
"33",192,156,10007,"right"
"34",221.17416,158.3189,10007,"right"
"35",264.16006,167.88309,10007,"right"
"36",317.2835,183.00494,10007,"right"
"37",326,187,10007,"right"
"38",248,210,10008,"left"
"39",211.07689,206,10008,"left"
"40",182.26546,205,10008,"left"
"41",157.24405,207.23413,10008,"left"
"42",130.5,208.5,10008,"left"
"43",232,235,10009,"left"
"44",212,235,10009,"left"
"45",191.31735,238.72113,10009,"left"
"46",169.20982,248.19579,10009,"left"
"47",145.32959,266.2116,10009,"left"
"48",141,270,10009,"left"
"49",252,189,10010,"left"
"50",218.29312,185,10010,"left"
"51",189.12674,198.50565,10010,"left"
"52",161.1712,212.02701,10010,"left"
"53",115.97952,254.38287,10010,"left"
"54",110,260,10010,"left"
"55",178,160,10011,"right"
"56",208.17606,160,10011,"right"
"57",248.893,165.8155,10011,"right"
"58",321.30997,185.51147,10011,"right"
"59",335,190,10011,"right"
"60",205,159,10012,"right"
"61",220,154,10012,"right"
"62",250.5406,161.14745,10012,"right"
"63",280.71912,169.56445,10012,"right"
"64",310.9804,177.73402,10012,"right"
"65",312,178,10012,"right"
"66",269,180,10013,"left"
"67",237.30716,169.96494,10013,"left"
"68",219.45273,167.95439,10013,"left"
"69",202.14632,165.3496,10013,"left"
"70",194.5,164.5,10013,"left"
"71",292,172,10014,"left"
"72",262.3386,174.42233,10014,"left"
"73",238.32222,180.91945,10014,"left"
"74",221.42883,184.75316,10014,"left"
"75",207.05069,191.94931,10014,"left"
"76",198.5,200.5,10014,"left"
"77",184,153,10015,"right"
"78",209.11555,153,10015,"right"
"79",237.52621,156.07893,10015,"right"
"80",276.23654,164.0473,10015,"right"
"81",281,165,10015,"right"
"82",194,164,10016,"right"
"83",223.89091,165.97818,10016,"right"
"84",248.88576,171.26123,10016,"right"
"85",278.135,172.77264,10016,"right"
"86",304.02185,173,10016,"right"
"87",249,190,10017,"left"
"88",212.80515,191.59926,10017,"left"
"89",188.68292,194.66463,10017,"left"
"90",167.78374,195,10017,"left"
"91",152.03188,195,10017,"left"
"92",300,197,10018,"left"
"93",264.54477,197,10018,"left"
"94",245.62921,202.3427,10018,"left"
"95",222.88953,208.46013,10018,"left"
"96",204.5,215,10018,"left"
"97",190.5,220.5,10018,"left"
"98",202,183,10019,"right"
"99",234.03418,173.43346,10019,"right"
"100",260.74344,174,10019,"right"
"101",289.1656,177,10019,"right"
"102",296,177,10019,"right"
"103",204,192,10020,"right"
"104",244.01262,194.54774,10020,"right"
"105",274.1637,201.33264,10020,"right"
"106",277,202,10020,"right"
"107",237,188,10021,"left"
"108",219,188,10021,"left"
"109",199.6132,194.29028,10021,"left"
"110",180.48085,197.23372,10021,"left"
"111",159.56985,199.94542,10021,"left"
