Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
13:46:06:269,0.000,0.002,0.006,-0.009,0.801,-3.588,6.138
13:46:06:27,0.000,0.003,-0.005,-0.006,0.868,-3.594,6.164
13:46:06:292,0.023,-0.001,-0.007,-0.001,0.928,-3.592,6.182
13:46:06:319,0.050,-0.006,0.007,-0.002,1.018,-3.576,6.204
13:46:06:345,0.076,0.000,-0.004,-0.005,1.083,-3.573,6.200
13:46:06:371,0.102,0.001,-0.004,-0.005,1.189,-3.557,6.198
13:46:06:426,0.157,0.005,0.000,-0.005,1.296,-3.547,6.202
13:46:06:427,0.158,0.001,-0.004,0.000,1.371,-3.537,6.201
13:46:06:45,0.181,0.001,0.006,-0.013,1.488,-3.527,6.202
13:46:06:476,0.207,0.005,-0.004,0.000,1.578,-3.518,6.199
13:46:06:503,0.234,-0.005,0.001,-0.001,1.699,-3.501,6.194
13:46:06:529,0.259,0.010,0.005,0.003,1.776,-3.502,6.173
13:46:06:555,0.286,0.007,-0.003,-0.003,1.885,-3.503,6.136
13:46:06:583,0.314,-0.014,-0.002,0.000,1.984,-3.502,6.100
13:46:06:607,0.338,-0.009,-0.007,-0.015,2.043,-3.525,6.062
13:46:06:634,0.365,0.018,-0.004,0.008,2.146,-3.551,5.990
13:46:06:69,0.421,-0.007,-0.006,0.000,2.313,-3.574,5.935
13:46:06:713,0.444,-0.007,-0.003,-0.007,2.413,-3.585,5.899
13:46:06:74,0.470,0.009,0.002,0.000,2.480,-3.592,5.875
13:46:06:765,0.496,0.000,0.000,-0.003,2.588,-3.583,5.837
13:46:06:791,0.522,0.000,-0.005,0.003,2.664,-3.589,5.811
13:46:06:848,0.579,0.009,-0.001,-0.004,2.774,-3.620,5.773
13:46:06:848,0.579,0.004,-0.008,0.000,2.852,-3.643,5.751
13:46:06:9,0.631,-0.016,-0.008,-0.004,2.966,-3.707,5.767
13:46:06:901,0.632,0.007,-0.003,-0.002,3.079,-3.819,5.787
13:46:06:923,0.654,0.012,-0.011,0.001,3.157,-3.876,5.780
13:46:06:949,0.680,-0.005,-0.009,0.002,3.255,-3.979,5.763
13:46:07:004,0.735,-0.001,-0.002,0.000,3.313,-4.073,5.724
13:46:07:005,0.736,-0.040,-0.005,0.006,3.396,-4.177,5.658
13:46:07:028,0.759,0.012,0.005,-0.004,3.437,-4.243,5.552
13:46:07:055,0.785,0.013,-0.005,-0.008,3.475,-4.263,5.513
13:46:07:08,0.811,0.013,-0.003,-0.001,3.540,-4.256,5.484
13:46:07:106,0.837,0.005,-0.006,0.001,3.598,-4.239,5.477
13:46:07:162,0.893,-0.007,-0.009,0.001,3.675,-4.209,5.487
13:46:07:162,0.893,-0.004,0.000,-0.011,3.738,-4.201,5.499
13:46:07:185,0.916,-0.012,0.001,0.003,3.774,-4.191,5.502
13:46:07:212,0.943,0.008,-0.002,-0.012,3.810,-4.173,5.509
13:46:07:238,0.969,0.001,0.000,-0.011,3.829,-4.173,5.526
13:46:07:264,0.995,-0.005,-0.005,-0.009,3.862,-4.169,5.580
13:46:07:29,1.021,0.006,-0.003,0.003,3.883,-4.178,5.605
13:46:07:316,1.047,0.007,-0.004,-0.009,3.910,-4.171,5.635
13:46:07:344,1.075,-0.006,-0.001,0.003,3.932,-4.175,5.666
13:46:07:371,1.101,0.005,-0.002,-0.003,3.933,-4.185,5.666
13:46:07:395,1.126,0.014,0.002,0.001,3.929,-4.164,5.677
13:46:07:422,1.153,-0.021,-0.011,-0.012,3.917,-4.155,5.670
13:46:07:447,1.178,0.017,0.004,-0.001,3.894,-4.135,5.665
13:46:07:474,1.205,0.012,-0.003,-0.006,3.891,-4.100,5.682
13:46:07:5,1.231,-0.013,-0.010,0.001,3.883,-4.085,5.699
13:46:07:529,1.259,0.002,0.000,-0.002,3.867,-4.055,5.703
13:46:07:553,1.284,0.011,-0.008,-0.006,3.862,-4.045,5.704
13:46:07:58,1.311,0.004,-0.002,-0.003,3.850,-4.015,5.728
13:46:07:605,1.336,0.003,0.001,-0.006,3.849,-3.979,5.754
13:46:07:632,1.363,-0.009,0.000,-0.003,3.841,-3.948,5.797
13:46:07:658,1.389,-0.006,-0.002,-0.004,3.837,-3.901,5.835
13:46:07:684,1.415,0.008,-0.003,-0.009,3.833,-3.881,5.867
13:46:07:71,1.441,0.014,-0.001,-0.003,3.827,-3.839,5.899
13:46:07:736,1.467,-0.007,0.001,0.006,3.831,-3.797,5.950
13:46:07:765,1.495,0.020,0.000,0.004,3.829,-3.736,6.002
13:46:07:79,1.521,0.014,-0.006,-0.003,3.826,-3.674,6.055
13:46:07:816,1.547,-0.002,-0.005,0.000,3.816,-3.643,6.088
13:46:07:841,1.572,-0.026,0.003,-0.007,3.804,-3.596,6.137
13:46:07:868,1.599,-0.014,-0.006,-0.011,3.785,-3.583,6.147
13:46:07:894,1.625,0.023,0.000,-0.001,3.751,-3.568,6.159
13:46:07:92,1.651,0.000,0.000,-0.006,3.719,-3.551,6.156
13:46:07:976,1.707,-0.004,0.001,0.000,3.693,-3.537,6.157
13:46:07:976,1.707,0.006,-0.005,-0.010,3.657,-3.533,6.159
13:46:07:999,1.730,0.016,-0.002,-0.004,3.641,-3.518,6.158
13:46:08:027,1.758,0.001,-0.004,-0.007,3.606,-3.509,6.165
13:46:08:053,1.784,-0.007,-0.001,-0.001,3.579,-3.500,6.181
13:46:08:078,1.808,0.007,-0.002,-0.008,3.560,-3.496,6.190
13:46:08:104,1.835,-0.001,-0.007,-0.003,3.531,-3.466,6.227
13:46:08:13,1.861,0.000,0.002,-0.009,3.510,-3.456,6.252
13:46:08:156,1.887,0.001,-0.004,-0.002,3.472,-3.453,6.265
13:46:08:183,1.914,0.021,0.004,-0.006,3.450,-3.455,6.280
13:46:08:209,1.940,-0.005,-0.009,-0.007,3.409,-3.450,6.303
13:46:08:235,1.966,-0.007,-0.005,-0.009,3.366,-3.442,6.342
13:46:08:294,2.025,0.005,-0.003,-0.003,3.338,-3.433,6.359
13:46:08:294,2.025,-0.005,-0.004,-0.003,3.300,-3.414,6.397
13:46:08:295,2.026,0.004,0.000,-0.002,3.264,-3.410,6.420
13:46:08:343,2.074,0.025,0.003,-0.005,3.209,-3.418,6.446
13:46:08:344,2.075,0.000,-0.001,-0.008,3.158,-3.399,6.477
13:46:08:395,2.126,-0.006,-0.005,-0.008,3.116,-3.407,6.491
13:46:08:396,2.127,0.010,0.000,-0.003,3.049,-3.415,6.510
13:46:08:477,2.208,0.017,0.002,0.001,3.007,-3.416,6.528
13:46:08:478,2.209,0.006,0.003,-0.009,2.940,-3.429,6.542
13:46:08:479,2.210,0.002,-0.003,-0.009,2.898,-3.432,6.561
13:46:08:527,2.258,0.012,-0.001,-0.006,2.842,-3.439,6.557
13:46:08:528,2.259,0.006,0.001,-0.006,2.790,-3.448,6.573
13:46:08:55,2.281,-0.004,-0.003,-0.012,2.756,-3.448,6.579
13:46:08:605,2.336,0.005,-0.002,-0.006,2.706,-3.456,6.584
13:46:08:606,2.337,-0.003,-0.001,-0.013,2.678,-3.453,6.595
13:46:08:629,2.360,-0.008,-0.003,-0.003,2.640,-3.459,6.608
13:46:08:655,2.386,-0.003,0.000,-0.013,2.597,-3.472,6.617
13:46:08:682,2.413,0.007,0.001,-0.007,2.577,-3.478,6.616
13:46:08:708,2.438,0.013,-0.004,-0.015,2.553,-3.479,6.621
13:46:08:734,2.465,0.002,-0.001,-0.005,2.548,-3.480,6.622
13:46:08:76,2.491,0.004,-0.001,-0.014,2.519,-3.481,6.628
13:46:08:786,2.517,-0.002,-0.003,-0.005,2.510,-3.487,6.635
13:46:08:813,2.544,-0.002,-0.001,-0.013,2.490,-3.483,6.634
13:46:08:84,2.571,0.001,-0.006,-0.011,2.491,-3.488,6.639
13:46:08:865,2.596,0.003,-0.002,-0.016,2.491,-3.488,6.639
13:46:08:892,2.623,-0.004,-0.003,-0.008,2.491,-3.488,6.639
13:46:08:918,2.649,-0.007,-0.002,-0.011,2.491,-3.488,6.639
13:46:08:944,2.675,0.002,-0.001,-0.008,2.491,-3.488,6.639
13:46:08:97,2.701,0.002,-0.003,-0.011,2.491,-3.488,6.639
13:46:08:997,2.728,-0.001,-0.007,-0.011,2.491,-3.488,6.639
13:46:09:023,2.753,0.000,-0.001,-0.010,2.491,-3.488,6.639
13:46:09:049,2.780,0.002,0.000,-0.005,2.491,-3.488,6.639
13:46:09:104,2.835,-0.018,0.001,-0.015,2.491,-3.488,6.639
13:46:09:105,2.836,-0.007,-0.012,-0.006,2.491,-3.488,6.639
13:46:09:128,2.859,-0.001,-0.004,-0.011,2.491,-3.488,6.639
13:46:09:154,2.885,-0.002,-0.001,-0.013,2.488,-3.494,6.645
13:46:09:182,2.913,0.002,-0.003,-0.005,2.488,-3.494,6.645
13:46:09:207,2.937,0.004,-0.001,-0.007,2.489,-3.498,6.649
13:46:09:233,2.964,0.006,-0.004,-0.007,2.491,-3.513,6.654
13:46:09:26,2.991,-0.003,0.000,-0.011,2.494,-3.548,6.658
13:46:09:315,3.046,-0.008,0.001,-0.008,2.500,-3.568,6.656
13:46:09:315,3.046,0.000,-0.006,-0.008,2.501,-3.588,6.656
13:46:09:337,3.068,0.003,-0.003,-0.007,2.501,-3.588,6.656
13:46:09:364,3.095,0.002,0.002,-0.009,2.498,-3.603,6.661
13:46:09:392,3.123,-0.012,-0.003,-0.008,2.507,-3.633,6.669
13:46:09:416,3.147,0.002,-0.002,-0.013,2.509,-3.659,6.674
13:46:09:444,3.175,-0.003,-0.009,-0.009,2.513,-3.678,6.683
13:46:09:498,3.229,-0.010,0.001,-0.010,2.514,-3.699,6.683
13:46:09:499,3.230,0.010,0.003,-0.002,2.512,-3.699,6.673
13:46:09:521,3.252,0.013,-0.002,-0.016,2.512,-3.714,6.668
13:46:09:547,3.278,0.000,-0.002,-0.004,2.512,-3.714,6.668
13:46:09:574,3.305,0.001,-0.001,-0.010,2.512,-3.714,6.668
