0,2,0.60233,0.83012,0.40201,0.28174,0.17796,0.63408,1.0155,0.6454
0,3,0.52505,0.95273,0.49626,0.40643,0.20302,0.45545,0.86759,0.35807
0,4,0.51538,0.97074,0.57803,0.49657,0.16279,0.46705,2.8506,0.5175
0,5,0.39952,1.2517,0.55311,0.35427,0.2159,0.56995,1.2853,0.56819
1,2,0.57205,0.87406,0.37083,0.15926,0.12583,0.54382,3.6651,0.71261
1,3,0.54142,0.92349,0.43912,0.16411,0.073243,0.63944,3.3812,0.73078
1,4,0.50142,0.99717,0.5124,0.22713,0.1341,0.62638,2.1305,0.66225
1,5,0.40443,1.2364,0.60128,0.46641,0.27999,0.63686,0.96018,0.60898
3,2,0.57358,0.87289,0.27168,0.13403,0.24137,0.29871,0.69861,0.48808
3,3,0.52021,0.96116,0.40878,0.20528,0.12597,0.62708,2.3431,0.62134
3,4,0.4412,1.1339,0.50167,0.26689,0.15225,0.61471,2.1107,0.61052
3,5,0.41245,1.2151,0.53746,0.40741,0.25307,0.39574,0.90126,0.2276
4,2,0.7348,0.6809,0.25837,0.12877,0.12414,0.3809,2.6649,0.47037
4,3,0.61726,0.81007,0.34581,0.19783,0.34784,0.44625,1.1067,0.46271
4,4,0.5894,0.84833,0.41484,0.20735,0.13129,0.54897,3.7881,0.52345
4,5,0.40703,1.2284,0.65329,0.30543,0.22306,0.32949,1.3828,0.43907
5,2,0.73556,0.68223,0.28786,0.20771,0.18897,0.28857,3.2933,0.43936
5,3,0.67188,0.74496,0.3173,0.14697,0.15152,0.44552,1.7162,0.54133
5,4,0.48028,1.0411,0.59073,0.28155,0.11937,0.55652,2.0353,0.61044
5,5,0.41757,1.1974,0.52809,0.27478,0.1304,0.60445,2.9877,0.62854
6,2,0.56307,0.8882,0.35008,0.22235,0.22611,0.3734,0.62686,0.34399
6,3,0.51876,0.96513,0.46296,0.29483,0.18141,0.46235,0.84477,0.37788
6,5,0.41309,1.2156,0.57576,0.51115,0.2423,0.34715,1.4584,0.22248
7,2,0.68619,0.72885,0.37968,0.19097,0.14731,0.48157,2.8622,0.57026
7,3,0.53448,0.93691,0.53108,0.30764,0.17014,0.55789,1.8253,0.52422
7,4,0.49594,1.0082,0.60237,0.245,0.13806,0.60021,4.5052,0.63857
8,2,0.56478,0.8876,0.46995,0.27695,0.18469,0.31872,1.083,0.49701
8,3,0.51406,0.97319,0.57421,0.31755,0.16656,0.57556,3.4662,0.56696
