0,2,0.59089,0.8464,0.38963,0.30252,0.21475,0.60229,0.94752,0.086249
0,3,0.54524,0.91727,0.48884,0.38181,0.20867,0.43982,0.87951,0.094124
0,4,0.52249,0.95706,0.54878,0.45199,0.16682,0.51765,2.8098,0.11899
0,5,0.39007,1.282,0.56589,0.37852,0.1957,0.58364,1.9947,0.18693
1,2,0.59724,0.83858,0.35078,0.15502,0.17049,0.40889,2.5303,0.10041
1,3,0.54542,0.91676,0.43946,0.17544,0.10976,0.60384,2.0479,0.19877
1,4,0.50509,0.99001,0.50157,0.21348,0.1324,0.64515,3.7713,0.16967
1,5,0.39856,1.2551,0.59248,0.46103,0.27557,0.61757,0.7527,0.1653
3,2,0.60223,0.83593,0.24642,0.13267,0.32017,0.21954,1.2916,0.11344
3,3,0.53378,0.93713,0.38511,0.21795,0.16925,0.54443,3.4658,0.14788
3,4,0.44632,1.1204,0.49768,0.30778,0.15925,0.58019,1.4746,0.14744
3,5,0.39226,1.2747,0.54244,0.42443,0.19594,0.41954,0.94757,0.2131
4,2,0.78206,0.64018,0.24334,0.11625,0.17015,0.33655,1.8068,0.10932
4,3,0.61775,0.80942,0.31335,0.17365,0.21203,0.31923,1.4741,0.097339
4,4,0.59888,0.83501,0.38716,0.19621,0.16814,0.49151,3.1951,0.080025
4,5,0.42406,1.1812,0.65592,0.30528,0.26016,0.27083,1.1801,0.096102
5,2,0.70807,0.71348,0.31622,0.20958,0.14301,0.38945,3.0788,0.13344
5,3,0.66854,0.74895,0.32716,0.15443,0.13715,0.50796,1.6333,0.14219
5,4,0.48502,1.031,0.58675,0.32449,0.12698,0.57838,2.8133,0.30971
5,5,0.41487,1.2053,0.5465,0.28414,0.15133,0.56311,3.1561,0.13262
6,2,0.58332,0.8575,0.33658,0.19642,0.20959,0.44212,1.239,0.17186
6,3,0.51879,0.96506,0.4399,0.27793,0.19951,0.44256,1.2446,0.08219
6,5,0.41896,1.2008,0.56545,0.50114,0.25471,0.32944,1.0953,0.095299
