Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:58:24:382,2.175,0.005,-0.006,0.007,0.444,-6.718,18.055
16:58:24:409,2.203,0.001,-0.010,0.000,0.432,-6.593,18.035
16:58:24:437,2.230,0.003,-0.004,0.007,0.386,-6.338,18.016
16:58:24:464,2.257,-0.001,-0.004,-0.004,0.361,-6.140,18.008
16:58:24:491,2.285,0.024,-0.012,0.009,0.315,-5.875,17.966
16:58:24:518,2.311,0.008,-0.011,0.003,0.277,-5.625,17.949
16:58:24:545,2.339,0.010,-0.003,0.008,0.192,-5.244,17.872
16:58:24:573,2.366,0.013,-0.001,0.001,0.113,-4.848,17.759
16:58:24:599,2.393,0.042,0.000,0.014,0.072,-4.600,17.651
16:58:24:627,2.420,0.025,-0.002,0.009,0.015,-4.141,17.489
16:58:24:654,2.447,0.047,-0.008,0.020,-0.017,-3.809,17.336
16:58:24:681,2.474,0.068,-0.003,0.013,-0.075,-3.226,17.018
16:58:24:708,2.501,0.049,-0.022,0.022,-0.170,-2.459,16.879
16:58:24:735,2.528,0.045,-0.026,0.015,-0.198,-1.949,16.637
16:58:24:763,2.556,0.044,-0.015,0.007,-0.260,-1.207,16.170
16:58:24:791,2.584,0.048,-0.036,0.002,-0.279,-0.710,15.869
16:58:24:818,2.611,0.048,-0.036,0.002,-0.279,-0.710,15.869
16:58:24:845,2.638,0.015,0.001,0.000,-0.459,0.777,14.961
16:58:24:871,2.665,0.001,-0.013,0.010,-0.651,1.689,14.428
16:58:24:899,2.692,-0.043,0.001,0.015,-0.907,2.407,13.680
16:58:24:926,2.719,-0.074,-0.033,0.028,-1.056,2.643,13.103
16:58:24:953,2.746,-0.129,-0.026,0.049,-1.436,2.464,11.499
16:58:24:98,2.773,-0.129,-0.026,0.049,-1.436,2.464,11.499
16:58:25:007,2.801,-0.180,-0.019,0.061,-1.581,2.182,10.802
16:58:25:036,2.829,-0.190,-0.089,0.077,-1.844,1.217,9.594
16:58:25:063,2.856,-0.199,-0.145,0.041,-1.923,0.614,9.302
16:58:25:091,2.884,-0.226,-0.069,0.030,-1.984,0.146,9.192
16:58:25:118,2.911,-0.205,0.069,0.018,-2.105,-0.882,8.893
16:58:25:144,2.938,-0.184,0.129,0.004,-2.121,-1.669,8.592
16:58:25:172,2.965,-0.232,0.168,0.002,-2.068,-2.611,8.045
16:58:25:199,2.992,-0.232,0.168,0.002,-2.068,-2.611,8.045
16:58:25:226,3.020,-0.287,0.077,0.052,-1.865,-3.933,7.341
16:58:25:253,3.046,-0.267,0.030,0.069,-1.744,-4.904,7.312
16:58:25:28,3.074,-0.275,-0.064,0.080,-1.617,-5.545,7.521
16:58:25:307,3.100,-0.265,-0.094,0.079,-1.298,-6.456,8.113
16:58:25:334,3.128,-0.229,-0.122,0.052,-0.869,-7.497,8.836
16:58:25:362,3.155,-0.203,-0.121,0.037,-0.495,-8.141,9.367
16:58:25:388,3.182,-0.160,-0.057,-0.005,0.136,-9.169,10.153
16:58:25:416,3.209,-0.136,-0.031,-0.027,0.606,-9.745,10.675
16:58:25:442,3.236,-0.136,-0.031,-0.027,0.606,-9.745,10.675
16:58:25:47,3.263,-0.050,-0.033,-0.088,2.178,-10.634,12.458
16:58:25:497,3.290,-0.050,-0.033,-0.088,2.178,-10.634,12.458
16:58:25:524,3.318,-0.014,-0.003,-0.123,3.240,-10.124,14.373
16:58:25:552,3.345,0.016,0.006,-0.107,3.124,-9.753,15.234
16:58:25:579,3.373,0.072,0.088,-0.078,3.499,-8.494,16.922
16:58:25:607,3.400,0.072,0.088,-0.078,3.499,-8.494,16.922
16:58:25:635,3.428,0.143,0.106,-0.105,3.227,-5.696,17.811
16:58:25:662,3.455,0.148,0.212,-0.065,3.046,-4.422,17.779
16:58:25:689,3.482,0.193,0.247,-0.094,2.581,-2.213,17.226
16:58:25:716,3.510,0.193,0.247,-0.094,2.581,-2.213,17.226
16:58:25:744,3.537,0.067,0.007,-0.072,2.342,-0.507,16.711
16:58:25:771,3.565,0.067,0.007,-0.072,2.342,-0.507,16.711
16:58:25:798,3.592,0.084,-0.100,0.044,1.171,3.639,13.778
16:58:25:825,3.619,0.094,-0.019,0.033,0.634,4.211,12.728
16:58:25:853,3.646,0.094,-0.019,0.033,0.634,4.211,12.728
16:58:25:88,3.673,0.073,0.025,0.063,0.003,6.419,11.767
16:58:25:907,3.700,0.018,-0.045,0.083,-0.162,8.409,11.681
16:58:25:934,3.727,0.007,-0.016,0.044,-0.234,9.589,11.553
16:58:25:961,3.754,0.000,-0.085,0.040,-0.280,11.213,11.243
16:58:25:988,3.782,0.000,-0.085,0.040,-0.280,11.213,11.243
16:58:26:016,3.809,-0.085,-0.188,0.046,-0.095,13.846,10.877
16:58:26:043,3.836,-0.131,-0.211,0.064,-0.027,15.055,10.507
16:58:26:07,3.863,-0.131,-0.211,0.064,-0.027,15.055,10.507
16:58:26:097,3.891,-0.131,-0.211,0.064,-0.027,15.055,10.507
16:58:26:124,3.917,-0.172,-0.196,0.044,-0.133,16.583,8.911
16:58:26:151,3.945,-0.180,-0.191,0.078,-0.216,17.496,8.285
16:58:26:179,3.972,-0.180,-0.191,0.078,-0.216,17.496,8.285
16:58:26:206,3.999,-0.209,-0.076,0.071,-0.721,18.148,7.087
16:58:26:233,4.026,-0.211,0.065,0.083,-1.219,18.307,6.178
16:58:26:26,4.054,-0.231,0.289,0.086,-1.629,18.672,5.479
16:58:26:288,4.081,-0.231,0.289,0.086,-1.629,18.672,5.479
16:58:26:315,4.108,-0.285,0.178,0.191,-2.405,20.367,3.968
16:58:26:342,4.135,-0.292,0.100,0.257,-3.361,22.046,3.440
16:58:26:369,4.162,-0.292,0.100,0.257,-3.361,22.046,3.440
16:58:26:396,4.189,-0.317,0.181,0.268,-3.906,22.316,3.606
16:58:26:424,4.217,-0.206,0.046,0.247,-3.723,19.940,5.363
16:58:26:45,4.244,-0.206,0.046,0.247,-3.723,19.940,5.363
16:58:26:478,4.271,-0.117,0.081,0.149,-3.539,17.314,7.696
16:58:26:505,4.298,-0.031,0.103,0.018,-2.362,11.954,12.330
16:58:26:532,4.325,-0.017,0.145,-0.015,-1.555,10.293,14.021
16:58:26:559,4.353,-0.017,0.145,-0.015,-1.555,10.293,14.021
16:58:26:586,4.380,0.109,0.094,-0.105,0.955,6.443,18.457
16:58:26:614,4.407,0.087,-0.152,-0.139,2.813,4.974,21.563
16:58:26:64,4.434,0.079,-0.243,-0.108,4.686,4.026,24.822
16:58:26:668,4.461,0.183,-0.148,-0.176,5.801,3.359,26.931
16:58:26:695,4.489,0.232,-0.188,-0.204,7.562,2.340,29.900
16:58:26:723,4.517,0.255,-0.240,-0.210,8.797,1.843,31.833
16:58:26:751,4.544,0.306,-0.213,-0.203,10.359,1.508,34.376
16:58:26:777,4.571,0.329,-0.256,-0.214,11.514,1.699,36.530
16:58:26:804,4.598,0.329,-0.264,-0.214,11.918,2.196,37.698
16:58:26:831,4.625,0.369,-0.127,-0.207,11.773,3.160,38.718
16:58:26:859,4.652,0.398,-0.063,-0.175,11.294,3.806,38.845
16:58:26:885,4.679,0.405,-0.066,-0.190,10.306,4.842,38.283
16:58:26:913,4.706,0.401,-0.041,-0.141,9.130,6.187,37.084
16:58:26:94,4.733,0.473,0.115,-0.202,7.910,7.369,35.737
16:58:26:967,4.761,0.379,0.106,-0.189,5.983,9.928,33.296
16:58:26:994,4.787,0.216,0.114,-0.008,4.707,12.147,31.333
16:58:27:021,4.815,0.161,0.167,0.061,2.715,15.436,27.298
16:58:27:049,4.842,0.026,0.209,0.189,1.588,17.216,24.111
16:58:27:076,4.869,0.026,0.209,0.189,1.588,17.216,24.111
16:58:27:103,4.896,-0.104,0.212,0.113,-0.459,19.470,14.315
16:58:27:13,4.923,-0.083,0.113,0.083,-0.563,19.587,12.073
16:58:27:157,4.950,-0.053,0.018,0.100,-0.420,20.188,10.190
16:58:27:184,4.977,-0.097,-0.148,0.098,0.362,23.335,10.703
16:58:27:211,5.004,-0.103,-0.149,0.015,0.780,26.600,12.042
16:58:27:238,5.032,-0.131,-0.129,0.012,1.004,29.175,13.089
16:58:27:265,5.059,-0.162,-0.142,0.001,1.318,33.243,14.551
16:58:27:293,5.086,-0.177,-0.186,0.042,1.535,35.647,15.354
16:58:27:32,5.114,-0.142,-0.212,0.033,1.719,38.495,16.014
16:58:27:348,5.141,-0.109,-0.191,0.061,1.695,40.401,16.062
16:58:27:375,5.169,-0.109,-0.191,0.061,1.695,40.401,16.062
16:58:27:403,5.196,-0.109,-0.191,0.061,1.695,40.401,16.062
