Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:44:49:659,2.153,0.002,-0.015,0.003,-13.788,14.319,-0.991
16:44:49:685,2.180,0.002,-0.021,-0.004,-13.819,14.406,-0.962
16:44:49:713,2.208,0.002,-0.014,0.008,-13.864,14.535,-0.915
16:44:49:739,2.234,-0.002,-0.011,0.002,-13.905,14.625,-0.873
16:44:49:767,2.262,-0.002,-0.011,0.002,-13.905,14.625,-0.873
16:44:49:794,2.288,-0.006,-0.013,-0.001,-14.040,14.787,-0.719
16:44:49:821,2.316,-0.006,-0.013,-0.001,-14.040,14.787,-0.719
16:44:49:848,2.343,-0.009,-0.014,0.000,-14.221,14.850,-0.530
16:44:49:875,2.370,-0.010,-0.015,0.006,-14.278,14.816,-0.488
16:44:49:902,2.397,-0.010,-0.015,0.006,-14.278,14.816,-0.488
16:44:49:929,2.424,-0.002,-0.014,0.000,-14.399,14.657,-0.448
16:44:49:956,2.451,-0.002,-0.014,0.001,-14.438,14.543,-0.450
16:44:49:983,2.478,-0.002,-0.014,0.001,-14.438,14.543,-0.450
16:44:50:01,2.505,0.000,-0.013,-0.001,-14.467,14.373,-0.484
16:44:50:038,2.533,0.000,-0.013,-0.002,-14.471,14.271,-0.506
16:44:50:065,2.560,0.000,-0.013,-0.002,-14.471,14.271,-0.506
16:44:50:092,2.587,0.000,-0.013,-0.002,-14.471,14.271,-0.506
16:44:50:12,2.615,0.000,-0.013,-0.002,-14.471,14.271,-0.506
16:44:50:147,2.642,0.000,-0.018,0.010,-14.392,14.166,-0.630
16:44:50:175,2.670,0.001,-0.016,0.002,-14.363,14.134,-0.649
16:44:50:202,2.697,0.001,-0.016,0.002,-14.363,14.134,-0.649
16:44:50:229,2.724,0.001,-0.016,0.002,-14.363,14.134,-0.649
16:44:50:256,2.751,0.001,-0.016,0.002,-14.363,14.134,-0.649
16:44:50:283,2.778,0.002,-0.016,0.003,-14.216,14.064,-0.700
16:44:50:31,2.805,0.002,-0.016,0.003,-14.216,14.064,-0.700
16:44:50:338,2.832,0.000,-0.016,0.007,-14.171,14.073,-0.700
16:44:50:364,2.859,0.000,-0.016,0.007,-14.171,14.073,-0.700
16:44:50:392,2.887,0.000,-0.017,0.006,-14.161,14.099,-0.708
16:44:50:42,2.914,0.000,-0.017,0.006,-14.161,14.099,-0.708
16:44:50:447,2.942,0.000,-0.017,0.006,-14.161,14.099,-0.708
16:44:50:474,2.969,0.000,-0.017,0.006,-14.161,14.099,-0.708
16:44:50:501,2.996,-0.005,-0.013,0.001,-14.157,14.200,-0.675
16:44:50:528,3.023,-0.007,-0.011,0.001,-14.157,14.292,-0.652
16:44:50:555,3.050,0.001,-0.014,0.002,-14.163,14.327,-0.651
16:44:50:582,3.077,-0.002,-0.013,-0.002,-14.163,14.370,-0.642
16:44:50:61,3.104,-0.001,-0.017,0.004,-14.158,14.404,-0.631
16:44:50:637,3.132,-0.003,-0.016,0.001,-14.159,14.452,-0.617
16:44:50:664,3.158,-0.005,-0.017,0.005,-14.159,14.475,-0.605
16:44:50:691,3.186,-0.004,-0.014,0.000,-14.159,14.489,-0.592
16:44:50:718,3.213,-0.004,-0.014,0.000,-14.159,14.489,-0.592
16:44:50:746,3.240,-0.004,-0.014,0.000,-14.159,14.489,-0.592
16:44:50:773,3.268,0.002,-0.008,-0.001,-14.159,14.489,-0.592
16:44:50:8,3.294,0.002,-0.008,-0.001,-14.159,14.489,-0.592
16:44:50:827,3.322,-0.002,-0.011,0.007,-14.149,14.500,-0.603
16:44:50:854,3.349,-0.009,-0.018,0.003,-14.133,14.517,-0.619
16:44:50:881,3.376,-0.009,-0.018,0.003,-14.133,14.517,-0.619
16:44:50:909,3.404,0.006,-0.016,0.002,-14.025,14.367,-0.751
16:44:50:936,3.431,0.006,-0.016,0.002,-14.025,14.367,-0.751
16:44:50:963,3.458,0.006,-0.016,0.002,-14.025,14.367,-0.751
16:44:50:991,3.486,-0.029,0.039,-0.022,-13.926,14.273,-0.885
16:44:51:018,3.513,-0.044,0.024,-0.018,-13.562,13.955,-0.934
16:44:51:046,3.541,-0.054,-0.030,0.000,-13.286,13.851,-1.002
16:44:51:072,3.567,-0.035,0.059,0.002,-12.848,13.672,-1.237
16:44:51:1,3.595,0.069,-0.076,0.030,-12.450,13.476,-1.267
16:44:51:127,3.622,0.016,-0.023,0.011,-12.054,13.361,-1.452
16:44:51:154,3.649,0.011,0.001,0.024,-11.867,13.339,-1.609
16:44:51:181,3.676,0.011,0.001,0.024,-11.867,13.339,-1.609
16:44:51:208,3.703,0.038,0.012,0.023,-11.300,13.215,-1.958
16:44:51:235,3.730,-0.013,-0.007,-0.003,-11.145,13.134,-2.020
16:44:51:262,3.757,-0.013,-0.007,-0.003,-11.145,13.134,-2.020
16:44:51:289,3.784,0.002,-0.025,-0.005,-10.722,12.866,-2.331
16:44:51:316,3.811,-0.012,-0.018,0.017,-10.404,12.668,-2.633
16:44:51:344,3.839,-0.068,-0.049,0.010,-10.112,12.430,-2.997
16:44:51:371,3.866,-0.030,-0.042,0.011,-9.945,12.278,-3.303
16:44:51:398,3.893,-0.015,-0.025,-0.017,-9.668,12.006,-3.885
16:44:51:425,3.920,-0.153,-0.084,-0.065,-9.393,11.862,-4.434
16:44:51:452,3.947,-0.015,-0.009,0.013,-8.660,11.827,-5.531
16:44:51:48,3.975,-0.047,-0.025,-0.019,-7.936,11.918,-6.432
16:44:51:507,4.002,0.014,0.014,-0.017,-6.691,12.143,-7.931
16:44:51:534,4.029,-0.027,0.012,0.054,-5.279,12.136,-9.282
16:44:51:565,4.060,-0.005,0.045,0.055,-4.435,12.112,-10.025
16:44:51:592,4.087,0.088,0.025,0.144,-2.905,12.054,-11.629
16:44:51:619,4.113,0.036,0.047,0.039,-2.724,12.411,-12.515
16:44:51:646,4.141,0.036,0.047,0.039,-2.724,12.411,-12.515
16:44:51:673,4.167,-0.065,0.258,-0.056,-2.969,13.285,-13.700
16:44:51:7,4.195,-0.153,0.480,-0.001,-2.812,13.646,-14.667
16:44:51:728,4.223,-0.153,0.480,-0.001,-2.812,13.646,-14.667
16:44:51:755,4.250,-0.523,0.156,0.130,-1.248,14.641,-18.152
16:44:51:783,4.277,-0.585,0.083,-0.231,-0.198,14.827,-20.630
16:44:51:81,4.305,-0.862,0.073,-0.332,1.477,14.502,-24.812
16:44:51:837,4.332,-1.438,0.207,-0.241,4.820,13.736,-30.352
16:44:51:864,4.359,-1.387,0.619,-0.427,8.165,12.857,-35.159
16:44:51:891,4.386,-2.093,0.399,-0.476,16.270,10.924,-43.754
16:44:51:918,4.413,-1.468,-0.184,-0.492,23.794,8.014,-49.439
16:44:51:945,4.440,-0.588,-0.314,-0.288,31.936,4.164,-56.381
16:44:51:973,4.468,-0.840,-1.532,-0.370,33.730,1.121,-59.293
16:44:51:999,4.494,-0.200,-1.386,-0.254,31.853,0.128,-58.465
16:44:52:027,4.522,0.222,-1.341,-0.115,26.248,-0.394,-53.167
16:44:52:054,4.549,-0.028,-1.045,-0.291,20.953,0.183,-46.903
16:44:52:081,4.576,-0.387,-0.840,-0.377,13.111,2.547,-34.747
16:44:52:108,4.603,-0.566,-0.381,-0.271,5.914,4.528,-22.142
16:44:52:135,4.630,-0.324,0.023,-0.180,1.042,5.429,-13.936
16:44:52:163,4.658,0.793,1.319,0.070,-6.716,5.539,-2.711
16:44:52:19,4.684,2.008,1.259,0.567,-11.332,4.658,3.252
16:44:52:217,4.712,2.576,0.198,0.811,-16.729,2.358,10.058
16:44:52:245,4.740,2.504,0.253,0.270,-19.636,4.620,11.646
16:44:52:272,4.767,1.353,2.258,2.351,-16.488,11.044,2.683
16:44:52:299,4.794,1.417,-0.614,-0.323,-15.818,9.455,-0.729
16:44:52:327,4.821,1.417,-0.614,-0.323,-15.818,9.455,-0.729
16:44:52:354,4.849,0.080,0.071,0.026,-12.560,7.938,-8.459
16:44:52:381,4.876,0.093,-0.011,0.175,-10.355,8.432,-10.953
16:44:52:408,4.903,0.093,-0.011,0.175,-10.355,8.432,-10.953
16:44:52:436,4.931,0.042,0.036,0.184,-8.856,8.559,-13.664
16:44:52:463,4.958,-0.005,0.579,0.011,-9.563,8.163,-14.779
16:44:52:49,4.985,-0.648,0.703,-0.003,-10.121,9.775,-18.301
16:44:52:517,5.012,-0.827,0.274,-0.195,-9.016,12.690,-21.671
16:44:52:546,5.041,-0.616,-0.200,-0.180,-7.855,14.467,-22.890
16:44:52:573,5.068,-0.343,0.049,-0.013,-4.687,16.935,-26.650
16:44:52:601,5.096,-0.657,0.019,0.203,-2.133,17.697,-30.535
16:44:52:628,5.123,-0.657,0.019,0.203,-2.133,17.697,-30.535
16:44:52:655,5.150,-1.867,-0.005,-0.356,9.444,19.304,-42.401
16:44:52:682,5.177,-1.867,-0.005,-0.356,9.444,19.304,-42.401
16:44:52:709,5.204,-1.223,-1.224,0.086,31.017,16.633,-54.907
16:44:52:736,5.231,-0.497,-0.918,0.108,33.707,15.660,-56.869
16:44:52:764,5.258,0.217,-1.130,0.011,33.708,16.434,-56.172
16:44:52:791,5.286,0.051,-1.063,-0.169,31.150,18.147,-52.975
16:44:52:818,5.313,-0.214,-1.223,-0.087,24.180,23.329,-44.369
16:44:52:845,5.340,-0.214,-1.223,-0.087,24.180,23.329,-44.369
16:44:52:873,5.368,-0.778,-0.255,0.222,8.319,33.103,-26.194
16:44:52:9,5.395,0.237,1.116,0.927,-7.566,41.328,-8.269
16:44:52:928,5.422,0.237,1.116,0.927,-7.566,41.328,-8.269
16:44:52:955,5.450,1.868,1.314,0.411,-16.882,41.322,0.456
16:44:52:984,5.479,3.160,0.110,-0.267,-21.453,39.553,5.350
16:44:53:011,5.506,2.871,-1.118,-1.015,-25.434,38.887,10.399
16:44:53:039,5.534,-1.217,0.173,0.345,-24.495,40.375,7.264
16:44:53:065,5.560,2.254,0.995,-0.371,-21.783,40.380,1.334
16:44:53:092,5.587,0.771,-0.487,0.459,-21.296,39.590,-2.247
16:44:53:12,5.614,0.771,-0.487,0.459,-21.296,39.590,-2.247
16:44:53:146,5.641,0.443,0.491,-0.481,-19.510,39.474,-6.544
16:44:53:174,5.669,0.113,-0.049,0.000,-16.287,41.249,-11.149
16:44:53:2,5.695,0.204,0.028,-0.051,-15.777,41.858,-13.403
16:44:53:228,5.723,0.064,0.210,0.100,-16.117,42.282,-14.756
16:44:53:255,5.750,0.064,0.210,0.100,-16.117,42.282,-14.756
16:44:53:282,5.777,-0.436,0.671,0.035,-17.955,43.324,-17.876
16:44:53:309,5.804,-0.501,0.499,0.184,-18.384,45.796,-21.180
16:44:53:337,5.832,-0.524,0.088,0.454,-17.268,50.069,-24.713
16:44:53:364,5.859,-0.471,0.010,0.442,-16.195,52.483,-26.241
16:44:53:391,5.886,-0.427,-0.011,0.270,-13.931,54.282,-29.394
16:44:53:418,5.913,-0.320,-0.046,0.327,-12.010,55.813,-32.700
16:44:53:446,5.941,-0.320,-0.046,0.327,-12.010,55.813,-32.700
16:44:53:472,5.967,-1.780,-0.053,1.311,5.359,63.668,-46.142
16:44:53:5,5.995,-1.422,0.497,0.771,13.645,63.432,-50.689
16:44:53:526,6.021,-0.891,-1.302,1.001,23.814,61.786,-56.404
16:44:53:554,6.049,-0.090,-0.806,0.300,27.359,61.704,-58.071
16:44:53:584,6.079,-0.090,-0.806,0.300,27.359,61.704,-58.071
16:44:53:608,6.103,0.032,-1.332,0.371,25.167,70.645,-48.585
16:44:53:635,6.130,0.032,-1.332,0.371,25.167,70.645,-48.585
16:44:53:663,6.158,-0.188,-0.706,0.416,16.049,75.607,-39.943
16:44:53:689,6.184,0.127,-0.183,0.847,1.231,83.280,-23.012
16:44:53:717,6.212,0.361,0.667,0.376,-4.333,85.371,-16.209
16:44:53:744,6.239,0.792,1.264,-0.852,-12.729,86.387,-6.590
16:44:53:771,6.266,1.547,1.096,-2.030,-19.312,85.630,1.641
16:44:53:798,6.293,1.749,0.194,-2.962,-21.987,86.069,5.040
16:44:53:826,6.321,1.749,0.194,-2.962,-21.987,86.069,5.040
16:44:53:853,6.348,0.830,2.713,2.642,-20.733,90.648,0.704
16:44:53:88,6.375,1.536,0.671,-2.494,-18.508,88.786,-3.860
16:44:53:908,6.403,0.806,-0.496,-1.377,-17.132,87.740,-8.146
16:44:53:935,6.430,-0.248,0.611,-0.459,-15.930,88.356,-10.271
16:44:53:963,6.458,0.146,-0.079,0.259,-13.029,89.866,-12.924
16:44:53:99,6.485,0.165,0.032,0.061,-11.598,90.228,-14.276
16:44:54:017,6.512,0.102,0.056,-0.029,-10.517,90.548,-16.141
16:44:54:044,6.539,0.065,0.527,0.084,-10.528,90.843,-17.293
16:44:54:071,6.566,0.178,0.785,0.405,-10.540,91.710,-19.082
16:44:54:099,6.594,-0.369,0.592,0.671,-10.171,93.310,-22.111
16:44:54:126,6.621,-0.191,0.293,0.645,-9.137,94.708,-24.396
16:44:54:153,6.648,-0.031,0.063,0.880,-7.206,97.410,-26.396
16:44:54:18,6.675,0.136,0.036,0.159,-5.397,97.954,-27.777
16:44:54:207,6.702,-0.210,-0.207,0.775,-2.496,98.057,-32.021
16:44:54:234,6.729,-0.592,0.394,1.323,2.495,98.835,-38.617
16:44:54:261,6.756,-0.827,0.174,1.856,9.685,99.816,-43.379
16:44:54:288,6.783,-0.674,-0.587,2.229,25.385,99.922,-50.148
16:44:54:315,6.810,-0.133,-0.833,1.254,34.198,98.141,-54.005
16:44:54:342,6.837,-0.133,-0.833,1.254,34.198,98.141,-54.005
16:44:54:37,6.865,-0.090,-0.858,0.732,41.532,94.864,-59.124
16:44:54:397,6.892,-0.350,-1.071,-0.063,29.082,96.006,-53.555
16:44:54:424,6.919,-0.350,-1.071,-0.063,29.082,96.006,-53.555
16:44:54:451,6.946,0.024,-0.576,0.741,12.500,103.932,-36.050
16:44:54:479,6.973,0.024,-0.576,0.741,12.500,103.932,-36.050
16:44:54:506,7.001,0.193,-0.290,0.838,6.964,107.444,-28.276
16:44:54:533,7.027,0.646,1.431,-0.856,-10.143,114.104,-6.089
16:44:54:56,7.055,0.633,1.351,-1.648,-15.141,113.721,-0.206
16:44:54:588,7.083,0.195,0.138,-3.535,-20.277,111.218,6.153
16:44:54:614,7.109,0.360,-1.096,-3.329,-21.998,111.223,7.847
16:44:54:644,7.139,0.538,0.356,-1.928,-20.736,113.693,5.105
16:44:54:671,7.166,0.538,0.356,-1.928,-20.736,113.693,5.105
16:44:54:699,7.194,-0.659,0.469,-1.245,-17.405,112.918,-5.614
16:44:54:726,7.220,0.390,0.007,-0.217,-14.798,112.218,-10.160
16:44:54:753,7.248,0.148,-0.181,-0.153,-13.556,112.813,-12.409
16:44:54:78,7.275,0.136,0.056,-0.041,-9.784,113.965,-17.033
16:44:54:807,7.302,0.070,0.250,-0.012,-9.419,114.115,-18.065
16:44:54:834,7.329,0.072,0.481,0.197,-9.029,114.447,-19.318
16:44:54:861,7.356,0.053,0.327,0.274,-8.750,114.885,-20.306
16:44:54:889,7.384,-0.034,0.099,0.278,-8.242,115.809,-22.333
16:44:54:916,7.411,-0.058,0.092,0.273,-7.626,116.457,-23.916
16:44:54:943,7.438,-0.058,0.092,0.273,-7.626,116.457,-23.916
16:44:54:971,7.466,-0.008,0.106,0.623,-5.405,119.591,-27.250
16:44:54:997,7.492,-0.008,0.106,0.623,-5.405,119.591,-27.250
16:44:55:025,7.520,0.175,0.087,0.649,-0.882,121.313,-33.555
16:44:55:052,7.547,0.373,0.412,1.230,2.246,121.917,-37.612
16:44:55:079,7.574,0.494,0.757,1.984,10.073,123.798,-44.611
16:44:55:106,7.601,-0.285,-0.017,2.385,23.476,123.789,-52.111
16:44:55:133,7.628,-0.323,-0.142,0.242,31.548,122.702,-56.633
16:44:55:16,7.655,-0.182,-0.985,-0.101,39.489,121.668,-60.177
