"","stX","stY","angle","disALL","travelDIS","travelANG","Dur","meanCur","meanCur2","sdCur","sdCur2","S","endX","endY","mark","noperson","noslide"
"3",188,147,9.20582350963654,146.89196710508,147.1364710732,45.2228364366007,138,0.32891322336724,0.0128822933762707,0.188534288772378,0.0110571876628208,0.998338250426043,333,170.5,2,1,3
"4",198,173,-6.92017770590449,105.988932330187,108.038970725549,-17.2091670646224,118,-0.130797109609363,-0.00296185015286228,0.312639993184552,0.00747564620690129,0.981025009942289,303.2168,160.22977,2,1,4
"10",197,175,-7.26255605809854,105.919836243288,106.152154581766,-22.6940164146383,97,-0.223982337997519,-0.00666982626578813,0.160809401465576,0.00536305566589402,0.997811459038272,302.07007,161.61,2,1,10
"11",168,178,-4.83795524115997,160.070297057262,160.969119414967,-16.4533833960854,160,-0.0659161764266764,-0.0010580945872825,0.17603361142816,0.00607654946834789,0.994416181432986,327.5,164.5,2,1,11
"17",173,158,3.59995662866328,151.298545928241,151.459468969404,14.5231663068323,105,0.0975539211345158,0.00264353556973916,0.090406868769358,0.00265130077085574,0.998937517460887,324,167.5,2,1,17
"20",177,221,-1.70981404414153,134.059688198951,134.059688198951,-1.70981404414153,139,-0.0127541251744826,-9.51376610361413e-05,0,0,1,311,217,2,1,20
"21",201,160,7.26324474058456,102.825094213426,102.825094213426,7.26324474058456,139,0.0706368887492463,0.000686961575767007,0,0,1,303,173,2,1,21
"22",179,207,-11.8677318975661,141.01418368377,141.01418368377,-11.8677318975661,172,-0.0841598453966869,-0.000596818300103902,0,0,1,317,178,2,1,22
"23",153,201,-7.28166880753507,181.463494951464,181.463494951464,-7.28166880753507,194,-0.0401274581947333,-0.000221132400240975,0,0,1,333,178,2,1,23
"25",208,190,-4.72445169717089,121.412519947491,121.412519947491,-4.72445169717089,160,-0.0389123930482138,-0.000320497367693568,0,0,1,329,180,2,1,25
"30",151,185,-5.50547785797835,166.769301731464,166.769301731464,-5.50547785797835,171,-0.0330125376842041,-0.00019795332439157,0,0,1,317,169,2,1,30
