"","noperson","N","mark"
"1",1,47,0.127659574468085
"2",2,18,0.0555555555555556
"3",3,16,0
"4",4,17,0.0588235294117647
"5",5,22,0
"6",6,15,0.0666666666666667
"7",7,18,0
"8",8,26,0.153846153846154
"9",9,18,0
"10",10,21,0
"11",11,26,0.0769230769230769
"12",12,34,0.176470588235294
"13",13,6,0
"14",14,25,0
"15",15,11,0
"16",16,13,0.0769230769230769
"17",17,9,0
"18",18,12,0
