"","noperson","N","mark"
"1",1,40,0.1
"2",2,20,0.1
"3",3,19,0
"4",4,24,0.125
"5",5,22,0.136363636363636
"6",6,33,0.0303030303030303
"7",7,19,0.210526315789474
"8",8,27,0.111111111111111
"9",9,25,0
"10",10,14,0
"11",11,20,0.15
"12",12,34,0.0882352941176471
"13",13,26,0.0769230769230769
"14",14,43,0.186046511627907
"15",15,15,0.0666666666666667
"16",16,16,0
"17",17,10,0.2
"18",18,11,0
