"","stX","stY","angle","disALL","travelDIS","travelANG","Dur","meanCur","meanCur2","sdCur","sdCur2","S","mark","noperson","noslide"
"11",165,142,-3.57633437499735,168.327805189755,169.804036821254,-11.427952177186,117,-0.0530694020473046,-0.000974416670630303,0.16404856060813,0.00329009254921254,0.991306263036295,2,1,11
"12",155,169,1.80116051572237,159.078596926174,159.302613271932,5.32660226988462,137,0.0123318285784844,-0.000722006224199732,0.125295838087261,0.00485399837460997,0.998593768544298,2,1,12
"24",163,132,7.87041992353791,171.616578453249,174.358362656532,54.3781433390948,193,0.305547480135675,0.0118683107177619,0.424084377961689,0.0185507095095682,0.984275006019157,2,1,24
"25",202,158,7.13183337285487,116.842074029004,122.15965922752,41.6140545185178,179,0.395978155134504,0.0184442353575327,0.719332312499253,0.028746873865037,0.956470202748258,2,1,25
"27",162,170,-11.0127236034159,170.133036180514,170.555821392524,-35.799347853667,137,-0.175388690870661,-0.00357911873703234,0.125708206595253,0.00249328590018613,0.997521132913795,2,1,27
"31",161,174,5.13255443987297,167.6722994415,172.498535223217,48.3316380744259,159,0.462573803062732,0.028593234462962,0.763559523738144,0.0511697699383203,0.972021583977676,2,1,31
"37",127,160,10.1755108430432,198.116127561589,202.204467243013,57.5840334335891,161,-1.45646795631342,-1.77412642339416,5.14638214483997,5.05375222733125,0.979781160440386,2,1,37
"38",150,147,-0.205886302754718,159.000446543898,160.161961518223,6.68901048763123,137,0.0920401179178347,0.0037663348525313,0.2276002946415,0.00696325252685637,0.992747872445397,2,1,38
"46",135,156,-0.545657593415721,210.009523593574,215.733287792353,-23.0110154369155,116,-0.238475721572665,-0.00871229312950027,0.686451963781448,0.0245526245271528,0.973468330931443,2,2,3
"53",180,167,-10.0893823154939,142.706867389064,144.099494360553,-32.7172336739837,107,-0.247304281382558,-0.00564972060885923,0.235179367317706,0.00557110072924812,0.990335656778891,2,2,10
"54",128,206,-14.2903250818177,218.769284864215,219.450463179865,-47.839530951838,97,-0.277598969108636,-0.00538608865381755,0.231787021468322,0.00629888874991516,0.996895981417494,2,2,11
"63",81,122,6.25033957778048,211.255769151993,211.325164359775,24.030449284079,106,0.143346217320122,0.00412283872659964,0.0618511352643317,0.00273373671058996,0.999671618815522,2,2,20
"64",118,113,2.95077910900635,194.257560985409,196.240782983755,7.76425689369288,107,0.192007130986092,0.0242075178812088,0.506258187778061,0.0515832106197366,0.989893935561247,2,2,21
"75",210,132,9.66640248303976,92.3106169408481,92.3733319976541,20.1076314303392,106,0.233665811690557,0.00558713192732908,0.12534044567994,0.00413912447382033,0.999321069669679,2,2,32
"96",192,238,2.18164140355147,105.076162853427,105.14171315121,5.75487559678988,86,0.185803319892475,0.0477106932389365,0.258982404492873,0.0814328137211784,0.9993765528845,2,3,17
"112",159,213,2.02612834171789,212.132623610797,212.374403763099,7.05199637806415,98,0.0398249599953975,0.000690588061080638,0.0655468382207227,0.00118439780469388,0.99886153817024,2,3,33
"115",197,184,1.96646456829576,116.568649301603,116.599533277333,5.63431708905998,98,0.0481503289660824,0.00128048883479355,0.0524959750982268,0.00159450754658391,0.99973512779286,2,3,36
"116",173,183,3.39133941979635,202.855243954895,204.574931192423,7.00027202857622,105,0.0280374556783849,0.000451229650219656,0.146969138556372,0.00262487339069473,0.991593851565761,2,3,37
"126",184,190,-8.15137817178673,190.423869302144,190.423869302144,-8.15137817178673,107,-0.0428064937534328,-0.000224795840512578,0,0,1,2,3,47
"127",141,160,-10.9854977789676,173.173323580741,173.173323580741,-10.9854977789676,118,-0.063436432077517,-0.000366317575743358,0,0,1,2,3,48
"135",104,162,4.6199234816604,248.306765916678,258.141985393859,113.347766893121,202,0.903798863080026,0.0629060631754711,1.06810716458575,0.0761591603862316,0.961899961905945,2,4,4
"136",51,182,1.01939028145508,281.044480465282,283.976215566996,10.5154954532397,118,0.292713687443963,0.0525764095717901,1.09690055068943,0.155314140148244,0.989676124474508,2,4,5
"144",184,77,-5.63068275763526,71.3442359269479,71.3442359269479,-5.63068275763526,128,-0.0789227424539347,-0.00110622451034092,0,0,1,2,4,13
"145",78,166,8.4006825363179,239.570448928911,239.570448928911,8.4006825363179,160,0.0350656041839729,0.000146368654150571,0,0,1,2,4,14
"157",191,173,-0.773451369020671,159.613442987644,159.864669241074,-2.93321175201829,97,-0.0212073378812245,-0.000437828903974396,0.0659763640240371,0.00117433463881049,0.998428506719949,2,5,5
"158",243,172,-14.2067661177604,81.4923309275173,85.3817319379965,-41.6617876568984,96,-0.471466420750126,-0.0159258054299451,0.811090464069743,0.0298978662351229,0.954446918302107,2,5,6
"165",145,179,5.83949231151745,176.918060129541,176.918205086383,17.8500982955078,99,0.355058495857871,0.0464176838447629,0.491397846564062,0.0788194083570153,0.999999180656157,2,5,13
"166",199,158,8.19806884601629,119.21828718783,119.53312939644,21.4860314904241,88,0.190786820434385,0.0058846417768097,0.223381759751092,0.00853716372853766,0.997366067380658,2,5,14
"173",118,170,-1.0149765246645,254.039859077272,254.888921415536,-15.6555248999128,107,-0.197184383507628,-0.00981416993802182,0.370789774708482,0.0189336391188987,0.996668892733554,2,6,7
"182",177,167,10.6849124000027,107.870292481294,107.892915442762,31.6983941647164,82,38.7111730906346,442.643270193019,66.6948307874641,766.67383570111,0.999790320232103,2,6,16
"203",164,248,0.758840124268547,151.013244452266,151.013244452266,0.758840124268547,117,0.00502499053656454,3.32751644055491e-05,0,0,1,2,7,7
"204",145,185,14.3148269104049,149.646249535363,149.646249535363,14.3148269104049,99,0.0956577726127521,0.000639225994034334,0,0,1,2,7,8
"222",93,265,-13.5583536081309,259.036208944966,269.933781012299,-99.9319721089393,105,-0.827105790203069,-0.0304797187701906,1.14807645618696,0.049003300277265,0.959628720694145,2,7,26
"234",168,212,-18.6528024480192,207.921259134317,208.34478861428,-79.7131336325501,118,-0.656900651367663,-0.0317066330715847,0.700031830036984,0.0512577979755907,0.99796717027203,2,7,38
"239",192,219,5.15558431740623,133.540256102795,372.434336191568,-66.7293941109331,266,-1.16397712367443,-0.240596233084614,3.74975070428523,0.817586734561887,0.35856053839812,2,7,43
"240",134,204,0.596809451229177,192.010416384112,192.096366349217,1.65613736765216,117,0.00402536375578825,-0.000138801719042978,0.0379838774669768,0.000888690825380543,0.999552568501224,2,7,44
"245",203,218,-1.56506908559226,91.5341466339202,93.2151669135572,-4.00013409800058,85,-0.0522143585427081,-0.00132191929903217,0.333839184066549,0.00723642815141203,0.98196623644738,2,8,3
"246",157,168,26.804530574619,213.993574669895,215.770699352905,89.1477436057618,98,0.425303183002558,0.00919417497411277,0.371714679062709,0.00960105285779788,0.991763827580206,2,8,4
"247",191,164,18.8951459909007,157.486507358567,157.877168850577,85.8497898866657,150,0.954773718458732,0.0607280922859263,1.13814202788006,0.10344466668185,0.99752553523189,2,8,5
"250",148,229,6.45881637871866,186.684894943324,190.335918139642,21.3684875517013,139,0.0938018523109056,0.00162263235505373,0.320226628577904,0.0076059243784801,0.980818002025034,2,8,8
"252",158,195,23.0704122498247,176.08236708995,176.08236708995,23.0704122498247,98,0.131020570833418,0.000744086832763253,0,0,1,2,8,10
"253",191,172,15.3660852128234,135.856541984551,135.856541984551,15.3660852128234,107,0.113105228414917,0.000832534280371858,0,0,1,2,8,11
