"","noperson","N","mark"
"1",1,42,0.0476190476190476
"2",2,18,0.0555555555555556
"3",3,20,0
"4",4,23,0.0869565217391304
"5",5,20,0.1
"6",6,25,0.08
"7",7,9,0
"8",8,20,0
"9",9,14,0
"10",10,23,0.0434782608695652
"11",11,22,0.0909090909090909
"12",12,21,0.0952380952380952
"13",13,26,0.0769230769230769
"14",14,15,0
"15",15,13,0.0769230769230769
"16",16,14,0
"17",17,10,0
"18",18,10,0
