"","noperson","N","mark"
"1",1,43,0.13953488372093
"2",2,36,0.138888888888889
"3",3,52,0.0576923076923077
"4",4,21,0.333333333333333
"5",5,14,0.0714285714285714
"6",6,30,0.2
"7",7,46,0.239130434782609
"8",8,29,0.137931034482759
"9",9,22,0.0909090909090909
"10",10,16,0
"11",11,25,0.24
"12",12,40,0.125
"13",13,18,0.333333333333333
"14",14,18,0.0555555555555556
"15",15,21,0.238095238095238
"16",16,16,0
"17",17,9,0
"18",18,20,0.05
