Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:51:02:75,0.000,-0.008,0.000,-0.009,10.637,9.311,0.079
14:51:02:751,0.001,-0.002,-0.002,-0.013,10.631,9.312,0.087
14:51:02:776,0.026,-0.004,-0.004,-0.009,10.638,9.324,0.105
14:51:02:802,0.052,-0.006,-0.010,-0.014,10.634,9.326,0.127
14:51:02:828,0.078,-0.006,-0.008,-0.010,10.636,9.328,0.141
14:51:02:881,0.131,-0.011,-0.004,-0.019,10.637,9.341,0.167
14:51:02:882,0.132,-0.004,-0.001,-0.011,10.634,9.357,0.190
14:51:02:906,0.155,-0.005,-0.002,-0.020,10.633,9.355,0.208
14:51:02:931,0.181,-0.006,-0.002,0.000,10.636,9.358,0.204
14:51:02:961,0.211,-0.006,-0.012,-0.009,10.641,9.391,0.217
14:51:02:961,0.211,-0.006,-0.005,-0.018,10.657,9.448,0.252
14:51:03:01,0.260,-0.006,-0.005,-0.019,10.648,9.479,0.285
14:51:03:04,0.289,-0.007,0.000,-0.006,10.630,9.487,0.328
14:51:03:041,0.290,-0.003,0.002,-0.008,10.624,9.487,0.361
14:51:03:092,0.341,-0.003,0.005,0.000,10.637,9.489,0.387
14:51:03:146,0.395,-0.002,-0.002,-0.007,10.679,9.490,0.448
14:51:03:146,0.395,-0.009,-0.007,-0.024,10.714,9.488,0.492
14:51:03:194,0.444,-0.008,-0.006,-0.023,10.737,9.463,0.536
14:51:03:22,0.470,-0.006,-0.014,-0.034,10.766,9.384,0.616
14:51:03:249,0.499,0.007,-0.002,-0.026,10.795,9.281,0.730
14:51:03:25,0.499,0.006,0.006,-0.026,10.815,9.219,0.835
14:51:03:272,0.522,0.021,0.022,-0.024,10.861,9.103,1.044
14:51:03:299,0.548,0.029,0.005,-0.033,10.906,9.016,1.225
14:51:03:326,0.575,0.027,0.003,-0.042,10.944,8.915,1.562
14:51:03:351,0.601,0.011,0.012,-0.039,10.955,8.833,2.020
14:51:03:377,0.627,0.015,-0.005,-0.052,10.945,8.773,2.406
14:51:03:404,0.653,0.015,-0.011,-0.048,10.881,8.659,3.089
14:51:03:43,0.679,0.004,-0.008,-0.040,10.843,8.570,3.642
14:51:03:458,0.707,-0.020,0.001,-0.011,10.887,8.371,4.626
14:51:03:483,0.733,-0.038,0.008,-0.023,10.916,8.145,5.311
14:51:03:51,0.759,-0.005,-0.017,-0.024,10.982,7.565,6.323
14:51:03:535,0.785,0.004,0.002,-0.024,10.993,7.100,7.322
14:51:03:561,0.811,-0.023,0.018,-0.002,10.972,6.721,7.957
14:51:03:588,0.838,-0.018,-0.024,-0.029,10.881,6.213,8.818
14:51:03:614,0.863,-0.039,-0.004,0.031,10.765,5.889,9.339
14:51:03:642,0.891,-0.004,-0.038,-0.006,10.526,5.502,10.190
14:51:03:666,0.916,0.081,-0.040,0.059,10.312,5.310,10.816
14:51:03:692,0.942,0.265,-0.102,0.111,9.872,4.980,11.614
14:51:03:719,0.968,0.322,-0.178,0.071,9.549,4.515,11.835
14:51:03:774,1.023,0.347,-0.106,0.073,9.302,4.313,11.652
14:51:03:881,1.130,0.338,-0.083,0.050,8.905,4.173,10.845
14:51:03:881,1.131,0.208,-0.037,0.055,8.699,4.049,9.963
14:51:03:912,1.161,0.176,-0.029,0.024,8.509,3.610,8.138
14:51:03:912,1.162,0.095,0.004,0.003,8.377,2.890,5.848
14:51:03:913,1.162,0.001,0.048,-0.029,8.239,2.431,4.202
14:51:03:914,1.163,-0.148,0.029,-0.020,7.887,2.018,1.807
14:51:03:958,1.207,-0.248,0.009,-0.026,7.590,2.278,0.466
14:51:03:958,1.208,-0.512,0.003,-0.042,7.088,3.009,-1.032
14:51:04:012,1.262,-0.522,-0.092,0.001,6.524,4.162,-1.667
14:51:04:012,1.262,-0.871,-0.067,-0.110,6.102,4.535,-1.651
14:51:04:034,1.284,0.163,-0.030,0.092,5.223,4.501,-0.976
14:51:04:089,1.339,-0.165,0.432,0.066,4.572,3.317,-0.908
14:51:04:09,1.340,-0.306,0.355,0.014,3.824,3.635,-0.869
14:51:04:171,1.421,-0.008,-0.113,0.073,3.047,3.840,-0.244
14:51:04:171,1.421,-0.041,-0.094,-0.325,2.626,4.411,0.022
14:51:04:172,1.422,0.005,0.027,0.094,1.856,4.427,0.401
14:51:04:222,1.472,-0.075,-0.023,-0.029,1.451,4.658,0.555
14:51:04:222,1.472,-0.020,0.072,0.020,0.876,4.764,0.648
14:51:04:244,1.494,-0.070,0.022,-0.041,0.544,4.916,0.622
14:51:04:271,1.520,-0.022,0.007,-0.036,0.150,4.835,0.512
14:51:04:356,1.605,-0.027,0.009,0.009,-0.152,4.649,0.297
14:51:04:356,1.606,-0.010,-0.011,-0.007,-0.299,4.413,0.107
14:51:04:356,1.606,-0.015,-0.023,-0.024,-0.466,4.113,-0.236
14:51:04:489,1.739,0.000,-0.018,-0.019,-0.579,3.925,-0.472
14:51:04:49,1.740,-0.029,-0.002,-0.037,-0.746,3.755,-0.835
14:51:04:491,1.740,-0.003,0.007,0.000,-0.863,3.528,-1.030
14:51:04:492,1.741,0.063,0.000,0.030,-0.964,3.161,-1.224
14:51:04:539,1.788,0.007,0.001,-0.039,-1.030,2.795,-1.149
14:51:04:539,1.789,0.054,-0.020,-0.030,-1.069,2.520,-0.930
14:51:04:54,1.790,0.067,0.011,0.026,-1.114,2.061,-0.352
14:51:04:617,1.866,0.004,0.056,-0.053,-1.119,1.836,0.193
14:51:04:618,1.867,0.082,0.047,-0.072,-1.066,1.469,1.238
14:51:04:618,1.868,0.115,0.051,0.027,-0.911,1.011,2.607
14:51:04:637,1.887,0.162,0.040,0.010,-0.751,0.885,3.779
14:51:04:722,1.971,0.024,0.150,0.033,-0.485,0.959,5.951
14:51:04:723,1.972,-0.005,0.295,0.027,-0.306,1.101,7.513
14:51:04:723,1.973,0.307,0.100,0.067,0.009,0.828,10.027
14:51:04:742,1.992,0.230,0.191,0.091,0.402,0.635,12.685
14:51:04:797,2.047,0.420,0.290,0.000,0.625,0.783,14.592
14:51:04:798,2.048,0.320,0.163,0.090,0.977,1.271,17.539
14:51:04:821,2.071,0.196,0.060,-0.109,1.215,1.816,19.462
14:51:04:877,2.126,0.054,0.045,-0.057,1.399,2.970,22.250
14:51:04:877,2.127,0.472,-0.321,-0.087,1.315,4.242,24.720
14:51:04:9,2.149,0.490,-0.548,0.042,1.274,5.047,25.781
14:51:04:928,2.178,0.555,-0.624,-0.057,1.406,6.050,26.032
14:51:04:954,2.204,0.667,-0.640,0.073,1.424,6.889,25.357
14:51:04:978,2.228,0.603,-0.479,0.068,1.548,8.026,22.956
14:51:05:005,2.255,0.520,-0.283,0.034,1.958,9.119,19.028
14:51:05:031,2.281,0.435,-0.106,0.027,2.419,9.722,15.717
14:51:05:146,2.396,0.274,0.115,0.051,3.309,10.341,9.909
14:51:05:146,2.396,0.130,0.238,-0.004,4.006,10.704,5.704
14:51:05:146,2.396,-0.047,0.312,-0.094,5.080,11.208,-0.802
14:51:05:147,2.397,-0.238,0.368,-0.091,5.756,11.506,-5.087
14:51:05:192,2.442,-0.582,0.262,-0.127,6.691,11.748,-11.116
14:51:05:192,2.442,-1.039,0.063,-0.097,7.342,11.072,-16.310
14:51:05:217,2.467,-1.043,-0.232,-0.180,7.577,10.125,-18.953
14:51:05:218,2.468,-1.181,-0.432,-0.182,7.255,8.706,-20.877
14:51:05:357,2.607,-1.050,-0.233,-0.053,6.452,7.980,-20.671
14:51:05:357,2.607,-0.874,-0.211,-0.130,4.775,6.460,-18.535
14:51:05:357,2.607,1.946,0.845,1.098,2.431,4.519,-15.449
