Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
13:51:29:663,0.000,-0.008,-0.004,-0.005,-4.237,-16.494,14.362
13:51:29:689,0.026,-0.012,-0.007,-0.012,-4.233,-16.437,14.390
13:51:29:715,0.052,-0.010,-0.004,-0.001,-4.251,-16.428,14.437
13:51:29:741,0.078,0.000,-0.003,-0.012,-4.273,-16.473,14.441
13:51:29:768,0.105,0.005,0.001,-0.007,-4.293,-16.480,14.440
13:51:29:796,0.133,-0.005,-0.006,-0.011,-4.320,-16.436,14.469
13:51:29:822,0.159,-0.011,-0.003,-0.002,-4.330,-16.416,14.487
13:51:29:848,0.185,-0.015,-0.003,-0.014,-4.339,-16.457,14.516
13:51:29:874,0.211,-0.009,-0.003,-0.007,-4.347,-16.533,14.523
13:51:29:899,0.236,-0.005,-0.001,-0.011,-4.374,-16.655,14.510
13:51:29:925,0.262,-0.005,0.001,-0.012,-4.393,-16.757,14.467
13:51:29:98,0.317,0.004,-0.005,-0.012,-4.408,-16.812,14.441
13:51:29:981,0.318,0.000,-0.007,-0.006,-4.427,-16.855,14.404
13:51:30:005,0.342,-0.005,-0.007,-0.008,-4.432,-16.884,14.386
13:51:30:031,0.368,-0.012,-0.001,-0.004,-4.422,-16.935,14.347
13:51:30:056,0.393,-0.007,0.002,-0.008,-4.405,-16.980,14.315
13:51:30:083,0.420,0.003,-0.001,-0.003,-4.406,-17.007,14.299
13:51:30:109,0.446,-0.005,-0.012,-0.016,-4.394,-16.948,14.287
13:51:30:137,0.474,-0.006,-0.005,-0.009,-4.389,-16.859,14.283
13:51:30:163,0.500,0.000,-0.009,-0.004,-4.366,-16.750,14.280
13:51:30:189,0.526,-0.006,-0.004,-0.006,-4.357,-16.692,14.277
13:51:30:216,0.553,-0.004,-0.005,-0.012,-4.344,-16.680,14.282
13:51:30:268,0.605,0.000,-0.006,-0.005,-4.322,-16.673,14.262
13:51:30:296,0.633,-0.007,-0.005,-0.005,-4.307,-16.661,14.245
13:51:30:296,0.633,-0.002,0.000,-0.002,-4.298,-16.659,14.217
13:51:30:319,0.656,-0.003,-0.003,-0.006,-4.292,-16.685,14.213
13:51:30:346,0.683,-0.003,-0.006,-0.001,-4.286,-16.695,14.215
13:51:30:371,0.708,-0.003,-0.003,-0.005,-4.286,-16.695,14.215
13:51:30:397,0.734,0.001,-0.001,-0.006,-4.277,-16.694,14.218
13:51:30:424,0.761,-0.009,-0.003,-0.007,-4.271,-16.687,14.214
13:51:30:45,0.787,-0.001,-0.004,-0.013,-4.260,-16.681,14.212
13:51:30:476,0.814,-0.001,-0.006,-0.002,-4.252,-16.671,14.215
13:51:30:531,0.868,-0.002,-0.003,-0.010,-4.245,-16.634,14.211
13:51:30:558,0.895,-0.005,-0.003,-0.008,-4.252,-16.623,14.210
13:51:30:559,0.896,0.001,-0.006,-0.013,-4.252,-16.623,14.210
13:51:30:582,0.919,0.000,-0.002,-0.006,-4.252,-16.623,14.210
13:51:30:608,0.945,-0.001,-0.007,-0.012,-4.252,-16.623,14.210
13:51:30:634,0.971,-0.005,-0.003,-0.004,-4.252,-16.623,14.210
13:51:30:66,0.997,-0.001,-0.003,-0.011,-4.252,-16.623,14.210
13:51:30:688,1.025,-0.008,-0.004,-0.005,-4.252,-16.623,14.210
13:51:30:713,1.050,-0.007,0.004,-0.018,-4.252,-16.623,14.210
13:51:30:739,1.076,-0.006,-0.007,-0.004,-4.244,-16.643,14.212
13:51:30:765,1.102,-0.020,-0.002,-0.003,-4.258,-16.660,14.213
13:51:30:793,1.130,0.002,-0.004,0.000,-4.215,-16.744,14.231
13:51:30:819,1.156,0.001,-0.014,0.001,-4.217,-16.807,14.230
13:51:30:844,1.181,0.004,-0.002,0.001,-4.217,-16.855,14.235
13:51:30:87,1.207,-0.014,-0.001,-0.014,-4.232,-16.904,14.267
13:51:30:896,1.233,-0.018,-0.024,0.003,-4.217,-16.948,14.319
13:51:30:951,1.288,0.010,-0.017,0.003,-4.222,-17.012,14.328
13:51:30:952,1.289,0.012,-0.003,0.001,-4.245,-17.072,14.295
13:51:30:975,1.312,0.053,-0.006,-0.002,-4.289,-17.072,14.297
13:51:31:001,1.338,0.005,-0.009,-0.009,-4.272,-16.997,14.281
13:51:31:028,1.365,0.003,0.002,-0.008,-4.315,-17.006,14.253
13:51:31:053,1.390,-0.014,-0.006,-0.002,-4.368,-17.023,14.195
13:51:31:08,1.417,-0.012,0.008,-0.008,-4.444,-17.037,14.156
13:51:31:108,1.445,-0.017,-0.009,-0.003,-4.514,-17.009,14.129
13:51:31:133,1.470,-0.019,0.004,-0.004,-4.531,-16.900,14.056
13:51:31:159,1.496,-0.024,-0.012,-0.002,-4.617,-16.916,13.972
13:51:31:185,1.522,-0.037,-0.004,-0.006,-4.779,-16.949,13.802
13:51:31:212,1.549,-0.027,-0.001,-0.015,-4.879,-16.959,13.645
13:51:31:239,1.576,-0.016,-0.004,0.001,-5.068,-17.029,13.399
13:51:31:264,1.601,0.018,0.002,-0.001,-5.198,-17.057,13.228
13:51:31:29,1.627,-0.017,-0.022,-0.007,-5.410,-17.071,12.980
13:51:31:32,1.657,-0.004,-0.005,-0.012,-5.695,-17.169,12.685
13:51:31:32,1.657,-0.008,-0.014,-0.010,-5.900,-17.222,12.418
13:51:31:371,1.708,-0.022,-0.015,-0.002,-6.242,-17.280,11.996
13:51:31:372,1.709,0.001,-0.020,-0.005,-6.494,-17.321,11.663
13:51:31:424,1.761,0.003,-0.017,-0.011,-6.916,-17.404,11.086
13:51:31:425,1.762,0.043,-0.035,-0.009,-7.392,-17.462,10.504
13:51:31:475,1.812,0.066,-0.026,-0.046,-7.692,-17.504,10.173
13:51:31:501,1.838,-0.069,-0.013,-0.048,-8.142,-17.609,9.859
13:51:31:529,1.866,-0.080,0.056,-0.048,-8.400,-17.970,9.740
13:51:31:53,1.867,0.024,0.059,0.023,-8.775,-18.588,9.268
13:51:31:553,1.890,0.001,0.021,-0.005,-9.115,-18.823,8.737
13:51:31:58,1.917,0.005,0.002,-0.005,-9.321,-18.962,8.481
13:51:31:605,1.942,-0.005,0.000,-0.010,-9.651,-19.141,8.104
13:51:31:631,1.969,0.017,0.020,0.002,-9.865,-19.180,7.842
13:51:31:658,1.995,-0.005,-0.006,-0.017,-10.181,-19.168,7.458
13:51:31:684,2.021,-0.061,-0.029,-0.018,-10.387,-19.180,7.211
13:51:31:711,2.048,0.006,-0.014,0.012,-10.774,-19.174,6.614
13:51:31:737,2.074,-0.037,0.020,-0.005,-11.256,-18.840,5.710
13:51:31:791,2.128,-0.037,0.025,0.015,-11.567,-18.510,4.885
13:51:31:818,2.155,-0.039,0.018,-0.033,-12.095,-18.309,3.362
13:51:31:819,2.156,0.034,0.055,0.067,-12.588,-17.939,2.169
13:51:31:841,2.178,-0.034,0.107,0.044,-13.612,-17.616,0.282
13:51:31:869,2.206,-0.091,0.124,0.006,-14.596,-17.097,-1.792
13:51:31:923,2.260,-0.148,0.307,0.019,-15.258,-16.545,-3.489
13:51:31:924,2.261,-0.233,0.212,0.137,-16.135,-14.858,-6.168
13:51:31:947,2.284,-0.234,0.155,0.129,-16.775,-14.004,-8.024
13:51:31:973,2.310,-0.352,0.176,0.146,-17.935,-12.876,-11.041
13:51:32:001,2.338,-0.724,0.268,0.110,-18.811,-12.204,-13.340
13:51:32:026,2.363,-0.745,0.048,0.088,-19.958,-9.888,-17.716
13:51:32:112,2.449,-0.947,0.242,-0.113,-21.973,-7.160,-23.411
13:51:32:112,2.449,-0.882,0.234,-0.195,-23.679,-5.013,-28.050
13:51:32:112,2.449,-1.328,-0.185,0.253,-26.813,-1.579,-35.359
13:51:32:13,2.467,-1.078,-0.630,0.520,-29.013,0.481,-39.773
13:51:32:156,2.493,-0.331,0.394,-0.203,-32.623,3.451,-45.172
13:51:32:212,2.549,-0.335,-0.427,0.031,-33.654,4.496,-46.348
13:51:32:238,2.575,-0.774,-1.058,0.440,-31.395,4.359,-44.261
13:51:32:239,2.576,-0.336,-0.812,0.250,-28.952,2.673,-39.882
13:51:32:261,2.598,-0.323,-0.746,0.224,-26.574,0.652,-35.625
13:51:32:287,2.625,-0.469,-0.449,0.434,-22.441,-2.643,-27.765
13:51:32:372,2.709,-0.310,-0.278,0.355,-19.176,-5.143,-22.069
13:51:32:373,2.710,-0.345,-0.128,0.244,-14.239,-8.286,-12.964
13:51:32:374,2.711,-0.228,0.280,0.127,-9.347,-11.540,-3.347
13:51:32:393,2.730,-0.234,0.627,-0.030,-5.835,-13.262,3.214
13:51:32:419,2.756,-0.043,1.423,-1.225,-0.592,-14.031,13.257
13:51:32:445,2.782,2.168,1.728,0.047,2.230,-13.904,19.664
13:51:32:473,2.810,2.626,-0.375,-1.520,6.039,-12.423,26.974
13:51:32:498,2.835,1.400,-1.500,-1.207,8.450,-11.084,32.445
13:51:32:526,2.863,2.093,-1.058,-0.879,7.559,-11.233,32.426
13:51:32:55,2.887,-1.902,1.384,0.617,5.403,-13.126,28.282
13:51:32:577,2.914,2.684,0.981,0.036,4.571,-15.655,22.607
13:51:32:63,2.967,-0.169,0.038,-0.433,0.730,-16.221,19.313
13:51:32:656,2.993,0.259,-0.049,0.234,-1.577,-17.887,17.632
13:51:32:684,3.021,0.468,-0.172,-0.114,-2.535,-20.324,16.128
13:51:32:685,3.022,0.087,0.147,0.111,-3.754,-19.169,14.778
13:51:32:709,3.046,-0.167,-0.112,-0.030,-4.649,-17.769,13.969
13:51:32:763,3.100,-0.093,0.077,-0.077,-6.164,-16.793,12.953
13:51:32:766,3.103,0.001,-0.045,-0.075,-6.591,-17.205,11.963
13:51:32:786,3.123,0.084,-0.045,0.025,-7.269,-17.237,10.380
13:51:32:813,3.150,-0.098,0.093,-0.034,-8.415,-15.873,8.757
13:51:32:841,3.178,-0.113,0.087,-0.062,-9.020,-15.123,7.589
13:51:32:894,3.231,-0.024,0.106,0.003,-9.661,-14.706,6.016
13:51:32:895,3.232,-0.094,0.057,0.062,-10.152,-14.256,4.870
13:51:32:917,3.254,-0.099,0.085,0.050,-10.997,-13.476,2.732
13:51:32:944,3.281,-0.104,0.084,0.124,-11.608,-12.998,1.028
13:51:33:031,3.368,-0.097,0.015,0.358,-12.817,-12.459,-1.928
13:51:33:031,3.368,-0.680,0.225,-0.165,-14.423,-12.380,-5.678
13:51:33:031,3.368,-0.179,0.375,0.455,-15.564,-11.871,-8.853
13:51:33:049,3.386,-0.844,0.516,0.659,-17.858,-9.609,-14.795
13:51:33:076,3.413,-1.514,0.328,0.312,-18.957,-5.954,-19.994
13:51:33:131,3.468,-1.942,0.657,-1.215,-21.050,-0.080,-29.214
13:51:33:131,3.468,-1.042,-0.046,0.465,-25.670,2.880,-38.138
13:51:33:185,3.522,-0.874,-1.031,0.102,-28.094,4.750,-41.920
13:51:33:185,3.522,-1.113,-0.263,0.039,-29.567,8.736,-46.526
13:51:33:207,3.544,-0.584,-1.540,-0.097,-28.169,9.146,-46.258
13:51:33:233,3.570,-0.060,-1.242,0.352,-24.749,7.941,-43.891
13:51:33:259,3.596,-0.166,-0.886,0.306,-23.235,6.802,-40.306
13:51:33:314,3.651,-0.426,-0.849,0.232,-19.463,4.751,-33.168
13:51:33:37,3.707,-0.609,-0.382,0.285,-15.353,2.224,-23.326
13:51:33:37,3.707,-0.557,0.066,0.231,-13.106,-0.117,-15.649
13:51:33:371,3.708,-0.237,0.911,0.251,-9.338,-4.788,-3.450
13:51:33:39,3.727,1.189,2.204,-0.186,-6.798,-8.001,4.050
13:51:33:477,3.814,2.754,0.832,-1.146,-2.686,-10.452,11.968
13:51:33:478,3.815,1.730,-1.421,-1.397,-0.596,-7.293,15.952
13:51:33:479,3.816,1.650,-0.208,-1.472,-2.344,-6.032,16.710
13:51:33:48,3.817,0.656,-0.800,-0.546,-2.164,-7.630,13.640
13:51:33:524,3.861,-0.261,0.301,0.071,-3.516,-9.984,11.468
13:51:33:525,3.862,-0.079,0.777,0.339,-5.264,-12.813,8.075
13:51:33:576,3.913,0.705,0.116,0.121,-7.281,-13.373,6.743
13:51:33:603,3.940,-0.105,-0.226,-0.386,-7.619,-12.520,4.732
13:51:33:604,3.941,0.261,-0.006,0.157,-8.282,-12.994,5.869
13:51:33:656,3.993,-0.333,0.355,-0.105,-8.723,-12.576,6.949
13:51:33:656,3.993,-0.198,0.023,-0.082,-8.057,-12.641,7.585
13:51:33:679,4.016,0.281,-0.118,0.026,-7.515,-12.809,7.734
13:51:33:735,4.072,-0.213,0.065,-0.055,-7.343,-12.498,8.266
13:51:33:735,4.072,-0.033,-0.066,-0.064,-7.235,-12.544,8.178
13:51:33:785,4.123,-0.057,-0.017,-0.051,-7.241,-12.639,8.036
