Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:34:22:526,0.000,-0.001,0.002,0.002,12.221,58.984,-6.145
19:34:22:551,0.025,0.003,-0.001,0.001,12.205,58.959,-6.154
19:34:22:578,0.052,-0.001,0.000,-0.002,12.195,58.949,-6.157
19:34:22:603,0.077,0.001,0.000,0.001,12.195,58.949,-6.157
19:34:22:633,0.107,0.005,0.001,0.001,12.197,58.948,-6.167
19:34:22:633,0.107,0.004,-0.002,0.001,12.197,58.948,-6.167
19:34:22:685,0.159,0.007,0.003,0.003,12.197,58.948,-6.167
19:34:22:685,0.160,0.002,0.001,-0.002,12.197,58.948,-6.167
19:34:22:709,0.183,0.006,0.002,0.003,12.197,58.964,-6.160
19:34:22:735,0.209,0.000,0.000,0.000,12.203,58.984,-6.157
19:34:22:761,0.235,0.012,0.002,0.000,12.203,59.020,-6.149
19:34:22:787,0.261,0.002,0.000,-0.003,12.204,59.029,-6.147
19:34:22:813,0.288,0.010,0.003,0.004,12.204,59.029,-6.147
19:34:22:84,0.314,-0.002,0.002,-0.001,12.204,59.029,-6.147
19:34:22:895,0.369,0.018,0.002,0.003,12.203,59.000,-6.151
19:34:22:895,0.370,-0.004,0.000,-0.002,12.203,58.984,-6.157
19:34:22:918,0.392,0.007,0.001,0.003,12.198,58.968,-6.165
19:34:22:944,0.419,0.000,0.000,-0.001,12.198,58.968,-6.165
19:34:22:971,0.445,0.004,0.001,0.001,12.198,58.968,-6.165
19:34:22:997,0.471,0.001,-0.001,-0.002,12.198,58.968,-6.165
19:34:23:025,0.499,0.002,0.003,0.001,12.198,58.968,-6.165
19:34:23:05,0.525,0.001,0.002,0.002,12.198,58.968,-6.165
19:34:23:077,0.551,0.007,0.003,0.001,12.198,58.968,-6.165
19:34:23:103,0.577,0.003,0.000,-0.001,12.198,58.968,-6.165
19:34:23:128,0.603,0.004,0.002,0.001,12.196,58.969,-6.155
19:34:23:155,0.629,0.000,0.000,-0.001,12.196,58.969,-6.155
19:34:23:181,0.655,0.004,0.000,0.003,12.198,58.965,-6.139
19:34:23:208,0.682,0.005,0.000,0.003,12.215,58.973,-6.112
19:34:23:233,0.707,0.006,0.001,0.004,12.232,59.000,-6.082
19:34:23:259,0.734,0.001,0.001,0.001,12.254,59.033,-6.045
19:34:23:286,0.761,0.002,0.002,0.001,12.260,59.051,-6.017
19:34:23:312,0.786,0.002,0.001,0.002,12.261,59.096,-5.972
19:34:23:339,0.814,0.000,0.000,0.000,12.264,59.139,-5.938
19:34:23:365,0.839,0.001,0.000,0.001,12.273,59.220,-5.873
19:34:23:391,0.865,0.002,0.000,0.001,12.279,59.307,-5.813
19:34:23:418,0.892,0.006,0.002,0.001,12.281,59.356,-5.772
19:34:23:443,0.918,0.005,0.001,0.002,12.283,59.405,-5.732
19:34:23:47,0.944,0.006,0.003,0.005,12.291,59.422,-5.714
19:34:23:496,0.970,0.003,0.001,0.001,12.289,59.423,-5.704
19:34:23:522,0.996,0.008,0.002,0.005,12.289,59.423,-5.704
19:34:23:55,1.024,0.004,0.002,0.002,12.289,59.423,-5.704
19:34:23:575,1.050,0.011,0.003,0.005,12.289,59.423,-5.704
19:34:23:601,1.075,0.002,0.000,0.001,12.289,59.423,-5.704
19:34:23:627,1.101,0.009,0.002,0.004,12.289,59.423,-5.704
19:34:23:653,1.128,0.002,-0.002,-0.001,12.289,59.423,-5.704
19:34:23:68,1.154,0.008,0.002,0.004,12.289,59.423,-5.704
19:34:23:706,1.180,0.003,0.002,-0.002,12.289,59.423,-5.704
19:34:23:732,1.206,0.006,0.000,0.002,12.289,59.423,-5.704
19:34:23:758,1.233,0.001,0.000,0.000,12.289,59.423,-5.704
19:34:23:785,1.259,0.009,0.002,0.002,12.289,59.423,-5.704
19:34:23:811,1.285,0.002,0.001,0.002,12.289,59.423,-5.704
19:34:23:838,1.313,0.004,0.001,0.000,12.289,59.423,-5.704
19:34:23:864,1.338,0.000,-0.001,0.000,12.289,59.423,-5.704
19:34:23:889,1.364,0.006,0.000,0.002,12.289,59.423,-5.704
19:34:23:916,1.390,0.003,-0.001,-0.003,12.289,59.423,-5.704
19:34:23:942,1.416,0.009,0.002,0.003,12.289,59.423,-5.704
19:34:23:968,1.443,0.001,0.000,0.000,12.289,59.423,-5.704
19:34:23:996,1.470,0.004,0.001,0.000,12.289,59.423,-5.704
19:34:24:021,1.495,0.003,0.001,0.002,12.290,59.417,-5.709
19:34:24:047,1.521,0.005,0.001,0.003,12.290,59.417,-5.709
19:34:24:073,1.548,0.003,0.001,0.001,12.290,59.417,-5.709
19:34:24:099,1.574,0.003,0.001,0.001,12.290,59.417,-5.709
19:34:24:126,1.600,0.005,0.004,0.003,12.290,59.417,-5.709
19:34:24:153,1.627,0.002,0.001,0.000,12.290,59.417,-5.709
19:34:24:179,1.653,0.001,0.002,0.001,12.290,59.417,-5.709
19:34:24:205,1.679,0.003,0.001,0.001,12.290,59.417,-5.709
19:34:24:231,1.705,0.008,0.002,0.005,12.290,59.417,-5.709
19:34:24:257,1.731,0.003,0.001,0.001,12.290,59.417,-5.709
19:34:24:284,1.759,0.009,0.003,0.005,12.290,59.417,-5.709
19:34:24:309,1.784,0.003,0.001,-0.001,12.290,59.417,-5.709
19:34:24:338,1.812,0.007,0.002,0.005,12.290,59.417,-5.709
19:34:24:362,1.836,0.000,0.001,0.003,12.290,59.417,-5.709
19:34:24:388,1.863,0.009,0.002,0.005,12.290,59.417,-5.709
19:34:24:416,1.890,0.002,0.001,0.002,12.290,59.417,-5.709
19:34:24:441,1.915,0.008,0.002,0.006,12.290,59.417,-5.709
19:34:24:467,1.942,0.003,0.001,0.001,12.290,59.417,-5.709
19:34:24:493,1.967,0.006,0.001,0.005,12.290,59.417,-5.709
19:34:24:52,1.994,0.002,0.000,0.001,12.290,59.417,-5.709
19:34:24:547,2.021,0.005,0.001,0.003,12.300,59.417,-5.708
19:34:24:572,2.046,-0.001,0.001,0.005,12.319,59.416,-5.705
19:34:24:599,2.074,0.006,0.003,0.004,12.345,59.410,-5.708
19:34:24:625,2.099,0.004,0.001,0.003,12.360,59.410,-5.706
19:34:24:651,2.125,0.006,0.003,0.004,12.391,59.408,-5.712
19:34:24:677,2.151,0.003,0.004,0.005,12.416,59.408,-5.709
19:34:24:703,2.178,0.002,0.001,0.008,12.435,59.392,-5.713
19:34:24:73,2.204,0.003,0.002,0.006,12.435,59.392,-5.713
19:34:24:756,2.230,0.004,0.001,0.006,12.436,59.402,-5.712
19:34:24:782,2.257,0.000,-0.001,0.001,12.442,59.422,-5.709
19:34:24:808,2.282,0.005,0.001,0.003,12.441,59.438,-5.703
19:34:24:836,2.310,0.007,0.001,0.005,12.462,59.432,-5.705
19:34:24:862,2.336,0.003,0.001,0.005,12.462,59.432,-5.705
19:34:24:887,2.362,0.003,0.001,0.001,12.462,59.432,-5.705
19:34:24:913,2.387,0.003,0.002,0.003,12.462,59.432,-5.705
19:34:24:939,2.414,0.008,0.004,0.007,12.462,59.432,-5.705
19:34:24:966,2.440,0.003,0.001,0.008,12.462,59.432,-5.705
19:34:24:995,2.469,0.008,0.001,0.008,12.462,59.432,-5.705
19:34:24:996,2.470,0.004,0.003,0.005,12.461,59.447,-5.699
19:34:25:018,2.493,0.008,0.002,0.009,12.461,59.447,-5.699
19:34:25:045,2.519,0.004,-0.001,0.008,12.461,59.447,-5.699
19:34:25:071,2.545,0.011,0.003,0.010,12.461,59.447,-5.699
19:34:25:097,2.572,0.002,0.001,0.004,12.461,59.447,-5.699
19:34:25:152,2.626,0.005,0.001,0.007,12.461,59.447,-5.699
19:34:25:153,2.627,0.002,0.002,0.006,12.461,59.447,-5.699
19:34:25:205,2.679,0.009,0.001,0.005,12.476,59.447,-5.697
19:34:25:206,2.680,0.003,0.001,0.005,12.503,59.446,-5.704
19:34:25:257,2.732,0.005,0.003,0.006,12.522,59.445,-5.701
19:34:25:258,2.733,-0.001,0.000,0.008,12.548,59.439,-5.704
19:34:25:282,2.756,0.007,0.000,0.008,12.548,59.449,-5.703
19:34:25:337,2.811,0.008,0.002,0.005,12.558,59.459,-5.700
19:34:25:337,2.811,0.022,0.004,0.001,12.567,59.404,-5.745
19:34:25:362,2.836,0.005,0.001,0.003,12.541,59.313,-5.803
19:34:25:387,2.862,-0.001,0.001,0.009,12.522,59.245,-5.838
19:34:25:413,2.887,0.007,0.003,0.005,12.522,59.230,-5.845
19:34:25:438,2.913,0.015,0.006,0.008,12.523,59.218,-5.856
19:34:25:465,2.939,0.005,0.000,0.003,12.509,59.144,-5.895
19:34:25:491,2.965,0.002,-0.001,0.009,12.503,59.102,-5.910
19:34:25:517,2.991,0.008,0.002,0.008,12.509,59.093,-5.911
19:34:25:543,3.017,0.007,0.007,0.009,12.528,59.092,-5.908
19:34:25:571,3.046,0.006,0.004,0.006,12.512,59.021,-5.963
19:34:25:597,3.071,0.006,0.003,0.009,12.476,58.954,-5.989
19:34:25:622,3.096,-0.002,0.001,0.011,12.476,58.929,-5.997
19:34:25:648,3.122,0.004,0.001,0.006,12.481,58.955,-5.989
19:34:25:674,3.149,0.008,0.000,0.009,12.478,58.985,-5.986
19:34:25:703,3.177,0.003,0.001,0.006,12.484,59.031,-5.976
19:34:25:727,3.202,0.011,0.004,0.009,12.490,59.067,-5.966
19:34:25:784,3.258,0.005,0.001,0.004,12.492,59.124,-5.955
19:34:25:784,3.258,0.013,0.003,0.008,12.493,59.150,-5.947
19:34:25:806,3.280,0.005,0.001,0.009,12.498,59.160,-5.946
19:34:25:832,3.306,0.010,0.002,0.011,12.499,59.180,-5.943
