Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:22:47:377,0.000,0.000,0.001,0.004,8.465,33.356,-10.257
19:22:47:402,0.025,0.007,0.005,0.015,8.465,33.356,-10.257
19:22:47:429,0.052,0.004,0.003,0.009,8.465,33.356,-10.257
19:22:47:455,0.078,0.009,0.002,0.012,8.465,33.356,-10.257
19:22:47:509,0.132,-0.002,0.003,0.007,8.465,33.356,-10.257
19:22:47:51,0.133,0.009,0.003,0.010,8.465,33.356,-10.257
19:22:47:533,0.157,0.003,0.001,0.006,8.465,33.356,-10.257
19:22:47:559,0.182,0.004,0.002,0.006,8.465,33.356,-10.257
19:22:47:585,0.208,0.000,0.001,0.006,8.465,33.356,-10.257
19:22:47:644,0.267,0.004,0.003,0.012,8.465,33.356,-10.257
19:22:47:644,0.267,0.003,0.002,0.007,8.465,33.356,-10.257
19:22:47:645,0.268,0.006,0.004,0.011,8.465,33.356,-10.257
19:22:47:691,0.314,-0.001,0.000,0.006,8.465,33.356,-10.257
19:22:47:719,0.342,0.007,0.002,0.010,8.465,33.356,-10.257
19:22:47:72,0.343,0.002,0.003,0.007,8.465,33.356,-10.257
19:22:47:772,0.395,0.001,0.003,0.013,8.465,33.356,-10.257
19:22:47:773,0.396,-0.002,0.003,0.008,8.465,33.356,-10.257
19:22:47:825,0.448,0.008,0.005,0.007,8.466,33.371,-10.261
19:22:47:825,0.448,0.007,0.002,0.010,8.467,33.376,-10.256
19:22:47:874,0.497,0.001,0.004,0.010,8.467,33.376,-10.256
19:22:47:903,0.526,0.001,0.003,0.008,8.466,33.366,-10.256
19:22:47:904,0.527,0.003,0.002,0.006,8.466,33.366,-10.256
19:22:47:926,0.550,0.005,0.001,0.007,8.466,33.366,-10.256
19:22:47:953,0.576,-0.001,0.002,0.009,8.466,33.366,-10.256
19:22:48:008,0.631,0.006,0.005,0.013,8.466,33.366,-10.256
19:22:48:009,0.632,0.003,0.003,0.006,8.466,33.366,-10.256
19:22:48:032,0.655,0.007,0.002,0.012,8.466,33.366,-10.256
19:22:48:058,0.682,0.004,0.002,0.006,8.466,33.366,-10.256
19:22:48:114,0.738,0.008,0.003,0.012,8.466,33.366,-10.256
19:22:48:114,0.738,0.004,0.003,0.007,8.466,33.366,-10.256
19:22:48:137,0.760,0.005,0.005,0.013,8.466,33.366,-10.256
19:22:48:163,0.786,-0.002,0.003,0.005,8.466,33.366,-10.256
19:22:48:19,0.813,0.008,0.002,0.009,8.468,33.386,-10.255
19:22:48:245,0.868,0.002,0.002,0.004,8.472,33.386,-10.255
19:22:48:245,0.868,0.008,0.004,0.013,8.472,33.386,-10.255
19:22:48:268,0.891,0.002,0.004,0.007,8.472,33.386,-10.255
19:22:48:296,0.919,0.005,0.003,0.008,8.472,33.386,-10.255
19:22:48:321,0.944,0.006,0.001,0.007,8.473,33.396,-10.255
19:22:48:347,0.971,0.004,0.001,0.009,8.473,33.396,-10.255
19:22:48:373,0.996,0.005,0.001,0.006,8.474,33.401,-10.249
19:22:48:4,1.023,0.005,0.001,0.010,8.475,33.416,-10.253
19:22:48:425,1.049,0.006,0.004,0.008,8.475,33.416,-10.253
19:22:48:481,1.104,0.005,0.002,0.010,8.475,33.416,-10.253
19:22:48:481,1.105,0.000,0.001,0.004,8.475,33.416,-10.253
19:22:48:504,1.127,0.011,0.008,0.009,8.475,33.416,-10.253
19:22:48:56,1.183,0.011,0.004,0.006,8.464,33.374,-10.285
19:22:48:56,1.183,0.005,-0.002,0.007,8.458,33.317,-10.315
19:22:48:612,1.235,-0.002,0.000,0.005,8.441,33.220,-10.375
19:22:48:612,1.236,-0.002,0.002,0.007,8.436,33.178,-10.398
19:22:48:635,1.258,-0.005,0.001,0.003,8.427,33.143,-10.415
19:22:48:661,1.285,0.003,0.001,0.008,8.427,33.143,-10.415
19:22:48:688,1.311,0.005,0.000,0.005,8.433,33.162,-10.414
19:22:48:714,1.337,0.000,0.002,0.003,8.441,33.188,-10.408
19:22:48:741,1.364,0.006,0.002,0.009,8.459,33.211,-10.403
19:22:48:767,1.390,0.001,0.002,0.006,8.478,33.254,-10.396
19:22:48:794,1.418,0.019,0.010,0.011,8.497,33.293,-10.395
19:22:48:848,1.471,0.008,0.000,0.004,8.511,33.290,-10.406
19:22:48:849,1.472,0.006,0.002,0.014,8.529,33.269,-10.410
19:22:48:872,1.496,-0.005,0.001,0.003,8.544,33.267,-10.412
19:22:48:898,1.521,0.010,0.005,0.012,8.577,33.289,-10.408
19:22:48:924,1.547,0.006,0.003,0.009,8.599,33.307,-10.409
19:22:48:952,1.575,0.010,0.004,0.013,8.618,33.346,-10.397
19:22:48:978,1.601,0.002,0.003,0.005,8.630,33.352,-10.373
