1521736398.28000,0.27000,0.03900,-0.00900,4.67600,-17.78200,15.67600
1521736398.28000,0.23400,-0.01900,-0.06500,5.03000,-17.33600,16.19100
1521736398.28000,0.14800,-0.11700,-0.07800,5.40900,-16.09100,17.11500
1521736398.30200,0.12700,-0.16900,-0.00800,5.60900,-15.57100,17.73700
1521736398.32400,0.11900,-0.20300,-0.00300,6.03200,-15.24600,18.60700
1521736398.38000,0.12900,-0.19400,-0.00400,6.31000,-15.14600,19.37000
1521736398.38100,0.13000,-0.15000,-0.00900,6.37700,-14.86000,19.82100
1521736398.40300,0.14500,-0.11200,0.01000,6.43000,-14.58400,20.33500
1521736398.42900,0.13300,-0.11500,0.02900,6.49900,-14.34100,20.47000
1521736398.45600,0.12300,-0.10500,0.03900,6.60600,-14.15800,20.28400
1521736398.48200,0.13100,-0.02500,0.02300,6.58600,-13.77100,19.95400
1521736398.50800,0.12200,0.02900,0.00800,6.42100,-12.76300,19.29500
1521736398.53600,0.07900,0.05900,0.01800,6.26000,-11.29800,18.57500
1521736398.56100,0.05400,0.02300,0.04000,6.19400,-10.18100,18.06000
1521736398.58600,0.04700,0.07100,0.03100,6.02200,-8.26100,17.27900
1521736398.64500,0.09400,0.23600,0.00700,5.81000,-6.84100,16.76100
1521736398.64500,0.06200,0.12200,-0.01100,5.62100,-4.13700,16.13700
1521736398.66700,0.08300,0.13400,-0.02700,5.61300,-0.90900,15.84900
1521736398.72100,0.08700,0.19700,-0.06700,5.49500,2.10600,15.82400
1521736398.72200,0.00600,0.13300,-0.07100,5.28100,6.48600,15.96300
1521736398.82900,-0.04500,0.05800,0.00000,5.02700,9.46400,16.05800
1521736398.83000,-0.02400,0.01800,0.03100,4.75700,11.69700,16.07600
1521736398.83100,0.05100,-0.02000,0.04400,4.58000,12.40600,16.06400
1521736398.85400,0.10600,0.00100,0.04900,4.48200,12.00600,16.12000
1521736398.85400,0.16400,-0.00100,0.04400,4.38100,11.62600,16.24400
1521736398.90500,0.14900,-0.06000,0.05300,4.34000,11.68000,16.30600
1521736398.90500,0.05100,-0.12000,0.05500,4.19100,12.80100,16.31600
1521736398.92900,0.02300,-0.14200,0.09000,4.09400,13.52700,16.23300
1521736399.06900,0.03500,-0.15800,0.11700,4.01600,14.05200,15.92200
1521736399.06900,0.04400,-0.13100,0.12900,3.90700,14.14900,15.36400
1521736399.07000,0.03900,-0.11000,0.12800,3.77900,13.98500,14.88700
1521736399.07100,0.01800,-0.05700,0.16500,3.53800,13.98900,14.14500
1521736399.11800,-0.01800,-0.05900,0.18300,3.39100,14.10000,13.66200
1521736399.11900,-0.02400,-0.07900,0.18300,3.27200,14.39800,13.01700
1521736399.11900,-0.01600,-0.04700,0.14600,3.80800,14.46500,12.77500
1521736399.13800,-0.01200,0.00800,0.12100,3.79000,14.71400,12.57900
1521736399.16700,-0.02400,0.07900,0.09400,3.75800,15.10600,12.35300
1521736399.19200,-0.02900,0.11100,0.08800,3.73900,15.64000,12.21000
1521736399.21700,-0.04600,0.10100,0.05600,3.74800,16.42900,12.05500
1521736399.24300,-0.03700,0.18800,0.04100,3.61600,17.75600,12.09700
1521736399.26900,-0.02500,0.14600,0.03100,3.52400,18.38600,12.25200
1521736399.29500,-0.04500,0.23000,0.03400,3.37900,19.67300,12.66000
1521736399.32300,-0.02400,0.19700,0.04600,3.16700,20.23200,12.92800
1521736399.34900,-0.02500,0.11200,0.05100,3.03500,21.25300,13.42400
1521736399.40400,-0.00500,-0.04800,0.05700,3.12700,21.91900,14.19300
1521736399.40500,0.01000,-0.08200,0.02700,3.24900,22.55700,14.87300
1521736399.45600,0.04500,-0.03100,-0.02300,3.48600,22.70000,16.04300
1521736399.45700,0.11000,0.04200,-0.11800,3.66900,22.56500,16.84200
1521736399.47900,0.15000,0.07500,-0.15800,4.04200,22.14800,18.03800
1521736399.50700,0.17200,0.12500,-0.18900,4.26900,22.11900,18.80600
1521736399.53200,0.20000,0.13600,-0.18100,4.44100,21.50300,19.85200
1521736399.55800,0.20200,0.00800,-0.13900,4.59500,20.61600,20.89600
1521736399.58500,0.22400,-0.05000,-0.10400,4.67500,19.73700,21.64800
