0,1,03:15.0,03:46.3,
0,2,03:42.1,04:14.0,
0,3,03:46.7,04:09.9,
0,4,03:22.8,03:41.3,
0,5,03:59.3,04:36.5,
1,1,03:20.3,03:35.0,
1,2,03:44.8,04:06.7,
1,3,03:39.5,03:56.7,
1,4,04:05.5,04:31.6,
1,5,03:59.3,04:35.8,
2,1,03:55.4,04:30.6,
2,2,04:17.4,05:40.8,
2,3,03:45.8,04:09.7,
2,4,03:21.9,03:53.0,
2,5,04:14.1,05:12.4,
3,1,03:06.5,03:26.3,
3,2,03:46.7,04:11.2,
3,3,03:50.1,04:14.9,
3,4,03:52.3,04:33.7,
3,5,03:39.7,04:12.6,
4,1,03:45.3,04:06.9,
4,2,03:33.2,03:54.6,
4,3,03:57.5,04:17.2,
4,4,03:51.3,04:09.0,
4,5,03:13.9,03:34.9,
5,1,03:24.5,03:45.9,1
5,2,04:01.2,04:22.2,1
5,3,04:04.5,04:32.1,
5,4,03:52.1,04:19.7,
5,5,03:52.0,05:17.3,
6,1,03:54.1,04:18.4,1
6,2,03:34.0,04:02.2,
6,3,04:07.4,04:31.0,
6,4,03:35.0,03:56.9,
6,5,03:44.3,05:15.1,
7,1,03:24.1,03:59.4,
7,2,03:36.7,05:09.3,
7,3,03:34.6,03:58.3,
7,4,03:21.5,03:40.6,
7,5,04:10.8,05:03.4,
8,1,03:25.2,03:53.1,
8,2,03:30.4,03:53.0,1
8,3,03:31.5,04:03.1,1
8,4,03:51.2,04:45.9,
8,5,03:55.5,04:28.0,
9,1,03:18.6,03:52.7,
9,2,03:32.4,03:59.9,
9,3,03:28.5,03:55.5,
9,4,03:15.4,03:38.2,
9,5,03:37.6,04:25.3,
10,1,03:26.4,03:40.2,
10,2,03:37.7,03:57.5,
10,3,03:39.8,03:58.8,
10,4,03:23.0,03:46.2,
10,5,03:25.8,04:22.8,
11,1,03:47.8,04:08.1,
11,2,03:39.2,04:01.0,
11,3,03:44.8,04:04.9,
11,4,03:51.1,04:20.5,
11,5,04:09.8,05:32.5,
12,1,02:39.7,03:07.1,
12,2,03:11.9,04:12.4,
12,3,03:39.3,04:01.9,
12,4,03:12.0,03:32.1,
12,5,02:51.7,03:25.4,
13,1,03:30.9,03:57.2,
13,2,03:53.5,04:23.8,
13,3,03:51.8,04:26.3,
13,4,04:02.7,04:27.1,
13,5,03:32.2,04:36.2,
14,1,03:16.0,04:07.8,
14,2,03:24.4,03:43.7,
14,3,03:48.8,04:46.1,
14,4,0,0,
14,5,03:13.6,03:37.9,
15,1,03:15.3,03:36.4,
15,2,03:18.6,03:45.0,
15,3,03:11.0,03:37.8,
15,4,03:22.4,03:54.4,
15,5,03:18.9,04:26.5,
16,1,03:51.2,04:18.2,
16,2,03:39.3,04:11.4,
16,3,03:29.2,04:00.8,
16,4,03:38.8,04:07.9,
16,5,03:40.9,04:15.5,
17,1,03:00.0,03:29.1,
17,2,02:53.1,03:22.1,
17,3,02:29.3,02:54.7,
17,4,02:14.5,02:43.8,
17,5,02:39.0,03:14.4,
18,1,02:10.0,02:32.3,
18,2,02:22.3,03:08.3,
18,3,02:27.3,02:56.7,
18,4,02:24.4,03:29.1,
18,5,02:21.1,03:30.7,
19,1,03:04.7,03:29.0,
19,2,02:28.6,02:55.1,
19,3,02:27.1,03:19.0,
19,4,02:14.8,02:39.0,
19,5,02:26.4,03:01.1,
20,1,03:48.5,04:07.5,
20,2,03:31.7,03:58.2,
20,3,03:08.9,03:29.6,
20,4,03:25.8,03:44.9,
20,5,03:20.8,04:13.2,
21,1,02:47.0,03:03.6,
21,2,03:23.2,03:37.2,
21,3,02:52.0,03:05.6,
21,4,02:54.2,03:09.0,
21,5,03:21.1,03:51.2,
22,1,0,0,
22,2,02:34.1,03:22.3,
22,3,02:57.0,03:21.5,
22,4,02:54.5,03:44.7,
22,5,02:42.3,03:36.7,
23,1,04:31.0,05:01.0,
23,2,06:07.8,06:31.6,
23,3,04:50.0,05:12.0,
23,4,04:53.0,05:18.5,
23,5,04:58.0,05:40.0,
24,1,03:15.5,03:39.5,
24,2,03:59.0,04:56.6,
24,3,04:02.3,04:34.6,
24,4,03:19.2,03:58.4,
24,5,03:37.0,04:04.5,
25,1,03:27.4,03:50.2,
25,2,03:36.5,03:58.4,
25,3,04:01.1,03:30.2,
25,4,03:26.4,04:01.9,
25,5,03:27.1,04:01.2,
26,1,03:22.0,03:40.0,
26,2,03:22.5,03:38.3,
26,3,03:12.0,03:29.8,
26,4,03:29.6,03:47.3,
26,5,03:45.5,04:20.9,
27,1,04:42.5,05:47.8,
27,2,04:37.8,05:07.7,
27,3,05:42.8,06:13.0,
27,4,05:42.5,06:14.5,
27,5,05:05.3,05:47.0,
28,1,03:22.1,03:37.8,
28,2,03:02.5,03:13.5,1
28,3,03:26.3,03:51.3,
28,4,03:30.5,03:55.5,
28,5,05:00.0,06:17.8,
29,1,04:04.0,04:22.2,
29,2,04:16.0,04:34.7,
29,3,03:54.8,04:12.0,
29,4,03:06.5,03:25.2,
29,5,03:26.4,03:43.5,
30,1,0,0,1
30,2,0,0,1
30,3,0,0,1
30,4,0,0,1
30,5,0,0,1
31,1,03:02.3,03:36.5,
31,2,03:40.3,04:19.5,
31,3,03:25.0,03:44.0,
31,4,02:57.5,03:25.3,
31,5,03:02.8,03:25.3,
32,1,02:59.9,03:22.9,
32,2,03:07.5,03:27.2,
32,3,03:13.2,03:31.2,
32,4,02:19.2,02:39.0,
32,5,03:17.2,03:42.0,
33,1,03:24.0,03:44.5,
33,2,03:27.7,03:43.7,
33,3,03:40.6,04:05.5,
33,4,03:10.7,03:31.1,
33,5,03:22.0,04:04.7,
34,1,0,0,1
34,2,03:16.2,03:38.8,
34,3,03:20.6,04:01.2,
34,4,03:10.8,03:33.7,
34,5,02:36.2,03:33.5,
35,1,03:19.5,03:43.1,
35,2,03:44.0,04:24.5,
35,3,03:48.2,04:14.5,
35,4,03:54.5,04:31.7,
35,5,03:17.1,04:16.9,
36,1,03:06.1,03:21.2,
36,2,03:41.3,03:58.3,
36,3,03:33.5,03:48.1,
36,4,03:55.8,04:14.8,
36,5,03:56.0,04:23.8,
37,1,0,0,1
37,2,03:23.7,03:48.7,
37,3,03:47.1,04:03.8,
37,4,03:20.7,03:40.2,
37,5,04:03.7,04:37.5,
38,1,03:22.6,03:50.0,
38,2,03:54.2,05:00.0,
38,3,03:58.0,04:30.0,
38,4,03:45.0,04:25.0,
38,5,05:00.0,05:45.0,
39,1,04:15.4,05:00.5,
39,2,03:44.5,04:03.6,
39,3,03:45.1,04:03.0,
39,4,03:07.3,03:32.1,
39,5,03:31.5,04:08.9,
40,1,03:00.3,03:20.5,
40,2,03:19.6,03:38.9,
40,3,02:52.6,03:12.3,
40,4,03:14.4,03:36.9,
40,5,02:59.8,03:25.8,
41,1,03:07.8,03:25.8,
41,2,03:20.8,03:43.3,
41,3,03:33.4,04:28.4,
41,4,03:22.9,03:43.9,
41,5,04:22.6,04:48.0,
42,1,03:21.4,03:41.7,
42,2,03:37.7,04:06.2,
42,3,02:52.0,03:42.6,
42,4,03:14.8,04:05.2,
42,5,03:34.2,04:26.4,
43,1,03:39.1,04:03.6,
43,2,03:20.2,03:44.2,
43,3,03:21.7,03:45.5,
43,4,02:59.8,03:27.6,
43,5,03:34.4,04:06.5,
44,1,02:39.8,03:02.3,
44,2,03:10.3,03:32.5,
44,3,02:51.6,03:20.9,
44,4,02:42.0,03:01.6,
44,5,02:48.3,03:00.3,
45,1,03:16.6,03:36.2,
45,2,0,0,1
45,3,03:22.7,04:11.9,
45,4,03:45.7,04:12.3,
45,5,03:25.5,04:24.3,
46,1,0,0,1
46,2,04:02.6,04:34.3,
46,3,0,0,1
46,4,03:54.1,05:22.6,
46,5,03:25.0,04:36.0,
