"","NAME_FILE_SCREEN","press_t_avg","press_t_sd","off_dist_x_avg","off_dist_x_sd","off_dist_y_avg","off_dist_y_sd","off_dist_avg","off_dist_sd","slid_dist_x_avg","slid_dist_x_sd","slid_dist_y_avg","slid_dist_y_sd","slid_dist_avg","slid_dist_sd","slid_off_dist_x_avg","slid_off_dist_x_sd","slid_off_dist_y_avg","slid_off_dist_y_sd","slid_off_dist_avg","slid_off_dist_sd","V22"
"1","No000",88.8494623655914,20.372053660836,-4.97849462365591,14.0495849347817,-10.1451612903226,14.1035727521744,19.89493543566,11.1932450480945,-0.220740215053764,9.76006623033847,0.852150752688172,6.82131140053589,6.09598301781135,10.247319596563,-5.19923483870968,12.6375983587976,-9.29301053763441,13.0252538118585,18.8069301102836,9.29760977153863,0.24390243902439
"2","No001",102.014925373134,20.7820526717628,-12.3134328358209,17.5293770354,-0.843283582089552,19.3199161165802,26.7924674965376,10.318207594042,0.589006716417911,8.45000098135791,0.335910746268657,9.86594550644889,7.52063681566037,10.5730402874326,-11.724426119403,16.1386683987248,-0.507372835820895,15.3926728537899,23.7137325018208,8.14468058419377,0.390909090909091
"3","No002",83.0123456790123,16.8874908047055,0.740740740740741,15.2009685363941,-2.9320987654321,15.3931301816792,19.1221591855094,10.3465183001379,2.08249449382716,10.0089345396982,-1.82395511111111,9.22207233409151,8.74520279477757,10.7494290635871,2.8232352345679,16.7188469151932,-4.75605387654321,15.3627322245464,21.3331671242154,9.25816684175781,0.242990654205607
"4","No003",130.743243243243,20.6311779030197,3.47297297297297,18.3819618051904,1.21621621621622,20.0776030539247,25.1837404324181,10.5746933111469,2.53963716216216,8.85238463154939,1.69545864864865,8.8508874486464,7.32739232667037,10.5701855626277,6.01261013513514,17.5160615303798,2.91167486486486,18.0630871592188,24.3011798719139,8.92699212022863,0.308411214953271
"5","No004",81.3823529411765,14.6556736472083,-6.08823529411765,12.2260716133382,-4.35294117647059,21.5141001726509,23.6443573204412,9.69787304814531,0.382352941176471,4.78643731544539,1.84097823529412,4.82823127189385,2.62791762360004,6.53827996607823,-5.70588235294118,11.9075464021381,-2.51196294117647,21.0090297553514,22.7299286585892,9.53457530380992,0.704347826086957
"6","No005",117.630136986301,12.5471409418364,-1.19178082191781,14.7560322262594,0.979452054794521,17.0913473796287,19.8417585301913,10.6350358781714,1.21512594520548,8.86379655797185,2.67592049315069,9.73015247845671,8.79055052249087,10.1810005538523,0.0233451232876714,15.0000695115422,3.65537254794521,15.2848064420244,19.3400898372814,9.6406022697627,0.317757009345794
"7","No006",93,17.6025566324895,-2.07317073170732,22.7710235210261,-9.13414634146342,18.2328770323844,27.6743806364898,12.4845153208424,0.611265,10.5752911693118,2.35598707317073,7.61495278362586,7.25303099944843,11.0442336563269,-1.46190573170732,18.771634798569,-6.77815926829268,15.9527463300217,23.4442362212024,9.63192597075219,0.616822429906542
"8","No007",170.066666666667,27.1533848038565,-7.13333333333333,14.1691836661738,-1.02,16.4262150400066,20.2673142358311,10.3391463034037,0.289224133333333,8.50281492419185,0.75078712,9.96197433017857,7.48364168872867,10.7439824094594,-6.8441092,13.6866115435841,-0.26921288,14.5825260094662,18.9788000847031,9.0807121486376,0.299065420560748
"9","No008",116.411111111111,17.1934756664595,-3.02222222222222,14.8096368396004,-8.28888888888889,16.0066660583059,21.4237192628332,9.49315706550317,1.69444444444444,6.18883302265234,1.45,5.71173147167252,3.39301051861281,8.01954996485412,-1.32777777777778,14.0178780533504,-6.83888888888889,15.6238847292362,19.979859653668,9.27390245468719,0.158878504672897
"10","No009",112.011235955056,20.2885404186376,-0.460674157303371,15.8537751309896,-6.37640449438202,17.1761067029432,21.7968748442144,10.3534227900307,0.415730337078652,4.20243162500227,0.230337078651685,3.54440674912864,1.38621359113275,5.33931458115874,-0.0449438202247191,15.3105430937754,-6.14606741573034,16.5313411446518,21.3531230823886,9.20685761089636,0.168224299065421
