slip,308.0,247.0,1735393,274.09708,238.7361,235.51639,246.85867,145.0016,277.14218,90.08428,298.62466,89.0,299.01735520,1521720993344,1521720993824
slip,309.0,233.0,1745407,285.0,224.0,248.04813,221.78966,199.30548,229.0475,104.2135,266.21298,102.0,267.01745513,1521721003337,1521721003797
slip,173.0,256.0,1754426,194.0,251.0,229.62103,248.69824,272.78632,246.74866,306.5,245.51754524,1521721012350,1521721012806
slip,159.0,230.0,1755047,182.67482,225.76727,213.85904,223.0,257.7728,224.41234,318.92313,229.410261755153,1521721012976,1521721013454
slip,310.0,230.0,1765810,277.14258,222.0,240.06404,227.6496,163.09906,254.33784,100.5,279.51765915,1521721023740,1521721024226
slip,301.0,245.0,1770042,282.54895,245.0,277.32767,245.0,274.54514,245.0,271.2911,245.0,267.96906,245.0,264.06537,238.15256,258.54968,237.0,253.88782,237.0,252.0,237.0,251.0,237.0,250.0,237.01770469,1521721028292,1521721028776
slip,297.0,239.0,1771377,279.0,233.0,250.316,233.0,211.07814,242.60182,197.0,246.01771483,1521721029309,1521721029765
slip,290.0,228.0,1777681,267.75653,223.5513,226.35161,223.78098,165.24707,234.18658,88.5,259.01777757,1521721035581,1521721036069
slip,178.0,231.0,1788564,214.4433,236.80351,250.5311,241.16498,289.4644,244.30783,305.5,247.01788680,1521721046507,1521721046967
slip,193.0,215.0,1789183,221.92833,215.0,249.88245,215.0,288.9829,217.887,299.0,219.01789300,1521721047124,1521721047601
slip,295.0,241.0,1801731,272.0,236.0,233.88489,238.63939,168.91988,249.51335,112.0,259.01801837,1521721059664,1521721060116
slip,288.0,222.0,1810689,258.46164,222.0,228.11244,229.1397,175.75864,247.40048,108.5,271.01810785,1521721068609,1521721069071
