-28802.82925,0.253985002,0.188166667,0
-28800.75225,0.586851224,-0.148416667,1
-28800.59158,0.290877505,-0.134166667,2
-28799.85067,0.461314184,-0.16125,3
-28801.846,0.05118059,0.53375,4
-28801.65333,0.431251734,0.062,5
-28806.76942,1.231993404,0.043666667,6
-28799.64492,0.272404928,0.4455,7
-28803.10825,0.478051353,0.452833333,8
-28801.19742,0.289840177,0.161666667,9
-28800.74067,0.431722186,-1.139333333,10
-28802.8915,1.846441804,-0.11925,11
0,0,0,12
-28800.95342,0.285791274,-0.447166667,13
-28800.717,0.626420192,-0.44225,14
-28802.02717,0.187783117,-0.0835,15
-28801.01692,0.829198996,-0.085916667,16
0,0,0,17
0,0,0,18
0,0,0,19
-28795.86958,7.676948055,1.129833333,20
-28803.4155,0.923036024,0.679166667,21
0,0,0,22
-28799.38325,1.044461473,-0.287666667,23
-28802.97592,0.213121153,-0.489083333,24
-28801.11067,0.257713465,-0.496083333,25
-28794.62508,7.076567269,-0.509333333,26
-28796.90067,0.627647304,-0.083583333,27
-28792.19233,5.429596407,-0.104666667,28
-28788.70433,7.830005087,0.457583333,29
0,0,0,30
-28802.84642,0.478413203,0.404,31
-28801.93933,0.422344828,0.400083333,32
-28801.33008,0.319004837,0.3855,33
-28800.7075,0.408985313,0.089166667,34
-28800.08375,1.375606937,0.092333333,35
-28800.34858,0.538086004,0.083333333,36
-28798.19608,0.67503017,-0.304583333,37
-28800.58217,0.277858337,0.164833333,38
-28794.66567,2.73087038,0.17425,39
-28800.75142,0.850037934,0.15725,40
-28799.03017,0.191219871,-0.166416667,41
-28800.42567,0.424196052,0.045,42
-28799.35517,2.043076318,-0.771833333,43
-28800.31592,0.485754595,-0.790333333,44
-28798.176,0.62590183,-0.752083333,45
0,0,0,46
,,,
,,,
