16:43:13:43,61.033,-0.03,-0.004,-0.008,97.237,-78.582,164.114
16:43:13:431,61.034,-0.033,-0.004,-0.006,96.978,-80.074,162.446
16:43:13:454,61.057,-0.021,0,0.001,96.789,-80.924,161.481
16:43:13:54,61.143,-0.023,-0.02,-0.009,96.524,-81.179,161.004
16:43:13:54,61.143,-0.018,-0.021,0.001,96.363,-81.501,160.604
16:43:13:541,61.144,-0.029,-0.015,0.002,96.033,-82.929,159.036
16:43:13:617,61.22,-0.024,-0.028,-0.006,95.7,-83.699,158.148
16:43:13:618,61.221,-0.006,-0.038,0,95.523,-84.53,157.271
16:43:13:618,61.221,-0.032,0.004,-0.016,95.185,-85.363,156.326
16:43:13:696,61.299,-0.039,0,-0.023,94.958,-86.198,155.438
16:43:13:696,61.299,-0.014,-0.006,-0.007,94.647,-89.111,152.379
16:43:13:697,61.3,-0.021,0.011,-0.004,94.284,-92.757,148.604
16:43:13:745,61.348,-0.015,0.021,-0.026,94.01,-95.311,145.906
16:43:13:746,61.349,-0.023,0.018,-0.048,93.587,-100.618,140.278
16:43:13:77,61.373,-0.024,0.021,-0.029,93.327,-104.138,136.513
16:43:13:795,61.398,-0.022,0.015,-0.039,93.003,-106.903,133.316
16:43:13:821,61.424,-0.028,0.005,-0.029,92.764,-109.938,129.734
16:43:13:848,61.451,-0.034,-0.004,0.004,92.678,-111.936,127.355
16:43:13:873,61.476,-0.028,-0.016,0.009,92.63,-112.653,126.065
16:43:13:9,61.503,-0.037,-0.015,0.012,92.61,-111.465,126.846
16:43:13:985,61.588,-0.035,-0.018,0.027,92.498,-110.908,126.843
16:43:13:985,61.588,-0.032,-0.007,0.039,92.326,-113.086,124.189
16:43:13:986,61.589,-0.044,0,0.033,92.165,-114.76,122.185
16:43:14:11,61.713,-0.036,-0.015,0.02,91.966,-116.592,119.986
16:43:14:25,61.853,-0.027,-0.021,0.032,91.889,-117.618,118.776
16:43:14:251,61.854,-0.028,-0.01,0.038,91.741,-120.553,115.646
16:43:14:252,61.855,-0.032,-0.011,0.001,91.635,-121.948,114.046
16:43:14:278,61.881,-0.012,-0.017,0.01,91.577,-122.613,113.052
16:43:14:278,61.881,-0.006,-0.013,-0.011,91.571,-122.947,112.595
16:43:14:278,61.881,-0.007,-0.029,-0.003,91.527,-124.192,111.103
16:43:14:279,61.882,0.003,-0.02,0.017,91.399,-126.851,108.214
16:43:14:356,61.959,0.018,-0.031,0.032,91.299,-128.678,106.251
16:43:14:356,61.959,0.001,-0.027,0.024,91.127,-131.072,103.727
16:43:14:357,61.96,-0.014,-0.018,-0.019,90.997,-132.729,102.043
16:43:14:358,61.961,-0.016,-0.013,-0.017,90.772,-135.779,98.986
16:43:14:432,62.035,0.003,-0.022,0.016,90.628,-137.71,97.022
16:43:14:432,62.035,0,-0.014,0.004,90.45,-139.674,94.992
16:43:14:432,62.035,-0.042,-0.001,-0.017,90.28,-141.241,93.347
16:43:14:698,62.301,-0.02,0.002,0.01,90.208,-142.015,92.529
16:43:14:699,62.302,0.004,-0.003,0.026,90.128,-142.971,91.51
16:43:14:7,62.303,-0.021,0.023,0.008,90.071,-143.642,90.833
16:43:14:701,62.304,-0.039,0.043,-0.014,89.99,-144.606,89.882
16:43:14:723,62.326,0.026,0.003,0.08,89.997,-144.528,89.959
16:43:14:724,62.327,0.07,-0.018,0.081,90.093,-143.38,91.108
16:43:14:725,62.328,-0.04,-0.008,-0.062,90.233,-141.047,93.553
16:43:14:726,62.329,-0.038,-0.002,-0.026,90.309,-139.225,95.449
16:43:14:775,62.378,-0.026,-0.017,0.003,90.466,-136.173,98.473
16:43:14:776,62.379,-0.025,-0.027,-0.011,90.716,-130.634,103.915
16:43:14:777,62.38,-0.074,0.029,-0.057,90.87,-126.592,107.899
16:43:14:778,62.381,-0.1,0.072,-0.096,91.046,-125.887,108.556
16:43:14:799,62.401,0.051,-0.053,0.087,91.224,-128.286,106.066
16:43:14:799,62.402,0.097,-0.032,0.143,91.39,-130.902,103.295
16:43:14:8,62.403,-0.018,-0.047,-0.036,91.364,-130.104,104.015
16:43:14:877,62.48,-0.052,-0.018,-0.088,91.293,-129.107,105.033
16:43:14:878,62.481,-0.031,-0.022,-0.054,91.166,-129.161,104.807
16:43:14:878,62.481,-0.007,-0.026,-0.012,91.125,-129.796,104.072
16:43:15:223,62.826,0.012,-0.038,0.018,91.11,-130.03,103.664
16:43:15:223,62.826,-0.015,-0.007,-0.011,91.021,-130.452,103.059
16:43:15:224,62.827,-0.024,-0.006,-0.003,90.927,-131.188,102.197
16:43:15:224,62.827,-0.008,-0.012,0.003,90.784,-133,100.225
16:43:15:248,62.851,0.01,-0.012,0.031,90.678,-134.53,98.61
16:43:15:248,62.851,-0.015,-0.004,0.015,90.51,-136.636,96.454
16:43:15:249,62.852,-0.02,-0.01,-0.002,90.349,-138.652,94.402
16:43:15:25,62.853,-0.02,0,0.014,90.303,-139.279,93.782
16:43:15:327,62.93,-0.019,-0.015,0.024,90.306,-139.234,93.914
