Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:55:51:109,2.237,0.005,0.695,-0.536,4.160,-62.335,-25.904
14:55:51:11,2.238,-0.072,0.640,-0.647,4.563,-59.315,-30.386
14:55:51:111,2.239,-0.162,0.503,-0.712,5.876,-55.668,-36.334
14:55:51:157,2.285,-0.196,0.233,-0.764,7.151,-53.831,-39.854
14:55:51:27,2.398,-0.224,-0.021,-0.740,9.444,-51.839,-44.656
14:55:51:27,2.399,-0.218,-0.249,-0.711,12.030,-50.469,-49.097
14:55:51:271,2.400,-0.203,-0.394,-0.653,13.760,-49.792,-51.939
14:55:51:349,2.477,-0.198,-0.546,-0.591,17.523,-48.414,-58.558
14:55:51:35,2.478,-0.229,-0.611,-0.588,19.119,-47.644,-62.132
14:55:51:351,2.479,-0.286,-0.787,-0.549,19.415,-47.071,-65.306
14:55:51:352,2.480,-0.300,-0.877,-0.509,18.367,-46.867,-66.980
14:55:51:4,2.529,-0.221,-0.808,-0.417,14.421,-46.832,-68.370
14:55:51:401,2.529,-0.211,-0.600,-0.437,10.561,-46.944,-68.412
14:55:51:402,2.530,-0.219,-0.499,-0.470,4.815,-47.259,-67.328
14:55:51:402,2.531,-0.328,-0.306,-0.493,1.356,-47.636,-64.763
14:55:51:476,2.604,-0.459,-0.124,-0.310,0.932,-47.764,-62.120
14:55:51:477,2.605,-0.598,0.085,-0.166,2.681,-47.385,-57.307
14:55:51:478,2.606,-0.571,0.022,-0.154,4.897,-46.710,-53.860
14:55:51:497,2.625,-0.639,0.248,-0.468,7.588,-45.450,-48.371
14:55:51:524,2.652,-0.541,0.568,-0.597,9.239,-44.568,-41.618
14:55:51:578,2.706,-0.396,0.633,-0.565,9.914,-44.095,-36.049
14:55:51:579,2.707,-0.130,0.649,-0.079,10.733,-44.712,-26.909
14:55:51:602,2.730,0.039,0.455,-0.026,11.518,-46.230,-20.891
14:55:51:657,2.785,0.213,0.483,0.111,12.878,-50.125,-12.595
14:55:51:658,2.786,0.420,0.555,0.393,15.069,-55.084,-5.552
14:55:51:841,2.969,0.456,0.347,0.466,16.797,-58.224,-1.804
14:55:51:871,2.999,0.544,0.180,0.607,19.446,-62.938,1.613
14:55:51:872,3.000,0.444,0.098,0.449,20.984,-65.447,2.724
14:55:51:873,3.001,0.433,-0.046,0.378,22.799,-68.186,3.411
14:55:51:921,3.049,0.511,-0.261,0.287,23.846,-69.714,3.430
14:55:51:922,3.050,0.562,-0.362,0.298,25.285,-72.021,2.934
14:55:51:95,3.078,0.667,-0.455,0.396,26.606,-74.945,1.799
14:55:51:95,3.078,0.688,-0.449,0.448,27.393,-77.082,0.849
14:55:51:951,3.079,0.684,-0.427,0.504,28.281,-79.583,-0.404
14:55:51:975,3.104,0.647,-0.390,0.502,28.646,-80.185,-0.839
14:55:51:976,3.104,0.626,-0.338,0.479,28.752,-79.090,-0.648
14:55:52:001,3.129,0.592,-0.284,0.412,28.195,-75.895,0.167
14:55:52:001,3.129,0.604,-0.250,0.319,27.381,-72.871,0.797
14:55:52:078,3.206,0.649,-0.152,0.287,25.470,-67.284,1.541
14:55:52:079,3.207,0.630,-0.094,0.207,23.746,-62.554,1.953
14:55:52:32,3.448,0.618,0.005,0.093,20.669,-54.694,1.820
14:55:52:321,3.449,0.520,0.107,-0.094,17.530,-46.687,0.357
14:55:52:321,3.449,0.443,0.168,-0.190,15.662,-41.861,-1.392
14:55:52:322,3.450,0.352,0.365,-0.251,13.369,-36.063,-4.774
14:55:52:34,3.468,0.393,0.638,-0.204,12.163,-33.210,-7.164
14:55:52:372,3.500,0.281,0.607,-0.225,10.797,-29.830,-10.460
14:55:52:373,3.501,0.244,0.398,-0.214,9.846,-27.081,-13.337
14:55:52:374,3.502,0.140,0.249,-0.221,9.407,-25.225,-15.383
14:55:52:375,3.503,-0.031,0.073,-0.268,9.111,-21.533,-18.842
14:55:52:398,3.526,-0.175,0.123,-0.358,9.106,-18.849,-21.443
