Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:28:21:48,8.541,0.497,-0.001,-0.296,12.193,8.053,34.839
14:28:21:481,8.542,0.251,-0.351,-0.140,15.526,5.354,31.710
14:28:21:504,8.566,0.225,-0.152,-0.147,12.441,5.131,26.782
14:28:21:505,8.567,0.235,-0.012,-0.146,10.203,5.152,23.204
14:28:21:506,8.568,0.182,0.116,-0.114,6.811,5.537,17.549
14:28:21:506,8.568,0.109,0.281,-0.116,3.510,6.790,11.883
14:28:21:524,8.586,0.015,0.343,-0.093,1.390,8.213,8.119
14:28:21:549,8.610,-0.169,0.369,0.017,-1.512,11.066,2.371
14:28:21:582,8.644,-0.204,0.366,0.077,-3.191,13.466,-1.511
14:28:21:583,8.645,-0.381,0.343,0.098,-5.140,17.364,-7.343
14:28:21:584,8.646,-0.482,0.268,0.164,-6.170,19.880,-11.151
14:28:21:585,8.647,-0.503,0.188,0.237,-7.579,23.251,-16.503
14:28:21:609,8.671,-0.630,0.075,0.402,-8.893,26.292,-21.246
14:28:21:61,8.671,-0.724,-0.154,0.673,-10.243,31.048,-26.935
14:28:21:611,8.672,-0.824,-0.246,0.750,-10.108,33.063,-28.058
14:28:21:614,8.675,0.216,0.285,-0.946,-7.384,39.167,-25.756
14:28:21:662,8.724,-0.255,0.351,0.275,-7.222,39.616,-25.057
14:28:21:663,8.725,0.055,0.129,0.206,-7.175,39.215,-23.983
14:28:21:664,8.726,0.006,0.068,0.204,-7.087,39.773,-22.005
14:28:21:688,8.750,-0.366,0.042,-0.038,-7.138,42.409,-18.279
14:28:21:689,8.751,-0.169,-0.043,-0.071,-7.539,42.632,-16.060
14:28:21:69,8.752,-0.007,-0.025,0.002,-7.903,42.291,-14.822
14:28:21:713,8.775,0.023,0.009,0.094,-8.749,42.417,-11.794
14:28:21:714,8.776,-0.072,-0.035,-0.080,-9.212,43.198,-10.211
14:28:21:714,8.776,-0.030,0.028,-0.015,-9.639,43.745,-8.813
14:28:21:817,8.879,-0.057,0.045,-0.036,-9.825,44.770,-6.629
14:28:21:818,8.880,-0.024,0.018,-0.003,-9.772,45.118,-5.790
14:28:21:818,8.880,0.002,0.027,0.020,-9.544,45.450,-4.530
14:28:21:863,8.925,-0.005,-0.002,0.005,-9.307,45.673,-3.341
14:28:21:926,8.987,-0.016,0.003,0.020,-9.170,45.789,-2.591
14:28:21:926,8.987,0.000,0.014,0.028,-9.005,45.827,-1.507
14:28:21:926,8.987,-0.028,0.024,0.000,-8.939,45.781,-0.808
14:28:21:926,8.987,0.010,0.005,0.028,-8.901,45.544,0.158
14:28:22:029,9.091,0.003,0.034,0.008,-8.929,45.335,0.754
14:28:22:029,9.091,-0.005,0.013,-0.035,-9.032,44.833,1.643
14:28:22:029,9.091,0.008,0.001,-0.052,-9.056,44.191,2.512
14:28:22:03,9.092,-0.013,-0.001,-0.054,-8.996,43.962,3.065
14:28:22:126,9.188,0.014,0.036,-0.002,-8.797,43.743,3.905
14:28:22:234,9.295,0.048,0.014,-0.012,-8.643,43.595,4.495
14:28:22:235,9.296,0.036,0.030,-0.052,-8.404,43.193,5.492
14:28:22:704,9.766,0.041,0.013,-0.005,-8.131,42.789,6.544
14:28:22:966,10.028,0.053,-0.005,-0.043,-7.844,42.511,7.270
14:28:23:337,10.399,0.006,0.095,-0.064,-7.370,42.320,8.390
14:28:23:337,10.399,0.010,0.119,-0.054,-7.002,42.229,9.179
14:28:23:337,10.399,0.013,0.108,-0.066,-6.282,41.804,10.453
14:28:23:473,10.534,0.041,0.150,-0.081,-5.677,41.302,11.378
14:28:23:473,10.534,0.103,0.186,-0.081,-4.469,40.310,12.836
14:28:23:524,10.586,0.103,0.171,-0.217,-2.747,39.140,14.328
14:28:23:524,10.586,0.090,0.188,-0.259,-1.387,38.548,15.343
14:28:23:524,10.586,0.232,0.203,-0.284,0.847,37.836,17.022
14:28:23:744,10.806,0.324,0.171,-0.337,2.539,37.294,18.269
14:28:23:744,10.806,0.353,0.081,-0.487,5.304,36.614,20.445
14:28:23:744,10.806,0.272,0.088,-0.558,8.326,36.159,23.241
14:28:23:84,10.901,0.156,0.222,-0.429,10.439,36.090,25.558
14:28:24:125,11.187,0.222,0.320,-0.433,13.481,37.036,29.911
14:28:24:125,11.187,0.255,-0.134,-0.632,15.467,38.086,33.034
14:28:24:155,11.216,0.223,-0.367,-0.664,17.931,40.512,37.403
14:28:24:704,11.766,-0.134,-0.193,-0.232,19.076,42.456,39.833
14:28:24:705,11.766,0.244,-0.489,-0.544,20.168,45.285,42.483
14:28:24:706,11.767,0.033,-0.647,-0.419,20.059,48.123,43.943
14:28:24:839,11.900,-0.158,-0.597,-0.295,19.591,49.848,43.746
14:28:24:839,11.901,-0.143,-0.644,-0.290,19.103,51.843,41.964
14:28:24:84,11.902,-0.360,0.175,-0.209,8.273,60.769,17.607
14:28:24:841,11.903,0.268,-0.231,1.337,-14.221,83.958,-24.621
14:28:25:128,12.190,0.092,0.085,-0.084,-12.101,92.149,-10.119
14:28:25:128,12.190,-0.062,-0.044,-0.007,-12.384,92.437,-8.399
14:28:25:129,12.191,-0.051,0.001,-0.126,-12.731,90.769,-4.690
14:28:25:13,12.192,0.053,0.070,0.007,-12.608,90.755,-2.279
14:28:25:145,12.207,0.005,0.011,-0.040,-12.531,90.583,-1.502
14:28:25:226,12.288,-0.030,0.012,-0.064,-12.394,90.083,-0.268
14:28:25:226,12.288,-0.014,0.014,-0.009,-12.284,89.824,0.561
14:28:25:537,12.599,-0.029,-0.011,-0.056,-11.903,88.375,3.410
14:28:25:647,12.709,-0.002,0.020,-0.108,-11.007,87.030,6.211
14:28:25:647,12.709,-0.022,0.030,-0.097,-10.662,86.804,7.078
14:28:25:679,12.741,-0.027,0.125,-0.135,-6.571,84.513,14.968
14:28:25:679,12.741,-0.164,0.049,-0.650,4.854,81.604,27.546
14:28:25:68,12.742,-0.147,0.269,-0.504,8.073,81.376,31.565
14:28:25:696,12.757,-0.248,-0.185,-0.223,17.793,83.445,45.038
14:28:25:784,12.846,1.041,-0.236,1.740,-19.317,93.623,-24.595
14:28:25:784,12.846,0.351,-0.211,1.373,-19.188,94.301,-24.535
14:28:25:784,12.846,0.453,0.159,0.357,-16.534,97.779,-21.066
14:28:25:786,12.848,0.334,0.204,0.085,-15.501,98.952,-18.846
14:28:25:801,12.863,-0.074,-0.121,-0.041,-15.050,100.581,-16.671
14:28:25:861,12.923,-0.062,-0.040,-0.018,-14.892,101.480,-15.386
14:28:25:862,12.924,0.139,0.234,0.284,-14.663,102.787,-13.396
14:28:25:863,12.925,0.001,0.033,-0.030,-14.550,98.927,-1.126
14:28:25:864,12.926,-0.031,-0.010,-0.048,-14.327,98.191,-0.004
14:28:25:888,12.949,-0.016,-0.008,-0.063,-14.141,97.694,0.718
14:28:25:889,12.950,-0.004,0.007,-0.043,-13.873,97.084,1.702
14:28:25:889,12.951,-0.049,0.003,-0.071,-13.712,96.660,2.301
14:28:25:906,12.968,0.022,0.026,-0.059,-13.075,95.530,4.414
14:28:25:96,13.022,-0.139,0.178,-0.425,-3.028,89.969,20.946
14:28:25:993,13.055,-0.152,0.190,-0.492,-1.504,89.691,22.574
14:28:25:994,13.056,-0.310,0.112,-0.706,1.304,88.857,25.300
14:28:25:995,13.057,-0.309,0.033,-0.750,4.702,87.710,28.719
14:28:25:996,13.058,-0.193,0.386,-0.481,6.966,87.608,31.686
14:28:26:118,13.180,-0.259,0.283,-0.663,10.119,88.562,37.042
14:28:26:149,13.211,-0.394,-0.236,-0.811,12.209,89.265,40.365
14:28:26:15,13.212,-0.262,-0.650,-0.618,15.373,90.120,44.113
14:28:26:15,13.212,-0.086,-0.466,-0.583,17.313,90.495,45.708
14:28:26:195,13.257,-0.184,-0.734,-0.433,19.258,90.314,47.179
14:28:26:222,13.284,-0.122,-0.728,-0.276,19.573,89.985,46.475
14:28:26:281,13.343,-0.118,-0.697,-0.124,19.362,89.542,45.026
14:28:26:281,13.343,-0.084,-0.640,-0.204,18.267,88.232,41.481
14:28:26:464,13.526,-0.066,-0.512,-0.223,17.030,87.148,38.356
14:28:26:464,13.526,-0.078,-0.428,-0.257,14.352,85.589,32.877
14:28:26:465,13.527,-0.108,-0.197,-0.307,10.788,84.432,26.806
14:28:26:572,13.634,-0.107,-0.101,-0.299,8.172,83.984,22.549
14:28:26:573,13.634,-0.081,0.080,-0.247,3.878,84.280,16.154
14:28:26:573,13.635,-0.071,0.303,-0.162,0.896,85.261,11.878
14:28:26:574,13.636,0.006,0.517,0.209,-3.418,87.947,5.228
14:28:26:647,13.709,0.052,0.526,0.380,-5.909,90.204,0.566
14:28:26:647,13.709,0.072,0.491,0.595,-9.047,93.531,-6.601
14:28:26:648,13.710,0.173,0.366,0.912,-11.930,95.982,-13.435
14:28:26:668,13.730,0.310,0.197,0.953,-14.057,97.005,-17.444
14:28:26:755,13.816,0.661,0.030,1.080,-17.357,97.880,-22.282
14:28:26:756,13.817,0.862,-0.180,1.366,-19.054,98.213,-24.445
14:28:26:757,13.818,0.715,-0.251,1.208,-19.368,99.209,-25.231
14:28:26:757,13.819,-0.490,0.462,-1.088,-17.886,100.755,-23.271
14:28:26:771,13.833,-0.023,0.046,-0.136,-17.284,101.645,-22.896
14:28:26:878,13.939,0.332,0.276,0.385,-16.511,102.181,-21.462
14:28:27:038,14.100,0.168,0.133,0.221,-16.120,101.618,-20.114
14:28:27:039,14.101,0.160,0.137,-0.002,-15.656,102.338,-18.058
14:28:27:148,14.210,-0.020,-0.125,-0.023,-15.358,103.131,-17.084
14:28:27:149,14.211,-0.003,0.036,0.057,-15.200,104.235,-15.694
14:28:27:15,14.212,-0.087,-0.011,-0.080,-15.309,104.656,-14.284
14:28:27:15,14.212,-0.114,-0.050,0.015,-15.409,105.089,-13.369
14:28:27:177,14.239,0.130,0.069,0.073,-15.482,105.794,-11.752
14:28:27:177,14.239,0.050,0.019,0.074,-15.477,105.842,-10.629
14:28:27:177,14.239,-0.001,-0.002,-0.070,-15.466,104.833,-8.825
14:28:27:178,14.240,-0.042,-0.013,-0.068,-15.377,103.803,-7.086
14:28:27:249,14.311,-0.015,0.001,-0.075,-15.295,103.492,-6.037
14:28:27:25,14.311,0.011,0.031,-0.047,-15.162,103.068,-4.595
