Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:13:00:634,2.019,0.952,0.305,0.395,-12.303,-8.186,-13.597
19:13:00:656,2.041,1.721,0.154,0.721,-13.924,-10.383,-7.927
19:13:00:682,2.067,1.785,-0.439,0.864,-14.170,-10.818,-5.797
19:13:00:741,2.125,4.061,0.094,-0.663,-14.652,-11.359,-5.183
19:13:00:741,2.126,1.993,1.226,-1.276,-16.061,-14.186,-10.563
19:13:00:762,2.147,0.279,-1.754,0.182,-13.796,-12.392,-14.040
19:13:00:788,2.173,0.316,0.091,0.084,-13.044,-11.929,-17.164
19:13:00:817,2.202,0.211,0.118,0.068,-13.020,-11.295,-20.698
19:13:00:817,2.202,0.153,0.311,0.113,-12.605,-10.427,-23.228
19:13:00:898,2.283,0.057,0.634,0.196,-12.276,-9.985,-24.345
19:13:00:899,2.284,-0.546,0.860,-0.043,-11.492,-9.216,-25.466
19:13:00:9,2.285,-0.807,0.513,-0.192,-10.930,-8.636,-26.240
19:13:00:919,2.304,-0.779,0.270,-0.254,-10.122,-7.787,-27.555
19:13:00:945,2.330,-0.646,-0.023,-0.438,-8.982,-7.155,-29.088
19:13:00:972,2.357,-0.981,-0.084,-0.591,-8.081,-6.811,-30.612
19:13:01:055,2.440,-1.104,-0.193,-0.649,-6.535,-6.523,-34.854
19:13:01:056,2.441,-1.224,-0.222,-0.703,-5.246,-6.789,-38.873
19:13:01:081,2.466,-0.989,-0.494,-0.514,-2.580,-7.544,-45.692
19:13:01:081,2.466,-0.959,-0.557,-0.271,-0.019,-7.571,-49.944
19:13:01:103,2.488,-1.178,-0.899,-0.733,4.209,-7.634,-55.144
19:13:01:129,2.514,-0.578,-0.608,-0.310,3.506,-8.966,-58.104
19:13:01:155,2.540,-0.329,-0.667,-0.324,2.088,-9.954,-58.684
19:13:01:21,2.595,-0.201,-0.570,-0.262,-0.218,-10.735,-56.468
19:13:01:211,2.596,-0.281,-0.584,-0.272,-2.021,-11.132,-52.979
19:13:01:263,2.648,-0.330,-0.403,-0.278,-4.785,-11.696,-45.182
