personno,con,a1,a2,a3,a4,a5,a6,a7,b1,b2,b3,b4,c1,c2,c3,c4,c5,c6,c7,c8
42,1,5,5,1,5,1,5,5,1,1,5,1,1,5,5,1,5,1,5,5
42,2,5,5,1,5,1,5,5,1,1,5,1,1,5,5,2,5,2,5,5
42,3,5,5,2,5,2,5,5,2,1,2,1,2,4,4,2,5,1,4,4
42,4,4,3,3,3,3,4,3,4,3,2,3,4,2,2,4,2,4,2,2
42,5,2,2,4,2,5,3,3,4,5,1,4,5,4,4,5,5,2,2,3
43,1,5,5,2,4,4,5,5,1,1,5,1,1,5,4,1,5,1,5,5
43,2,4,4,2,4,2,4,4,2,1,2,1,4,5,5,2,5,2,4,5
43,3,3,2,2,2,5,3,3,4,2,1,4,5,3,2,4,3,3,2,2
43,4,2,2,3,2,4,2,2,5,5,2,3,5,4,4,2,1,3,3,2
43,5,3,1,5,1,5,3,2,5,5,1,5,5,5,3,1,1,2,1,1
44,1,5,5,2,5,2,4,4,2,2,4,2,1,4,4,2,4,2,5,4
44,2,5,5,4,5,4,4,3,4,3,3,4,3,3,5,4,3,4,4,4
44,3,4,4,4,4,3,3,2,3,2,3,3,2,4,4,2,3,3,4,3
44,4,3,4,4,3,3,3,1,3,2,2,3,2,3,4,4,2,4,3,3
44,5,2,2,4,2,2,3,1,4,4,3,3,3,3,2,5,2,5,2,2
45,1,5,5,1,4,2,4,4,2,3,4,2,4,4,4,3,4,2,4,4
45,2,4,4,2,4,2,4,4,2,2,4,2,2,4,4,2,4,2,4,4
45,3,5,5,5,5,2,5,4,3,2,3,2,2,4,4,3,4,2,4,5
45,4,3,3,2,2,3,3,3,4,2,4,4,4,3,3,4,3,3,3,3
45,5,2,1,4,2,4,2,3,3,4,2,4,4,2,2,4,3,4,3,3
46,1,5,5,1,5,1,5,5,2,1,3,1,1,5,5,1,5,2,5,5
46,2,5,5,2,4,2,4,4,2,1,4,1,1,4,5,2,4,2,4,4
46,3,5,5,2,4,2,4,4,2,1,4,1,1,4,4,1,4,2,4,4
46,4,5,5,2,4,2,5,5,3,1,5,1,1,3,3,2,4,2,3,4
46,5,4,4,2,4,2,4,4,5,1,4,1,3,4,4,1,3,3,3,4
